PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.CV,PG.Qvalue,PG.MolecularWeight,Control_detected_n,Control_total_n,Control_detection_rate,Short_detected_n,Short_total_n,Short_detection_rate,Long_detected_n,Long_total_n,Long_detection_rate,In_detection_analysis_universe
A0A087WSY6,IGKV3D-15,Immunoglobulin kappa variable 3D-15,KVD15_HUMAN,1.24246744195097,0.0040983606557377,12534.23,111,153,0.7254901960784313,139,186,0.7473118279569892,134,176,0.7613636363636364,True
A0A087WSZ0,IGKV1D-8,Immunoglobulin kappa variable 1D-8,KVD08_HUMAN,1.024420777361664,0.0073810825587752,12836.71,13,153,0.08496732026143791,19,186,0.10215053763440861,34,176,0.19318181818181818,False
A0A087WW87;P01614,IGKV2-40;IGKV2D-40,Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40,KV240_HUMAN;KVD40_HUMAN,0.9456189153140436,0.0073810825587752,13310.11;13310.11,37,153,0.24183006535947713,59,186,0.3172043010752688,54,176,0.3068181818181818,False
A0A0A0MRZ8;P04433,IGKV3D-11;IGKV3-11,Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11,KVD11_HUMAN;KV311_HUMAN,1.084780816284444,0.0040983606557377,12625.24;12575.18,152,153,0.9934640522875817,185,186,0.9946236559139785,174,176,0.9886363636363636,True
A0A0A0MRZ9,IGLV5-52,Immunoglobulin lambda variable 5-52,LV552_HUMAN,1.521848205029677,0.0073810825587752,13445.97,29,153,0.1895424836601307,35,186,0.1881720430107527,23,176,0.13068181818181818,False
A0A0A0MS00,IGLV3-32,Probable non-functional immunoglobulin lambda variable 3-32,LV332_HUMAN,1.51298117233971,0.0073810825587752,12354.76,1,153,0.006535947712418301,3,186,0.016129032258064516,2,176,0.011363636363636364,False
A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49,HV349_HUMAN,1.483493305039684,0.0072727272727272,13055.93,152,153,0.9934640522875817,184,186,0.989247311827957,176,176,1.0,True
A0A0A0MT36,IGKV6D-21,Immunoglobulin kappa variable 6D-21,KVD21_HUMAN,1.517606078457163,0.0073810825587752,12339.89,49,153,0.3202614379084967,60,186,0.3225806451612903,64,176,0.36363636363636365,False
A0A0A0MT89,IGKJ1,Immunoglobulin kappa joining 1,KJ01_HUMAN,1.852687623806746,0.0040983606557377,1393.6,48,153,0.3137254901960784,80,186,0.43010752688172044,73,176,0.4147727272727273,False
A0A0B4J1U3,IGLV1-36,Immunoglobulin lambda variable 1-36,LV136_HUMAN,1.241038389424124,0.0072727272727272,12477.81,79,153,0.5163398692810458,90,186,0.4838709677419355,98,176,0.5568181818181818,False
A0A0B4J1U7,IGHV6-1,Immunoglobulin heavy variable 6-1,HV601_HUMAN,1.18320131043275,0.006765899864682,13481.28,145,153,0.9477124183006536,184,186,0.989247311827957,171,176,0.9715909090909091,True
A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15,HV315_HUMAN,1.318502772936979,0.0040983606557377,12925.78,150,153,0.9803921568627451,179,186,0.9623655913978495,170,176,0.9659090909090909,True
A0A0B4J1V2,IGHV2-26,Immunoglobulin heavy variable 2-26,HV226_HUMAN,1.438905779473081,0.0073810825587752,13182.26,98,153,0.6405228758169934,133,186,0.7150537634408602,128,176,0.7272727272727273,True
A0A0B4J1V6,IGHV3-73,Immunoglobulin heavy variable 3-73,HV373_HUMAN,1.358782542584088,0.0040983606557377,12857.67,94,153,0.6143790849673203,131,186,0.7043010752688172,121,176,0.6875,True
A0A0B4J1X5,IGHV3-74,Immunoglobulin heavy variable 3-74,HV374_HUMAN,1.359522229571974,0.0073810825587752,12839.61,152,153,0.9934640522875817,184,186,0.989247311827957,175,176,0.9943181818181818,True
A0A0B4J1Y8,IGLV9-49,Immunoglobulin lambda variable 9-49,LV949_HUMAN,1.857165418733417,0.0065597667638483,13023.67,134,153,0.8758169934640523,169,186,0.9086021505376344,159,176,0.9034090909090909,True
A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72,HV372_HUMAN,1.068702801555426,0.0040983606557377,13202.93,153,153,1.0,186,186,1.0,176,176,1.0,True
A0A0B4J2D9;P0DP09,IGKV1D-13;IGKV1-13,Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13,KVD13_HUMAN;KV113_HUMAN,1.958242222991236,0.0073810825587752,12569.29;12569.29,28,153,0.1830065359477124,51,186,0.27419354838709675,40,176,0.22727272727272727,False
A0A0C4DH24,IGKV6-21,Immunoglobulin kappa variable 6-21,KV621_HUMAN,1.373002078646351,0.0073810825587752,12430.01,27,153,0.17647058823529413,30,186,0.16129032258064516,32,176,0.18181818181818182,False
A0A0C4DH25,IGKV3D-20,Immunoglobulin kappa variable 3D-20,KVD20_HUMAN,1.19477827610204,0.0072727272727272,12515.07,140,153,0.9150326797385621,180,186,0.967741935483871,163,176,0.9261363636363636,True
A0A0C4DH29,IGHV1-3,Immunoglobulin heavy variable 1-3,HV103_HUMAN,1.967544886346266,0.0072727272727272,13007.72,73,153,0.477124183006536,97,186,0.521505376344086,91,176,0.5170454545454546,False
A0A0C4DH31,IGHV1-18,Immunoglobulin heavy variable 1-18,HV118_HUMAN,1.236606821710667,0.006765899864682,12820.43,102,153,0.6666666666666666,134,186,0.7204301075268817,131,176,0.7443181818181818,True
A0A0C4DH33,IGHV1-24,Immunoglobulin heavy variable 1-24,HV124_HUMAN,1.237575109915299,0.0040983606557377,12824.48,58,153,0.3790849673202614,74,186,0.3978494623655914,86,176,0.48863636363636365,False
A0A0C4DH34,IGHV4-28,Immunoglobulin heavy variable 4-28,HV428_HUMAN,1.070386719821807,0.0073810825587752,13124.06,140,153,0.9150326797385621,173,186,0.9301075268817204,162,176,0.9204545454545454,True
A0A0C4DH35,IGHV3-35,Probable non-functional immunoglobulin heavy variable 3-35,HV335_HUMAN,3.717040655446805,0.0073810825587752,12810.43,37,153,0.24183006535947713,47,186,0.25268817204301075,54,176,0.3068181818181818,False
A0A0C4DH36,IGHV3-38,Probable non-functional immunoglobulin heavy variable 3-38,HV338_HUMAN,1.357791220602419,0.0016233766233766,12758.54,105,153,0.6862745098039216,151,186,0.8118279569892473,138,176,0.7840909090909091,True
A0A0C4DH38,IGHV5-51,Immunoglobulin heavy variable 5-51,HV551_HUMAN,1.519484382505339,0.0040983606557377,12674.55,140,153,0.9150326797385621,178,186,0.956989247311828,164,176,0.9318181818181818,True
A0A0C4DH39,IGHV1-58,Immunoglobulin heavy variable 1-58,HV158_HUMAN,1.77850696491537,0.0073810825587752,13004.8,2,153,0.013071895424836602,5,186,0.026881720430107527,1,176,0.005681818181818182,False
A0A0C4DH43,IGHV2-70D,Immunoglobulin heavy variable 2-70D,HV70D_HUMAN,1.956001249093612,0.0073810825587752,13312.45,141,153,0.9215686274509803,166,186,0.8924731182795699,159,176,0.9034090909090909,True
A0A0C4DH67,IGKV1-8,Immunoglobulin kappa variable 1-8,KV108_HUMAN,0.9698835137681612,0.0016233766233766,12537.31,133,153,0.869281045751634,161,186,0.8655913978494624,167,176,0.9488636363636364,True
A0A0G2JS06,IGLV5-39,Immunoglobulin lambda variable 5-39,LV539_HUMAN,2.481968289063105,0.0073810825587752,13394.08,139,153,0.9084967320261438,163,186,0.8763440860215054,156,176,0.8863636363636364,True
A0A0J9YVY3,IGHV7-4-1,Immunoglobulin heavy variable 7-4-1,HV741_HUMAN,0.9153245180507742,0.0072727272727272,12848.57,27,153,0.17647058823529413,47,186,0.25268817204301075,46,176,0.26136363636363635,False
A0A0J9YWL9,TEX13C,Testis-expressed protein 13C,TX13C_HUMAN,0.8688433730289081,0.0073810825587752,109806.02,18,153,0.11764705882352941,16,186,0.08602150537634409,14,176,0.07954545454545454,False
A0A0J9YX35,IGHV3-64D,Immunoglobulin heavy variable 3-64D,HV64D_HUMAN,1.316506323784345,0.0016233766233766,12822.57,137,153,0.8954248366013072,174,186,0.9354838709677419,164,176,0.9318181818181818,True
A0A0J9YXX1,IGHV5-10-1,Immunoglobulin heavy variable 5-10-1,HV5X1_HUMAN,1.55214570211808,0.0073810825587752,12772.57,112,153,0.7320261437908496,148,186,0.7956989247311828,134,176,0.7613636363636364,True
A0A1B0GTC6,C3orf85,Uncharacterized protein C3orf85,CC085_HUMAN,0.6505657607169092,0.0040983606557377,10385.93,153,153,1.0,186,186,1.0,176,176,1.0,True
A0A494C071,PWWP4,Putative PWWP domain-containing DNA repair factor 4,PWWP4_HUMAN,1.088493665036199,0.0073810825587752,217772.85,11,153,0.0718954248366013,26,186,0.13978494623655913,27,176,0.1534090909090909,False
A0AV96,RBM47,RNA-binding protein 47,RBM47_HUMAN,0.7253183541452244,0.0073810825587752,64099.08,8,153,0.05228758169934641,30,186,0.16129032258064516,25,176,0.14204545454545456,False
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,UBA6_HUMAN,1.153042167837456,0.0040983606557377,117969.97,34,153,0.2222222222222222,49,186,0.26344086021505375,52,176,0.29545454545454547,False
A0FGR8,ESYT2,Extended synaptotagmin-2,ESYT2_HUMAN,3.793087416090565,0.0058910162002945,102357.48,69,153,0.45098039215686275,80,186,0.43010752688172044,78,176,0.4431818181818182,False
A0M8Q6,IGLC7,Immunoglobulin lambda constant 7,IGLC7_HUMAN,0.8616601287827661,0.0073810825587752,11253.59,151,153,0.9869281045751634,183,186,0.9838709677419355,172,176,0.9772727272727273,True
A0PJW8,DAPL1,Death-associated protein-like 1,DAPL1_HUMAN,1.576964708955268,0.0073810825587752,11879.96,108,153,0.7058823529411765,93,186,0.5,107,176,0.6079545454545454,True
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10,RHG10_HUMAN,1.686451095647608,0.0072727272727272,89374.61,30,153,0.19607843137254902,24,186,0.12903225806451613,27,176,0.1534090909090909,False
A1L4H1,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SRCRL_HUMAN,0.6781561597944873,0.0040983606557377,165742.73,153,153,1.0,186,186,1.0,176,176,1.0,True
A1X283;Q5TCZ1,SH3PXD2B;SH3PXD2A,SH3 and PX domain-containing protein 2B;SH3 and PX domain-containing protein 2A,SPD2B_HUMAN;SPD2A_HUMAN,1.033733202321213,0.0073810825587752,101579.09;125289.33,7,153,0.0457516339869281,6,186,0.03225806451612903,8,176,0.045454545454545456,False
A2A2Y4,FRMD3,FERM domain-containing protein 3,FRMD3_HUMAN,0.8795871022229491,0.0073810825587752,68772,4,153,0.026143790849673203,6,186,0.03225806451612903,2,176,0.011363636363636364,False
A2A3L6,TTC24,Tetratricopeptide repeat protein 24,TTC24_HUMAN,1.041152229553386,0.0073810825587752,63396.45,127,153,0.8300653594771242,172,186,0.9247311827956989,142,176,0.8068181818181818,True
A2CJ06,DYTN,Dystrotelin,DYTN_HUMAN,0.6173116738955943,0.0073810825587752,65319.79,132,153,0.8627450980392157,167,186,0.8978494623655914,153,176,0.8693181818181818,True
A2NJV5,IGKV2-29,Immunoglobulin kappa variable 2-29,KV229_HUMAN,1.045029244500158,0.0016233766233766,13085.04,153,153,1.0,186,186,1.0,176,176,1.0,True
A2PYH4,HFM1,Probable ATP-dependent DNA helicase HFM1,HFM1_HUMAN,1.071002525712559,0.0073810825587752,162609.8,11,153,0.0718954248366013,13,186,0.06989247311827956,17,176,0.09659090909090909,False
A2RRP1,NBAS,NBAS subunit of NRZ tethering complex,NBAS_HUMAN,0.7408825695332336,0.0073810825587752,268571.31,15,153,0.09803921568627451,17,186,0.0913978494623656,23,176,0.13068181818181818,False
A2RUS2,DENND3,DENN domain-containing protein 3,DEND3_HUMAN,1.39732138246481,0.0072727272727272,135890.04,37,153,0.24183006535947713,61,186,0.3279569892473118,49,176,0.2784090909090909,False
A4D1P6,WDR91,WD repeat-containing protein 91,WDR91_HUMAN,0.6520539108134489,0.0072727272727272,83344.4,67,153,0.43790849673202614,81,186,0.43548387096774194,72,176,0.4090909090909091,False
A6NDG6,PGP,Glycerol-3-phosphate phosphatase,PGP_HUMAN,0.6262161281909103,0.0058910162002945,34006.06,140,153,0.9150326797385621,172,186,0.9247311827956989,153,176,0.8693181818181818,True
A6NDU8,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,RIMC1_HUMAN,0.9809743585524636,0.0055467511885895,33620.39,40,153,0.26143790849673204,44,186,0.23655913978494625,41,176,0.23295454545454544,False
A6NH11,GLTPD2,Glycolipid transfer protein domain-containing protein 2,GLTD2_HUMAN,0.6667545545330928,0.0073810825587752,31641.6,84,153,0.5490196078431373,121,186,0.6505376344086021,94,176,0.5340909090909091,True
A6NHL2,TUBAL3,Tubulin alpha chain-like 3,TBAL3_HUMAN,0.707226377088288,0.0073810825587752,49908.73,4,153,0.026143790849673203,1,186,0.005376344086021506,6,176,0.03409090909090909,False
A6NL88,SHISA7,Protein shisa-7,SHSA7_HUMAN,0.7074428439055316,0.0040983606557377,56213.58,143,153,0.934640522875817,185,186,0.9946236559139785,165,176,0.9375,True
A6NM11;A6NMS7,LRRC37A2;LRRC37A,Leucine-rich repeat-containing protein 37A2;Leucine-rich repeat-containing protein 37A,L37A2_HUMAN;L37A1_HUMAN,0.5773559152371951,0.0072727272727272,188392.54;188258.42,142,153,0.9281045751633987,170,186,0.9139784946236559,151,176,0.8579545454545454,True
A6NML5,TMEM212,Transmembrane protein 212,TM212_HUMAN,1.292661326075326,0.0073810825587752,21425.22,109,153,0.7124183006535948,142,186,0.7634408602150538,123,176,0.6988636363636364,True
A6QL63,ABTB3,Ankyrin repeat- and BTB/POZ domain-containing protein 3,ABTB3_HUMAN,1.028372219590935,0.0072727272727272,120884.07,6,153,0.0392156862745098,9,186,0.04838709677419355,11,176,0.0625,False
A8CG34;Q96HA1,POM121C;POM121,Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121,P121C_HUMAN;P121A_HUMAN,0.5734585127160343,0.0073810825587752,125091.91;127720.35,44,153,0.2875816993464052,55,186,0.2956989247311828,43,176,0.24431818181818182,False
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3,WASHC1;WASH4P;WASH3P;WASH2P;WASH6P,WASH complex subunit 1;Putative WAS protein family homolog 4;Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 6,WASH1_HUMAN;WASH4_HUMAN;WASH3_HUMAN;WASH2_HUMAN;WASH6_HUMAN,0.8599916328671885,0.0072727272727272,50327.93;51595.46;49994.54;50312.01;47990.08,10,153,0.06535947712418301,13,186,0.06989247311827956,14,176,0.07954545454545454,False
A8K2U0,A2ML1,Alpha-2-macroglobulin-like protein 1,A2ML1_HUMAN,1.528720150980046,0.0040983606557377,161106.52,104,153,0.6797385620915033,105,186,0.5645161290322581,110,176,0.625,True
A8MYB1,TMCO5B,Transmembrane and coiled-coil domain-containing protein 5B,TMC5B_HUMAN,1.239290345531549,0.0073810825587752,35762.99,141,153,0.9215686274509803,175,186,0.9408602150537635,154,176,0.875,True
B0I1T2,MYO1G,Unconventional myosin-Ig,MYO1G_HUMAN,0.5956341969155148,0.0040983606557377,116442.07,153,153,1.0,182,186,0.978494623655914,169,176,0.9602272727272727,True
B2RUZ4,SMIM1,Small integral membrane protein 1,SMIM1_HUMAN,0.6655368202025893,0.0072727272727272,8749.12,132,153,0.8627450980392157,169,186,0.9086021505376344,145,176,0.8238636363636364,True
B5ME19;Q99613,EIF3CL;EIF3C,Eukaryotic translation initiation factor 3 subunit C-like protein;Eukaryotic translation initiation factor 3 subunit C,EIFCL_HUMAN;EIF3C_HUMAN,0.5023690230673592,0.0073810825587752,105472.91;105343.79,18,153,0.11764705882352941,20,186,0.10752688172043011,20,176,0.11363636363636363,False
E9PAV3,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",NACAM_HUMAN,0.5557732651453169,0.0065597667638483,205421.52,121,153,0.7908496732026143,150,186,0.8064516129032258,144,176,0.8181818181818182,True
L0R6Q1,SLC35A4,SLC35A4 upstream open reading frame protein,S35U4_HUMAN,0.9153496518508886,0.0073810825587752,11132.78,3,153,0.0196078431372549,7,186,0.03763440860215054,8,176,0.045454545454545456,False
O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",ADAS_HUMAN,1.549229161724509,0.0073810825587752,72911.81,22,153,0.1437908496732026,23,186,0.12365591397849462,20,176,0.11363636363636363,False
O00139,KIF2A,Kinesin-like protein KIF2A,KIF2A_HUMAN,1.892922263266672,0.0040983606557377,79954.54,77,153,0.5032679738562091,103,186,0.553763440860215,102,176,0.5795454545454546,False
O00148,DDX39A,ATP-dependent RNA helicase DDX39A,DX39A_HUMAN,1.178025210847416,0.0072727272727272,49129.51,53,153,0.3464052287581699,66,186,0.3548387096774194,59,176,0.3352272727272727,False
O00151,PDLIM1,PDZ and LIM domain protein 1,PDLI1_HUMAN,2.158304876258407,0.0040983606557377,36071.71,144,153,0.9411764705882353,177,186,0.9516129032258065,166,176,0.9431818181818182,True
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,BACH_HUMAN,0.9368163275980202,0.0072727272727272,41796.02,98,153,0.6405228758169934,107,186,0.5752688172043011,99,176,0.5625,True
O00159,MYO1C,Unconventional myosin-Ic,MYO1C_HUMAN,0.8813042187755954,0.0040983606557377,121681.67,105,153,0.6862745098039216,138,186,0.7419354838709677,123,176,0.6988636363636364,True
O00160,MYO1F,Unconventional myosin-If,MYO1F_HUMAN,1.20055277759016,0.006765899864682,124844.28,78,153,0.5098039215686274,115,186,0.6182795698924731,98,176,0.5568181818181818,True
O00161,SNAP23,Synaptosomal-associated protein 23,SNP23_HUMAN,1.895019964929095,0.0040983606557377,23354.04,123,153,0.803921568627451,142,186,0.7634408602150538,130,176,0.7386363636363636,True
O00170,AIP,AH receptor-interacting protein,AIP_HUMAN,0.9443742873255953,0.0073810825587752,37664.06,20,153,0.13071895424836602,27,186,0.14516129032258066,29,176,0.16477272727272727,False
O00175,CCL24,C-C motif chemokine 24,CCL24_HUMAN,2.812085830140955,0.0073810825587752,13133.53,29,153,0.1895424836601307,36,186,0.1935483870967742,21,176,0.11931818181818182,False
O00186,STXBP3,Syntaxin-binding protein 3,STXB3_HUMAN,1.558978720078719,0.0073810825587752,67764.27,133,153,0.869281045751634,163,186,0.8763440860215054,140,176,0.7954545454545454,True
O00187,MASP2,Mannan-binding lectin serine protease 2,MASP2_HUMAN,0.5235258794783805,0.0016233766233766,75702.36,153,153,1.0,186,186,1.0,176,176,1.0,True
O00194,RAB27B,Ras-related protein Rab-27B,RB27B_HUMAN,2.600254524602919,0.0016233766233766,24607.84,139,153,0.9084967320261438,175,186,0.9408602150537635,160,176,0.9090909090909091,True
O00203,AP3B1,AP-3 complex subunit beta-1,AP3B1_HUMAN,1.281678964147072,0.0040983606557377,121320.17,83,153,0.5424836601307189,111,186,0.5967741935483871,94,176,0.5340909090909091,False
O00204,SULT2B1,Sulfotransferase 2B1,ST2B1_HUMAN,1.274419572226604,0.0073810825587752,41307.71,16,153,0.10457516339869281,30,186,0.16129032258064516,19,176,0.10795454545454546,False
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,PSD11_HUMAN,0.9712342448866244,0.0016233766233766,47463.77,144,153,0.9411764705882353,171,186,0.9193548387096774,159,176,0.9034090909090909,True
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,PSD12_HUMAN,6.632963285336721,0.0055467511885895,52904.4,134,153,0.8758169934640523,161,186,0.8655913978494624,147,176,0.8352272727272727,True
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,PSMD9_HUMAN,0.8753422356098832,0.0016233766233766,24681.81,120,153,0.7843137254901961,141,186,0.7580645161290323,120,176,0.6818181818181818,True
O00241,SIRPB1,Signal-regulatory protein beta-1,SIRB1_HUMAN,1.927793092110253,0.0073810825587752,43211.11,22,153,0.1437908496732026,29,186,0.15591397849462366,30,176,0.17045454545454544,False
O00244,ATOX1,Copper transport protein ATOX1,ATOX1_HUMAN,1.197451821276459,0.0072727272727272,7401.62,24,153,0.1568627450980392,27,186,0.14516129032258066,32,176,0.18181818181818182,False
O00253,AGRP,Agouti-related protein,AGRP_HUMAN,1.050089733398748,0.0073810825587752,14439.87,1,153,0.006535947712418301,1,186,0.005376344086021506,0,176,0.0,False
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,PGRC1_HUMAN,1.286253630447219,0.0040983606557377,21671.15,141,153,0.9215686274509803,176,186,0.946236559139785,148,176,0.8409090909090909,True
O00292;O75610,LEFTY2;LEFTY1,Left-right determination factor 2;Left-right determination factor 1,LFTY2_HUMAN;LFTY1_HUMAN,0.6276044550121396,0.0073810825587752,40920.19;40880.08,18,153,0.11764705882352941,24,186,0.12903225806451613,30,176,0.17045454545454544,False
O00299,CLIC1,Chloride intracellular channel protein 1,CLIC1_HUMAN,1.500441151143303,0.0016233766233766,26922.72,153,153,1.0,186,186,1.0,176,176,1.0,True
O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F,EIF3F_HUMAN,2.479235407956509,0.0073810825587752,37563.85,53,153,0.3464052287581699,65,186,0.34946236559139787,45,176,0.2556818181818182,False
O00339,MATN2,Matrilin-2,MATN2_HUMAN,0.6658703939354366,0.0040983606557377,106836.92,142,153,0.9281045751633987,173,186,0.9301075268817204,158,176,0.8977272727272727,True
O00391,QSOX1,Sulfhydryl oxidase 1,QSOX1_HUMAN,0.6193540725565324,0.0016233766233766,82577.73,153,153,1.0,186,186,1.0,176,176,1.0,True
O00410,IPO5,Importin-5,IPO5_HUMAN,0.84560932877311,0.0072727272727272,123629.93,130,153,0.8496732026143791,150,186,0.8064516129032258,135,176,0.7670454545454546,True
O00429,DNM1L,Dynamin-1-like protein,DNM1L_HUMAN,2.285240547261644,0.0040983606557377,81877.15,132,153,0.8627450980392157,150,186,0.8064516129032258,140,176,0.7954545454545454,True
O00442,RTCA,RNA 3'-terminal phosphate cyclase,RTCA_HUMAN,0.8607032438665797,0.0073810825587752,39336.73,59,153,0.38562091503267976,75,186,0.4032258064516129,64,176,0.36363636363636365,False
O00453,LST1,Leukocyte-specific transcript 1 protein,LST1_HUMAN,0.8269043924132831,0.0073810825587752,10792.39,35,153,0.22875816993464052,37,186,0.1989247311827957,38,176,0.2159090909090909,False
