Sheet1_position,Sheet1_raw_header,Resolution_method,metadata_index,metadata_excel_row,UniqueSampleID,进样时间,sample,condition,group,TREAT1,TREAT1_clean,TREAT2,Tube_Mixing,WoleBlood_oldTime,Plasma_HoldTime_h,Note,detected_protein_groups,missing_pct,missing_protein_groups,median_observed_abundance,total_observed_abundance,mean_observed_abundance,q25_observed_abundance,q75_observed_abundance,MS_batch_proxy,overall
22,20250913__Q36_,P1_UNIQUE_NAME,117,119,20250913_FJ_QZ_Q36,20250913,Q36,high_temperature,FJ_QZ,low,low,unkown,Normal,0,Unknown,,2297,39.82184962012052,1520,322.4613647460937,21314014.714941263,9279.06604916903,127.7537231445312,1282.057373046875,20250913,Overall
23,20250913__Q37_,P1_UNIQUE_NAME,118,120,20250913_FJ_QZ_Q37,20250913,Q37,high_temperature,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2057,46.10951008645533,1760,361.3049011230469,22548291.744805813,10961.73638541848,133.1748657226562,1492.337646484375,20250913,Overall
24,20250913__Q38_,P1_UNIQUE_NAME,119,121,20250913_FJ_QZ_Q38,20250913,Q38,high_temperature,FJ_QZ,low,low,unkown,Normal,0,Unknown,,2020,47.07885774168195,1797,299.5933837890625,19305553.075665712,9557.204492903818,114.21326637268065,1314.463500976563,20250913,Overall
25,20250913__Q39_,P1_UNIQUE_NAME,120,122,20250913_FJ_QZ_Q39,20250913,Q39,high_temperature,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2178,42.93948126801153,1639,354.9559020996094,21153677.90800953,9712.43246465084,127.87126922607422,1400.0285949707031,20250913,Overall
26,20250913__Q41_,P1_UNIQUE_NAME,121,123,20250913_FJ_QZ_Q41,20250913,Q41,high_temperature,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2575,32.538642913282686,1242,303.1237487792969,21307284.697813034,8274.673669053605,114.8982048034668,1115.007568359375,20250913,Overall
27,20250913__Q42_,P1_UNIQUE_NAME,122,124,20250913_FJ_QZ_Q42,20250913,Q42,high_temperature,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2090,45.24495677233429,1727,309.43946838378906,18330902.602077246,8770.766795252272,111.96370697021482,1318.3291931152344,20250913,Overall
28,20250913__Q44_,P1_UNIQUE_NAME,123,125,20250913_FJ_QZ_Q44,20250913,Q44,high_temperature,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,1930,49.43673041655751,1887,327.4392395019531,20003457.978435516,10364.485999189386,133.01771545410156,1418.08349609375,20250913,Overall
29,20250913__Q45_,P1_UNIQUE_NAME,124,126,20250913_FJ_QZ_Q45,20250913,Q45,high_temperature,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,2042,46.50248886560126,1775,284.8114471435547,15586034.818340302,7632.730077541773,109.63780021667483,1160.6254882812495,20250913,Overall
30,20250913__Q48_,P1_UNIQUE_NAME,125,127,20250913_FJ_QZ_Q48,20250913,Q48,high_temperature,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,1695,55.59339795651035,2122,303.6962890625,12959105.337483644,7645.4898746216195,107.88688278198245,1385.236389160156,20250913,Overall
31,20250913__Q49_,P1_UNIQUE_NAME,126,128,20250913_FJ_QZ_Q49,20250913,Q49,high_temperature,FJ_QZ,low,low,high_sound,Normal,0,Unknown,,2393,37.30678543358658,1424,328.1627197265625,21342520.477511406,8918.729827626998,124.5571441650391,1293.544189453125,20250913,Overall
32,20250913__Q50_,P1_UNIQUE_NAME,127,129,20250913_FJ_QZ_Q50,20250913,Q50,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2249,41.07938171338748,1568,252.197509765625,14380203.136649847,6394.043191040394,106.1350936889648,950.7462158203124,20250913,Overall
33,20250913__Q52_,P1_UNIQUE_NAME,128,130,20250913_FJ_QZ_Q52,20250913,Q52,high_temperature,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,1998,47.65522661776264,1819,288.1096954345703,15524649.111611128,7770.09465045602,110.87660217285158,1241.4902038574214,20250913,Overall
34,20250913__Q54_,P1_UNIQUE_NAME,129,131,20250913_FJ_QZ_Q54,20250913,Q54,high_temperature,FJ_QZ,contrl,control,high_sound,Normal,0,Unknown,,2027,46.89546764474719,1790,244.8527526855469,12647676.281673193,6239.603493672024,92.63709259033202,977.7252197265625,20250913,Overall
35,20250913__Q55_,P1_UNIQUE_NAME,130,132,20250913_FJ_QZ_Q55,20250913,Q55,high_temperature,FJ_QZ,contrl,control,high_sound,Normal,0,Unknown,,2140,43.93502750851454,1677,289.83544921875,17104902.06427169,7992.9448898465835,114.72479438781738,1287.1561889648438,20250913,Overall
36,20250913__Q57_,P1_UNIQUE_NAME,131,133,20250913_FJ_QZ_Q57,20250913,Q57,high_temperature,FJ_QZ,contrl,control,high_sound,Normal,0,Unknown,,2102,44.93057374901756,1715,284.14405822753906,15914362.23986721,7571.057202600957,111.38175201416021,1140.9256591796875,20250913,Overall
37,20250913__Q58_,P1_UNIQUE_NAME,132,134,20250913_FJ_QZ_Q58,20250913,Q58,high_temperature,FJ_QZ,low,low,high_sound,Normal,0,Unknown,,2056,46.13570867173173,1761,353.85939025878906,19526554.86170101,9497.351586430454,133.40426635742188,1324.5372009277344,20250913,Overall
38,20250913__Q59_,P1_UNIQUE_NAME,133,135,20250913_FJ_QZ_Q59,20250913,Q59,high_temperature,FJ_QZ,low,low,high_sound,Normal,0,Unknown,,2357,38.24993450353681,1460,374.3627319335938,22881096.108876705,9707.720029222191,138.4873962402344,1392.85595703125,20250913,Overall
39,20250913__Q60_,P1_UNIQUE_NAME,134,136,20250913_FJ_QZ_Q60,20250913,Q60,high_temperature,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,2008,47.39324076499869,1809,255.1165542602539,14769015.84712553,7355.087573269687,100.03693008422853,1117.8527221679685,20250913,Overall
40,20250913__Q61_,P1_UNIQUE_NAME,135,137,20250913_FJ_QZ_Q61,20250913,Q61,high_temperature,FJ_QZ,contrl,control,high_sound,Normal,0,Unknown,,2004,47.49803510610427,1813,261.5881652832031,14342448.237919807,7156.910298363177,98.03293037414552,1038.246337890625,20250913,Overall
41,20250913__Q62_,P1_UNIQUE_NAME,136,138,20250913_FJ_QZ_Q62,20250913,Q62,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2737,28.29447209850668,1080,344.5281066894531,26626027.90151,9728.179722875411,136.845458984375,1264.054809570312,20250913,Overall
42,20250913__Q63_,P1_UNIQUE_NAME,137,139,20250913_FJ_QZ_Q63,20250913,Q63,high_temperature,FJ_QZ,contrl,control,high_sound,Normal,0,Unknown,,2212,42.0487293686141,1605,336.70616149902344,20965055.42438793,9477.873157499065,128.35483932495117,1377.193786621094,20250913,Overall
43,20250913__Q65_,P1_UNIQUE_NAME,138,140,20250913_FJ_QZ_Q65,20250913,Q65,high_temperature,FJ_QZ,contrl,control,high_sound,Normal,0,Unknown,,2078,45.55933979565104,1739,359.0553894042969,17356278.290478706,8352.395712453661,129.25365066528317,1305.1717834472656,20250913,Overall
44,20250913__Q66_,P1_UNIQUE_NAME,139,141,20250913_FJ_QZ_Q66,20250913,Q66,high_temperature,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,2385,37.51637411579775,1432,376.5475158691406,26297737.000228405,11026.304821898702,139.5424041748047,1496.3681640625,20250913,Overall
45,20250913__Q67_,P1_UNIQUE_NAME,140,142,20250913_FJ_QZ_Q67,20250913,Q67,high_temperature,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,2111,44.69478648153,1706,411.6115112304688,26347446.316904545,12481.026204123422,155.1340637207031,1741.11669921875,20250913,Overall
46,20250913__Q68_,P1_UNIQUE_NAME,141,143,20250913_FJ_QZ_Q68,20250913,Q68,high_temperature,FJ_QZ,contrl,control,unkown,Normal,0,Unknown,,2014,47.23604925334032,1803,335.5708770751953,17244397.19342208,8562.262757409175,111.10398483276367,1220.3094787597656,20250913,Overall
47,20250913__Q69_,P1_UNIQUE_NAME,142,144,20250913_FJ_QZ_Q69,20250913,Q69,high_temperature,FJ_QZ,contrl,control,unkown,Normal,0,Unknown,,1670,56.24836258842022,2147,267.02952575683594,11298306.336865425,6765.452896326602,98.97393608093262,1027.24772644043,20250913,Overall
48,20250913__Q70_,P1_UNIQUE_NAME,143,145,20250913_FJ_QZ_Q70,20250913,Q70,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2352,38.38092742991879,1465,340.0400085449219,21740163.81674671,9243.266928888908,129.31172180175784,1334.6870422363281,20250913,Overall
49,20250913__Q71_,P1_UNIQUE_NAME,144,146,20250913_FJ_QZ_Q71,20250913,Q71,high_temperature,FJ_QZ,contrl,control,unkown,Normal,0,Unknown,,2297,39.82184962012052,1520,333.9671936035156,20096255.64200759,8748.914080107788,122.4258270263672,1320.674682617188,20250913,Overall
50,20250913__Q72_,P1_UNIQUE_NAME,145,147,20250913_FJ_QZ_Q72,20250913,Q72,high_temperature,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,1874,50.90385119203563,1943,395.7514343261719,20298029.14882946,10831.392288596297,149.50669479370117,1639.4418945312495,20250913,Overall
51,20250914__F43,P1_UNIQUE_NAME,0,2,20250914_FJ_FQ_F43,20250914,F43,high_temperature,FJ_FQ,unknown,unknown,unknown,Insufficient,2,Unknown,,2165,43.28006287660466,1652,355.1775207519531,21803441.95627117,10070.873882804237,136.9918823242188,1602.8935546875,20250914,Overall
52,20250914__F47,P1_UNIQUE_NAME,1,3,20250914_FJ_FQ_F47,20250914,F47,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2141,43.90882892323815,1676,300.6686401367188,17809716.049061537,8318.41011165882,115.106330871582,1255.15966796875,20250914,Overall
53,20250914__F51,P1_UNIQUE_NAME,2,4,20250914_FJ_FQ_F51,20250914,F51,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2308,39.53366518208017,1509,331.84291076660156,21235658.66639781,9200.891969843073,128.5847473144531,1546.6180114746094,20250914,Overall
54,20250914__F53,P1_UNIQUE_NAME,3,5,20250914_FJ_FQ_F53,20250914,F53,high_temperature,FJ_FQ,contrl,control,low_sound,Insufficient,2,Unknown,,2234,41.47236049253341,1583,311.3690948486328,18519687.492787838,8289.922781015146,122.24472999572757,1306.1408386230473,20250914,Overall
55,20250914__F54,P1_UNIQUE_NAME,4,6,20250914_FJ_FQ_F54,20250914,F54,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2353,38.35472884464239,1464,287.4581909179688,17459118.82109785,7419.940000466575,109.8682708740234,1156.388793945312,20250914,Overall
56,20250914__F55,P1_UNIQUE_NAME,5,7,20250914_FJ_FQ_F55,20250914,F55,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2460,35.551480220068115,1357,330.94468688964844,24488644.727125645,9954.733628912863,129.50474929809567,1517.4840393066406,20250914,Overall
57,20250914__F56,P1_UNIQUE_NAME,6,8,20250914_FJ_FQ_F56,20250914,F56,high_temperature,FJ_FQ,contrl,control,unknown,Insufficient,2,Unknown,,2230,41.577154833638986,1587,358.9674377441406,21586289.51897353,9679.950456938803,139.73345184326172,1528.4984741210935,20250914,Overall
58,20250914__F57,P1_UNIQUE_NAME,7,9,20250914_FJ_FQ_F57,20250914,F57,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2766,27.534713125491223,1051,356.5795593261719,23273913.89516449,8414.285573089113,142.63976287841797,1267.4049682617185,20250914,Overall
59,20250914__F58,P1_UNIQUE_NAME,8,10,20250914_FJ_FQ_F58,20250914,F58,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2110,44.72098506680639,1707,246.273323059082,15034680.551155329,7125.441019504895,88.09708595275879,1122.6000366210935,20250914,Overall
60,20250914__F62,P1_UNIQUE_NAME,9,11,20250914_FJ_FQ_F62,20250914,F62,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2093,45.16636101650511,1724,342.3495788574219,19092970.293778896,9122.298277008551,127.031982421875,1442.533935546875,20250914,Overall
61,20250914__F66,P1_UNIQUE_NAME,10,12,20250914_FJ_FQ_F66,20250914,F66,high_temperature,FJ_FQ,contrl,control,low_sound,Insufficient,2,Unknown,,2160,43.41105580298664,1657,328.14662170410156,18691432.089042187,8653.440781963975,126.55883789062503,1427.323394775391,20250914,Overall
62,20250914__F69,P1_UNIQUE_NAME,11,13,20250914_FJ_FQ_F69,20250914,F69,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2048,46.34529735394289,1769,295.86773681640625,15985455.433803082,7805.398161036661,111.47842788696288,1193.9515380859375,20250914,Overall
63,20250914__F70,P1_UNIQUE_NAME,12,14,20250914_FJ_FQ_F70,20250914,F70,high_temperature,FJ_FQ,contrl,control,low_sound,Insufficient,2,Unknown,,2240,41.31516898087504,1577,367.6171569824219,22822391.668365,10188.567709091518,137.84937667846683,1527.4799804687505,20250914,Overall
64,20250914__F71,P1_UNIQUE_NAME,13,15,20250914_FJ_FQ_F71,20250914,F71,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1891,50.45847524233691,1926,327.8386840820312,16150898.26042229,8540.929804559646,117.23688507080075,1440.900329589844,20250914,Overall
65,20250914__F72,P1_UNIQUE_NAME,14,16,20250914_FJ_FQ_F72,20250914,F72,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2147,43.75163741157977,1670,381.1123962402344,21324619.21999407,9932.286548669803,141.1551666259766,1570.3775634765625,20250914,Overall
66,20250914__F74,P1_UNIQUE_NAME,15,17,20250914_FJ_FQ_F74,20250914,F74,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,1939,49.20094314906995,1878,411.9498596191406,19739907.103581905,10180.457505715269,147.62783813476565,1769.9338989257815,20250914,Overall
67,20250914__F75,P1_UNIQUE_NAME,16,18,20250914_FJ_FQ_F75,20250914,F75,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2298,39.79565103484412,1519,390.68066406250006,21980265.549013793,9564.954547003392,148.9212532043457,1619.931304931641,20250914,Overall
68,20250914__F77,P1_UNIQUE_NAME,17,19,20250914_FJ_FQ_F77,20250914,F77,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,1199,68.58789625360231,2618,517.6468505859375,16925016.341704845,14115.943571063257,180.97447204589844,2883.060546875,20250914,Overall
69,20250914__F79,P1_UNIQUE_NAME,18,20,20250914_FJ_FQ_F79,20250914,F79,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2173,43.07047419439351,1644,301.376220703125,17591589.02999705,8095.531076850921,116.1885604858398,1280.29443359375,20250914,Overall
70,20250914__F81,P1_UNIQUE_NAME,19,21,20250914_FJ_FQ_F81,20250914,F81,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1727,54.7550432276657,2090,345.0226440429688,20573091.03863275,11912.617856764766,117.05751419067386,1742.440734863281,20250914,Overall
71,20250914__F83,P1_UNIQUE_NAME,20,22,20250914_FJ_FQ_F83,20250914,F83,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2252,41.00078595755829,1565,313.1768493652344,16792312.405888855,7456.621849861836,120.09675216674803,1349.6501464843755,20250914,Overall
72,20250914__F84,P1_UNIQUE_NAME,21,23,20250914_FJ_FQ_F84,20250914,F84,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2215,41.97013361278491,1602,310.5945129394531,20698811.7764225,9344.836016443567,115.59927749633789,1381.645751953125,20250914,Overall
73,20250914__F85,P1_UNIQUE_NAME,22,24,20250914_FJ_FQ_F85,20250914,F85,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1755,54.02148283992665,2062,458.1822509765625,21964299.297644615,12515.270255068157,164.2638320922852,2017.70947265625,20250914,Overall
74,20250914__F88,P1_UNIQUE_NAME,23,25,20250914_FJ_FQ_F88,20250914,F88,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1786,53.2093266963584,2031,252.76697540283206,13540029.884179592,7581.203742541765,92.21623611450195,1031.825927734375,20250914,Overall
75,20250914__F89,P1_UNIQUE_NAME,24,26,20250914_FJ_FQ_F89,20250914,F89,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1736,54.51925596017815,2081,381.34930419921875,21637700.559641838,12464.113225600137,141.0181007385254,1894.6593627929688,20250914,Overall
76,20250914__F93,P1_UNIQUE_NAME,25,27,20250914_FJ_FQ_F93,20250914,F93,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2065,45.89992140424417,1752,396.0602416992188,20530275.325764,9942.02194952252,155.1318969726562,1647.568359375,20250914,Overall
77,20250914__F94,P1_UNIQUE_NAME,26,28,20250914_FJ_FQ_F94,20250914,F94,high_temperature,FJ_FQ,contrl,control,low_sound,Insufficient,2,Unknown,,1599,58.10846214304427,2218,325.951171875,12040331.659146845,7529.913482893587,117.21136474609375,1520.259765625,20250914,Overall
78,20250914__F102,P1_UNIQUE_NAME,27,29,20250914_FJ_FQ_F102,20250914,F102,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2170,43.14906995022269,1647,366.79917907714844,21179097.612030506,9759.95281660392,142.11466598510742,1398.954650878906,20250914,Overall
79,20250914__F105,P1_UNIQUE_NAME,28,30,20250914_FJ_FQ_F105,20250914,F105,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2146,43.77783599685617,1671,391.98219299316406,21325927.635149598,9937.524527096737,147.53166961669922,1686.6050720214844,20250914,Overall
80,20250914__F106,P1_UNIQUE_NAME,29,31,20250914_FJ_FQ_F106,20250914,F106,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2228,41.62955200419177,1589,309.7227783203125,19411477.534579992,8712.512358429081,121.22521972656247,1498.6188354492188,20250914,Overall
81,20250914__F107,P1_UNIQUE_NAME,30,32,20250914_FJ_FQ_F107,20250914,F107,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2430,36.33743777835997,1387,430.94952392578125,26692614.783998013,10984.615137447741,165.83552932739258,1732.992614746094,20250914,Overall
82,20250914__F110,P1_UNIQUE_NAME,31,33,20250914_FJ_FQ_F110,20250914,F110,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2109,44.74718365208279,1708,377.3096618652344,23988399.12506914,11374.300201550092,138.9665832519531,1652.238525390625,20250914,Overall
83,20250914__F111,P1_UNIQUE_NAME,32,34,20250914_FJ_FQ_F111,20250914,F111,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,1987,47.94341105580299,1830,225.818099975586,12788020.860943317,6435.843412653909,88.09862518310547,933.5024108886719,20250914,Overall
84,20250914__F118,P1_UNIQUE_NAME,33,35,20250914_FJ_FQ_F118,20250914,F118,high_temperature,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,1973,48.31019124967252,1844,407.0685729980469,21929375.112670302,11114.736499072631,156.10205078125,1788.193481445312,20250914,Overall
85,20250914__F121,P1_UNIQUE_NAME,34,36,20250914_FJ_FQ_F121,20250914,F121,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1952,48.860361540476816,1865,463.6294250488281,22055272.35513735,11298.807558984297,172.54323959350583,1915.5187377929683,20250914,Overall
86,20250914__F122,P1_UNIQUE_NAME,35,37,20250914_FJ_FQ_F122,20250914,F122,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1751,54.12627718103222,2066,285.4246520996094,15345807.147930384,8764.024641879145,108.3453712463379,1294.1317138671875,20250914,Overall
87,20250914__F123,P1_UNIQUE_NAME,36,38,20250914_FJ_FQ_F123,20250914,F123,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2117,44.53759496987163,1700,361.6047973632813,21971746.05221796,10378.718021831819,143.6044921875,1500.008178710938,20250914,Overall
88,20250914__F124,P1_UNIQUE_NAME,37,39,20250914_FJ_FQ_F124,20250914,F124,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1924,49.59392192821588,1893,368.5677185058594,20574939.300097108,10693.835395060867,142.9835662841797,1664.3232116699214,20250914,Overall
89,20250914__F125,P1_UNIQUE_NAME,38,40,20250914_FJ_FQ_F125,20250914,F125,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1866,51.1134398742468,1951,292.0791778564453,14738619.071001768,7898.509684352502,109.48205184936525,1188.2967224121094,20250914,Overall
90,20250914__F126,P1_UNIQUE_NAME,39,41,20250914_FJ_FQ_F126,20250914,F126,high_temperature,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1302,65.88944197013362,2515,510.5375061035156,17244990.602832317,13245.000463004852,156.76535797119143,2535.8171997070312,20250914,Overall
