Sheet1_position,Sheet1_raw_header,Resolution_method,metadata_index,metadata_excel_row,UniqueSampleID,进样时间,sample,condition,group,TREAT1,TREAT1_clean,TREAT2,Tube_Mixing,WoleBlood_oldTime,Plasma_HoldTime_h,Note,detected_protein_groups,missing_pct,MS_batch_proxy
17,20250913__Q29_,P1_UNIQUE_NAME,112,114,20250913_FJ_QZ_Q29,20250913,Q29,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2218,41.89153785695572,20250913
18,20250913__Q31_,P1_UNIQUE_NAME,113,115,20250913_FJ_QZ_Q31,20250913,Q31,湿热,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2076,45.61173696620383,20250913
19,20250913__Q32_,P1_UNIQUE_NAME,114,116,20250913_FJ_QZ_Q32,20250913,Q32,湿热,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2158,43.46345297353943,20250913
20,20250913__Q33_,P1_UNIQUE_NAME,115,117,20250913_FJ_QZ_Q33,20250913,Q33,湿热,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2085,45.37594969871627,20250913
21,20250913__Q34_,P1_UNIQUE_NAME,116,118,20250913_FJ_QZ_Q34,20250913,Q34,湿热,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2111,44.69478648153,20250913
22,20250913__Q36_,P1_UNIQUE_NAME,117,119,20250913_FJ_QZ_Q36,20250913,Q36,湿热,FJ_QZ,low,low,unkown,Normal,0,Unknown,,2297,39.82184962012052,20250913
23,20250913__Q37_,P1_UNIQUE_NAME,118,120,20250913_FJ_QZ_Q37,20250913,Q37,湿热,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2057,46.10951008645533,20250913
24,20250913__Q38_,P1_UNIQUE_NAME,119,121,20250913_FJ_QZ_Q38,20250913,Q38,湿热,FJ_QZ,low,low,unkown,Normal,0,Unknown,,2020,47.07885774168195,20250913
25,20250913__Q39_,P1_UNIQUE_NAME,120,122,20250913_FJ_QZ_Q39,20250913,Q39,湿热,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2178,42.93948126801153,20250913
26,20250913__Q41_,P1_UNIQUE_NAME,121,123,20250913_FJ_QZ_Q41,20250913,Q41,湿热,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2575,32.538642913282686,20250913
27,20250913__Q42_,P1_UNIQUE_NAME,122,124,20250913_FJ_QZ_Q42,20250913,Q42,湿热,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2090,45.24495677233429,20250913
28,20250913__Q44_,P1_UNIQUE_NAME,123,125,20250913_FJ_QZ_Q44,20250913,Q44,湿热,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,1930,49.43673041655751,20250913
29,20250913__Q45_,P1_UNIQUE_NAME,124,126,20250913_FJ_QZ_Q45,20250913,Q45,湿热,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,2042,46.50248886560126,20250913
30,20250913__Q48_,P1_UNIQUE_NAME,125,127,20250913_FJ_QZ_Q48,20250913,Q48,湿热,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,1695,55.59339795651035,20250913
31,20250913__Q49_,P1_UNIQUE_NAME,126,128,20250913_FJ_QZ_Q49,20250913,Q49,湿热,FJ_QZ,low,low,high_sound,Normal,0,Unknown,,2393,37.30678543358658,20250913
32,20250913__Q50_,P1_UNIQUE_NAME,127,129,20250913_FJ_QZ_Q50,20250913,Q50,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2249,41.07938171338748,20250913
33,20250913__Q52_,P1_UNIQUE_NAME,128,130,20250913_FJ_QZ_Q52,20250913,Q52,湿热,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,1998,47.65522661776264,20250913
34,20250913__Q54_,P1_UNIQUE_NAME,129,131,20250913_FJ_QZ_Q54,20250913,Q54,湿热,FJ_QZ,contrl,control,high_sound,Normal,0,Unknown,,2027,46.89546764474719,20250913
35,20250913__Q55_,P1_UNIQUE_NAME,130,132,20250913_FJ_QZ_Q55,20250913,Q55,湿热,FJ_QZ,contrl,control,high_sound,Normal,0,Unknown,,2140,43.93502750851454,20250913
36,20250913__Q57_,P1_UNIQUE_NAME,131,133,20250913_FJ_QZ_Q57,20250913,Q57,湿热,FJ_QZ,contrl,control,high_sound,Normal,0,Unknown,,2102,44.93057374901756,20250913
37,20250913__Q58_,P1_UNIQUE_NAME,132,134,20250913_FJ_QZ_Q58,20250913,Q58,湿热,FJ_QZ,low,low,high_sound,Normal,0,Unknown,,2056,46.13570867173173,20250913
38,20250913__Q59_,P1_UNIQUE_NAME,133,135,20250913_FJ_QZ_Q59,20250913,Q59,湿热,FJ_QZ,low,low,high_sound,Normal,0,Unknown,,2357,38.24993450353681,20250913
39,20250913__Q60_,P1_UNIQUE_NAME,134,136,20250913_FJ_QZ_Q60,20250913,Q60,湿热,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,2008,47.39324076499869,20250913
40,20250913__Q61_,P1_UNIQUE_NAME,135,137,20250913_FJ_QZ_Q61,20250913,Q61,湿热,FJ_QZ,contrl,control,high_sound,Normal,0,Unknown,,2004,47.49803510610427,20250913
41,20250913__Q62_,P1_UNIQUE_NAME,136,138,20250913_FJ_QZ_Q62,20250913,Q62,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2737,28.29447209850668,20250913
42,20250913__Q63_,P1_UNIQUE_NAME,137,139,20250913_FJ_QZ_Q63,20250913,Q63,湿热,FJ_QZ,contrl,control,high_sound,Normal,0,Unknown,,2212,42.0487293686141,20250913
43,20250913__Q65_,P1_UNIQUE_NAME,138,140,20250913_FJ_QZ_Q65,20250913,Q65,湿热,FJ_QZ,contrl,control,high_sound,Normal,0,Unknown,,2078,45.55933979565104,20250913
44,20250913__Q66_,P1_UNIQUE_NAME,139,141,20250913_FJ_QZ_Q66,20250913,Q66,湿热,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,2385,37.51637411579775,20250913
45,20250913__Q67_,P1_UNIQUE_NAME,140,142,20250913_FJ_QZ_Q67,20250913,Q67,湿热,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,2111,44.69478648153,20250913
46,20250913__Q68_,P1_UNIQUE_NAME,141,143,20250913_FJ_QZ_Q68,20250913,Q68,湿热,FJ_QZ,contrl,control,unkown,Normal,0,Unknown,,2014,47.23604925334032,20250913
47,20250913__Q69_,P1_UNIQUE_NAME,142,144,20250913_FJ_QZ_Q69,20250913,Q69,湿热,FJ_QZ,contrl,control,unkown,Normal,0,Unknown,,1670,56.24836258842022,20250913
48,20250913__Q70_,P1_UNIQUE_NAME,143,145,20250913_FJ_QZ_Q70,20250913,Q70,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2352,38.38092742991879,20250913
49,20250913__Q71_,P1_UNIQUE_NAME,144,146,20250913_FJ_QZ_Q71,20250913,Q71,湿热,FJ_QZ,contrl,control,unkown,Normal,0,Unknown,,2297,39.82184962012052,20250913
50,20250913__Q72_,P1_UNIQUE_NAME,145,147,20250913_FJ_QZ_Q72,20250913,Q72,湿热,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,1874,50.90385119203563,20250913
52,20250914__F47,P1_UNIQUE_NAME,1,3,20250914_FJ_FQ_F47,20250914,F47,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2141,43.90882892323815,20250914
53,20250914__F51,P1_UNIQUE_NAME,2,4,20250914_FJ_FQ_F51,20250914,F51,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2308,39.53366518208017,20250914
54,20250914__F53,P1_UNIQUE_NAME,3,5,20250914_FJ_FQ_F53,20250914,F53,湿热,FJ_FQ,contrl,control,low_sound,Insufficient,2,Unknown,,2234,41.47236049253341,20250914
55,20250914__F54,P1_UNIQUE_NAME,4,6,20250914_FJ_FQ_F54,20250914,F54,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2353,38.35472884464239,20250914
56,20250914__F55,P1_UNIQUE_NAME,5,7,20250914_FJ_FQ_F55,20250914,F55,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2460,35.551480220068115,20250914
57,20250914__F56,P1_UNIQUE_NAME,6,8,20250914_FJ_FQ_F56,20250914,F56,湿热,FJ_FQ,contrl,control,unknown,Insufficient,2,Unknown,,2230,41.577154833638986,20250914
58,20250914__F57,P1_UNIQUE_NAME,7,9,20250914_FJ_FQ_F57,20250914,F57,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2766,27.534713125491223,20250914
59,20250914__F58,P1_UNIQUE_NAME,8,10,20250914_FJ_FQ_F58,20250914,F58,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2110,44.72098506680639,20250914
60,20250914__F62,P1_UNIQUE_NAME,9,11,20250914_FJ_FQ_F62,20250914,F62,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2093,45.16636101650511,20250914
61,20250914__F66,P1_UNIQUE_NAME,10,12,20250914_FJ_FQ_F66,20250914,F66,湿热,FJ_FQ,contrl,control,low_sound,Insufficient,2,Unknown,,2160,43.41105580298664,20250914
62,20250914__F69,P1_UNIQUE_NAME,11,13,20250914_FJ_FQ_F69,20250914,F69,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2048,46.34529735394289,20250914
63,20250914__F70,P1_UNIQUE_NAME,12,14,20250914_FJ_FQ_F70,20250914,F70,湿热,FJ_FQ,contrl,control,low_sound,Insufficient,2,Unknown,,2240,41.31516898087504,20250914
64,20250914__F71,P1_UNIQUE_NAME,13,15,20250914_FJ_FQ_F71,20250914,F71,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1891,50.45847524233691,20250914
65,20250914__F72,P1_UNIQUE_NAME,14,16,20250914_FJ_FQ_F72,20250914,F72,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2147,43.75163741157977,20250914
66,20250914__F74,P1_UNIQUE_NAME,15,17,20250914_FJ_FQ_F74,20250914,F74,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,1939,49.20094314906995,20250914
67,20250914__F75,P1_UNIQUE_NAME,16,18,20250914_FJ_FQ_F75,20250914,F75,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2298,39.79565103484412,20250914
68,20250914__F77,P1_UNIQUE_NAME,17,19,20250914_FJ_FQ_F77,20250914,F77,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,1199,68.58789625360231,20250914
69,20250914__F79,P1_UNIQUE_NAME,18,20,20250914_FJ_FQ_F79,20250914,F79,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2173,43.07047419439351,20250914
70,20250914__F81,P1_UNIQUE_NAME,19,21,20250914_FJ_FQ_F81,20250914,F81,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1727,54.7550432276657,20250914
71,20250914__F83,P1_UNIQUE_NAME,20,22,20250914_FJ_FQ_F83,20250914,F83,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2252,41.00078595755829,20250914
72,20250914__F84,P1_UNIQUE_NAME,21,23,20250914_FJ_FQ_F84,20250914,F84,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2215,41.97013361278491,20250914
73,20250914__F85,P1_UNIQUE_NAME,22,24,20250914_FJ_FQ_F85,20250914,F85,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1755,54.02148283992665,20250914
74,20250914__F88,P1_UNIQUE_NAME,23,25,20250914_FJ_FQ_F88,20250914,F88,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1786,53.2093266963584,20250914
75,20250914__F89,P1_UNIQUE_NAME,24,26,20250914_FJ_FQ_F89,20250914,F89,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1736,54.51925596017815,20250914
76,20250914__F93,P1_UNIQUE_NAME,25,27,20250914_FJ_FQ_F93,20250914,F93,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2065,45.89992140424417,20250914
77,20250914__F94,P1_UNIQUE_NAME,26,28,20250914_FJ_FQ_F94,20250914,F94,湿热,FJ_FQ,contrl,control,low_sound,Insufficient,2,Unknown,,1599,58.10846214304427,20250914
78,20250914__F102,P1_UNIQUE_NAME,27,29,20250914_FJ_FQ_F102,20250914,F102,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2170,43.14906995022269,20250914
79,20250914__F105,P1_UNIQUE_NAME,28,30,20250914_FJ_FQ_F105,20250914,F105,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2146,43.77783599685617,20250914
80,20250914__F106,P1_UNIQUE_NAME,29,31,20250914_FJ_FQ_F106,20250914,F106,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2228,41.62955200419177,20250914
81,20250914__F107,P1_UNIQUE_NAME,30,32,20250914_FJ_FQ_F107,20250914,F107,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2430,36.33743777835997,20250914
82,20250914__F110,P1_UNIQUE_NAME,31,33,20250914_FJ_FQ_F110,20250914,F110,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2109,44.74718365208279,20250914
83,20250914__F111,P1_UNIQUE_NAME,32,34,20250914_FJ_FQ_F111,20250914,F111,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,1987,47.94341105580299,20250914
84,20250914__F118,P1_UNIQUE_NAME,33,35,20250914_FJ_FQ_F118,20250914,F118,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,1973,48.31019124967252,20250914
85,20250914__F121,P1_UNIQUE_NAME,34,36,20250914_FJ_FQ_F121,20250914,F121,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1952,48.860361540476816,20250914
86,20250914__F122,P1_UNIQUE_NAME,35,37,20250914_FJ_FQ_F122,20250914,F122,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1751,54.12627718103222,20250914
87,20250914__F123,P1_UNIQUE_NAME,36,38,20250914_FJ_FQ_F123,20250914,F123,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,2117,44.53759496987163,20250914
88,20250914__F124,P1_UNIQUE_NAME,37,39,20250914_FJ_FQ_F124,20250914,F124,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1924,49.59392192821588,20250914
89,20250914__F125,P1_UNIQUE_NAME,38,40,20250914_FJ_FQ_F125,20250914,F125,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1866,51.1134398742468,20250914
90,20250914__F126,P1_UNIQUE_NAME,39,41,20250914_FJ_FQ_F126,20250914,F126,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1302,65.88944197013362,20250914
91,20250914__F128,P1_UNIQUE_NAME,40,42,20250914_FJ_FQ_F128,20250914,F128,湿热,FJ_FQ,low,low,low_sound,Insufficient,2,Unknown,,2014,47.23604925334032,20250914
92,20250914__F129,P1_UNIQUE_NAME,41,43,20250914_FJ_FQ_F129,20250914,F129,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1666,56.3531569295258,20250914
93,20250914__F131,P1_UNIQUE_NAME,42,44,20250914_FJ_FQ_F131,20250914,F131,湿热,FJ_FQ,contrl,control,low_sound,Insufficient,2,Unknown,,1863,51.19203563007597,20250914
94,20250914__F135,P1_UNIQUE_NAME,43,45,20250914_FJ_FQ_F135,20250914,F135,湿热,FJ_FQ,high,high,low_sound,Insufficient,2,Unknown,,1851,51.50641865339272,20250914
95,20250914__F137,P1_UNIQUE_NAME,44,46,20250914_FJ_FQ_F137,20250914,F137,湿热,FJ_FQ,contrl,control,low_sound,Insufficient,2,Unknown,,2302,39.69085669373854,20250914
96,20250914__P2_,P1_UNIQUE_NAME,70,72,20250914_FJ_PT_P2,20250914,P2,湿热,FJ_PT,contrl,control,low_sound,Normal,>6,Unknown,,2717,28.818443804034583,20250914
97,20250914__P3,P1_UNIQUE_NAME,71,73,20250914_FJ_PT_P3,20250914,P3,湿热,FJ_PT,contrl,control,low_sound,Normal,>6,Unknown,,2830,25.85800366780194,20250914
98,20250914__P4,P1_UNIQUE_NAME,72,74,20250914_FJ_PT_P4,20250914,P4,湿热,FJ_PT,low,low,low_sound,Normal,>6,Unknown,,3106,18.627194131516895,20250914
99,20250914__P6,P1_UNIQUE_NAME,73,75,20250914_FJ_PT_P6,20250914,P6,湿热,FJ_PT,high,high,high_sound,Normal,>6,Unknown,,2898,24.076499869007076,20250914
100,20250914__P7,P1_UNIQUE_NAME,74,76,20250914_FJ_PT_P7,20250914,P7,湿热,FJ_PT,contrl,control,low_sound,Normal,>6,Unknown,,3059,19.858527639507468,20250914
101,20250914__P8,P1_UNIQUE_NAME,75,77,20250914_FJ_PT_P8,20250914,P8,湿热,FJ_PT,low,low,high_sound,Normal,>6,Unknown,,2785,27.03694000523972,20250914
102,20250914__P9,P1_UNIQUE_NAME,76,78,20250914_FJ_PT_P9,20250914,P9,湿热,FJ_PT,low,low,high_sound,Normal,>6,Unknown,,2866,24.914854597851715,20250914
103,20250914__P10,P1_UNIQUE_NAME,77,79,20250914_FJ_PT_P10,20250914,P10,湿热,FJ_PT,low,low,low_sound,Normal,>6,Unknown,,2723,28.66125229237621,20250914
104,20250914__P11,P1_UNIQUE_NAME,78,80,20250914_FJ_PT_P11,20250914,P11,湿热,FJ_PT,high,high,low_sound,Normal,>6,Unknown,hemolysis observed,2938,23.02855645795127,20250914
105,20250914__P13,P1_UNIQUE_NAME,79,81,20250914_FJ_PT_P13,20250914,P13,湿热,FJ_PT,low,low,low_sound,Normal,>6,Unknown,,2525,33.84857217710244,20250914
106,20250914__P15,P1_UNIQUE_NAME,80,82,20250914_FJ_PT_P15,20250914,P15,湿热,FJ_PT,low,low,low_sound,Normal,>6,Unknown,,2659,30.337961750065496,20250914
107,20250914__P17,P1_UNIQUE_NAME,81,83,20250914_FJ_PT_P17,20250914,P17,湿热,FJ_PT,high,high,low_sound,Normal,>6,Unknown,,2750,27.953890489913547,20250914
108,20250914__P18,P1_UNIQUE_NAME,82,84,20250914_FJ_PT_P18,20250914,P18,湿热,FJ_PT,high,high,high_sound,Normal,>6,Unknown,,2493,34.68692690594708,20250914
109,20250914__P19,P1_UNIQUE_NAME,83,85,20250914_FJ_PT_P19,20250914,P19,湿热,FJ_PT,high,high,high_sound,Normal,>6,Unknown,,2530,33.71757925072046,20250914
110,20250914__P20,P1_UNIQUE_NAME,84,86,20250914_FJ_PT_P20,20250914,P20,湿热,FJ_PT,low,low,high_sound,Normal,>6,Unknown,,2445,35.94445899921404,20250914
111,20250914__P21,P1_UNIQUE_NAME,85,87,20250914_FJ_PT_P21,20250914,P21,湿热,FJ_PT,high,high,high_sound,Normal,>6,Unknown,,2641,30.809536285040608,20250914
112,20250914__P22,P1_UNIQUE_NAME,86,88,20250914_FJ_PT_P22,20250914,P22,湿热,FJ_PT,low,low,high_sound,Normal,>6,Unknown,,2159,43.43725438826304,20250914
113,20250914__P23,P1_UNIQUE_NAME,87,89,20250914_FJ_PT_P23,20250914,P23,湿热,FJ_PT,low,low,high_sound,Normal,>6,Unknown,,2559,32.957820277705004,20250914
114,20250914__P24,P1_UNIQUE_NAME,88,90,20250914_FJ_PT_P24,20250914,P24,湿热,FJ_PT,high,high,high_sound,Normal,>6,Unknown,,2794,26.80115273775216,20250914
115,20250914__P25,P1_UNIQUE_NAME,89,91,20250914_FJ_PT_P25,20250914,P25,湿热,FJ_PT,low,low,low_sound,Normal,>6,Unknown,,2286,40.110034058160856,20250914
116,20250914__P26,P1_UNIQUE_NAME,90,92,20250914_FJ_PT_P26,20250914,P26,湿热,FJ_PT,high,high,high_sound,Normal,>6,Unknown,suspected hemolysis,2645,30.704741943935023,20250914
117,20250914__P27,P1_UNIQUE_NAME,91,93,20250914_FJ_PT_P27,20250914,P27,湿热,FJ_PT,high,high,high_sound,Normal,>6,Unknown,,2507,34.320146712077545,20250914
118,20250914__P29,P1_UNIQUE_NAME,92,94,20250914_FJ_PT_P29,20250914,P29,湿热,FJ_PT,high,high,high_sound,Normal,>6,Unknown,suspected hemolysis,2403,37.04479958082264,20250914
119,20250914__P30,P1_UNIQUE_NAME,93,95,20250914_FJ_PT_P30,20250914,P30,湿热,FJ_PT,high,high,high_sound,Normal,>6,Unknown,,2572,32.61723866911187,20250914
120,20250914__P33,P1_UNIQUE_NAME,94,96,20250914_FJ_PT_P33,20250914,P33,湿热,FJ_PT,high,high,high_sound,Normal,>6,Unknown,,2782,27.115535761068905,20250914
121,20251001_FJ_F83_,P1_UNIQUE_NAME,45,47,20251001_FJ_FQ_F83,20251001,F83,湿热,FJ_FQ,low,low,low_sound,Normal,2,Unknown,,1934,49.33193607545193,20251001
122,20251001_FJ_F95_,P1_UNIQUE_NAME,46,48,20251001_FJ_FQ_F95,20251001,F95,湿热,FJ_FQ,high,high,low_sound,Normal,2,Unknown,,1525,60.04715745349751,20251001
123,20251001_FJ_F97_,P1_UNIQUE_NAME,47,49,20251001_FJ_FQ_F97,20251001,F97,湿热,FJ_FQ,high,high,low_sound,Normal,2,Unknown,,1951,48.886560125753206,20251001
124,20251001_FJ_F105_,P1_UNIQUE_NAME,48,50,20251001_FJ_FQ_F105,20251001,F105,湿热,FJ_FQ,high,high,low_sound,Normal,2,Unknown,,1463,61.67146974063401,20251001
125,20251001_FJ_F120_,P1_UNIQUE_NAME,49,51,20251001_FJ_FQ_F120,20251001,F120,湿热,FJ_FQ,high,high,low_sound,Normal,2,Unknown,,1939,49.20094314906995,20251001
126,20251001_FJ_F136_,P1_UNIQUE_NAME,50,52,20251001_FJ_FQ_F136,20251001,F136,湿热,FJ_FQ,contrl,control,low_sound,Normal,2,Unknown,,1978,48.17919832329054,20251001
127,20251001_FJ_F141_,P1_UNIQUE_NAME,51,53,20251001_FJ_FQ_F141,20251001,F141,湿热,FJ_FQ,contrl,control,unkown,Normal,2,Unknown,,2198,42.41550956248363,20251001
128,20251001_FJ_F147_,P1_UNIQUE_NAME,52,54,20251001_FJ_FQ_F147,20251001,F147,湿热,FJ_FQ,high,high,low_sound,Normal,2,Unknown,,1756,53.99528425465024,20251001
129,20251001_FJ_F150_,P1_UNIQUE_NAME,53,55,20251001_FJ_FQ_F150,20251001,F150,湿热,FJ_FQ,contrl,control,low_sound,Normal,2,Unknown,,2126,44.30180770238408,20251001
130,20251001_FJ_F154_,P1_UNIQUE_NAME,54,56,20251001_FJ_FQ_F154,20251001,F154,湿热,FJ_FQ,high,high,unkown,Normal,2,Unknown,,2197,42.44170814776002,20251001
131,20251001_FJ_F158_,P1_UNIQUE_NAME,55,57,20251001_FJ_FQ_F158,20251001,F158,湿热,FJ_FQ,high,high,low_sound,Normal,2,Unknown,,1490,60.96410793817134,20251001
132,20251001_FJ_F163_,P1_UNIQUE_NAME,56,58,20251001_FJ_FQ_F163,20251001,F163,湿热,FJ_FQ,contrl,control,low_sound,Normal,2,Unknown,,1766,53.7332984018863,20251001
133,20251001_FJ_F165_,P1_UNIQUE_NAME,57,59,20251001_FJ_FQ_F165,20251001,F165,湿热,FJ_FQ,contrl,control,low_sound,Normal,2,Unknown,,1882,50.69426250982447,20251001
134,20251001_FJ_F168_,P1_UNIQUE_NAME,58,60,20251001_FJ_FQ_F168,20251001,F168,湿热,FJ_FQ,high,high,low_sound,Normal,2,Unknown,,1973,48.31019124967252,20251001
135,20251001_FJ_F170_,P1_UNIQUE_NAME,59,61,20251001_FJ_FQ_F170,20251001,F170,湿热,FJ_FQ,contrl,control,low_sound,Normal,2,Unknown,,2167,43.22766570605187,20251001
136,20251001_FJ_F173_,P1_UNIQUE_NAME,60,62,20251001_FJ_FQ_F173,20251001,F173,湿热,FJ_FQ,low,low,low_sound,Normal,2,Unknown,,2215,41.97013361278491,20251001
137,20251001_FJ_F174_,P1_UNIQUE_NAME,61,63,20251001_FJ_FQ_F174,20251001,F174,湿热,FJ_FQ,low,low,low_sound,Normal,2,Unknown,,1904,50.11789363374378,20251001
