PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.CV,PG.Qvalue,PG.MolecularWeight,overall_detection_rate,mean_observed_abundance,median_observed_abundance,missing_pct,coverage_class,overall__Overall__detection_rate,condition__high_stress__detection_rate,condition__high_temperature__detection_rate,group__FJ_FQ__detection_rate,group__FJ_PT__detection_rate,group__FJ_QZ__detection_rate,group__GZ_TH__detection_rate,group__XZ_GG__detection_rate,group__XZ_YA__detection_rate,group__XZ_YB__detection_rate,group__XZ_YC__detection_rate,group__XZ_YD__detection_rate,TREAT1_clean__control__detection_rate,TREAT1_clean__high__detection_rate,TREAT1_clean__low__detection_rate,TREAT1_clean__unknown__detection_rate,MS_batch_proxy__20250913__detection_rate,MS_batch_proxy__20250914__detection_rate,MS_batch_proxy__20251001__detection_rate,MS_batch_proxy__20251026__detection_rate,MS_batch_proxy__20251104__detection_rate,MS_batch_proxy__20251107__detection_rate,MS_batch_proxy__20260527__detection_rate,MS_batch_proxy__20260717__detection_rate,groups_meeting_ge50pct,conditions_meeting_ge50pct,groups_meeting_ge80pct,conditions_meeting_ge80pct,groups_meeting_ge90pct,conditions_meeting_ge90pct,global_core_ge80pct,global_core_ge90pct,all_groups_ge50pct,all_groups_ge80pct,all_conditions_ge80pct
A0A075B6K5,IGLV3-9,Immunoglobulin lambda variable 3-9,LV39_HUMAN,1.525876730830765,0.0016233766233766,12331.71,1.0,2936.949716086562,1093.6669921875,0.0,High (≥90%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,2,9,2,9,2,True,True,True,True,True
A0A075B6K6,IGLV4-3,Immunoglobulin lambda variable 4-3,LV403_HUMAN,1.125389557143101,0.0073810825587752,13329.89,0.2023121387283237,210.1493562425886,145.916259765625,79.76878612716763,Sparse (<50%),0.2023121387283237,0.2175732217573222,0.18928571428571428,0.21428571428571427,0.2692307692307692,0.21311475409836064,0.14634146341463414,0.027972027972027972,0.5909090909090909,0.25,0.4411764705882353,0.6071428571428571,0.22875816993464052,0.19318181818181818,0.1881720430107527,0.25,0.22,0.22857142857142856,0.4576271186440678,0.16666666666666666,0.0,0.0,0.027972027972027972,0.14634146341463414,2,0,0,0,0,0,False,False,False,False,False
A0A075B6P5;P01615,IGKV2-28;IGKV2D-28,Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,KV228_HUMAN;KVD28_HUMAN,1.266506381467248,0.0016233766233766,12956.74;12956.74,0.9865125240847784,1468.7408147379756,825.8330993652344,1.348747591522158,High (≥90%),0.9865125240847784,0.99581589958159,0.9785714285714285,0.9857142857142858,1.0,0.9672131147540983,0.975609756097561,0.993006993006993,1.0,1.0,1.0,1.0,0.9673202614379085,0.9886363636363636,1.0,1.0,0.98,1.0,0.9915254237288136,0.9166666666666666,1.0,1.0,0.993006993006993,0.975609756097561,9,2,9,2,9,2,True,True,True,True,True
A0A075B6Q5,IGHV3-64,Immunoglobulin heavy variable 3-64,HV364_HUMAN,3.386130985585263,0.006765899864682,12890.68,0.48940269749518306,1035.0295173014242,462.81849670410156,51.05973025048169,Sparse (<50%),0.48940269749518306,0.4351464435146444,0.5357142857142857,0.6857142857142857,0.6538461538461539,0.5409836065573771,0.42276422764227645,0.18181818181818182,0.8636363636363636,0.75,0.6470588235294118,1.0,0.43137254901960786,0.5227272727272727,0.5,0.75,0.62,0.6857142857142857,0.7966101694915254,0.16666666666666666,0.0,1.0,0.18181818181818182,0.42276422764227645,7,1,2,0,1,0,False,False,False,False,False
A0A075B6R2,IGHV4-4,Immunoglobulin heavy variable 4-4,HV404_HUMAN,1.946920190580679,0.0073810825587752,12847.71,0.6358381502890174,1185.6469135154377,661.8807373046875,36.41618497109826,Moderate (50–<80%),0.6358381502890174,0.5815899581589958,0.6821428571428572,0.7857142857142857,0.9615384615384616,0.6721311475409836,0.5691056910569106,0.36363636363636365,0.8636363636363636,0.8333333333333334,0.9117647058823529,0.9642857142857143,0.5947712418300654,0.6818181818181818,0.6290322580645161,0.5,0.74,0.8571428571428571,0.8813559322033898,0.3333333333333333,1.0,1.0,0.36363636363636365,0.5691056910569106,8,2,5,0,3,0,False,False,False,False,False
A0A075B6R9;A0A0C4DH68,IGKV2D-24;IGKV2-24,Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24,KVD24_HUMAN;KV224_HUMAN,1.214596809898531,0.0040983606557377,13078.93;13079.01,0.766859344894027,384.41276230165107,246.50193023681635,23.314065510597302,Moderate (50–<80%),0.766859344894027,0.8284518828451883,0.7142857142857143,0.9,0.8461538461538461,0.6557377049180327,0.6097560975609756,0.7342657342657343,1.0,0.9166666666666666,0.9705882352941176,0.9642857142857143,0.6862745098039216,0.8068181818181818,0.7903225806451613,1.0,0.74,0.8571428571428571,0.9745762711864406,0.3333333333333333,0.5,1.0,0.7342657342657343,0.6097560975609756,9,2,6,1,5,0,False,False,True,False,False
A0A075B6S2,IGKV2D-29,Immunoglobulin kappa variable 2D-29,KVD29_HUMAN,0.9954375278766272,0.0073810825587752,13143.12,0.302504816955684,1080.3048366619523,770.9744262695312,69.7495183044316,Sparse (<50%),0.302504816955684,0.3179916317991632,0.2892857142857143,0.37142857142857144,0.4230769230769231,0.22950819672131148,0.24390243902439024,0.21678321678321677,0.5454545454545454,0.08333333333333333,0.4117647058823529,0.6428571428571429,0.2549019607843137,0.32954545454545453,0.3172043010752688,0.25,0.28,0.37142857142857144,0.4661016949152542,0.0,0.0,1.0,0.21678321678321677,0.24390243902439024,2,0,0,0,0,0,False,False,False,False,False
A0A075B6S5,IGKV1-27,Immunoglobulin kappa variable 1-27,KV127_HUMAN,0.8000767797371555,0.0073810825587752,12711.51,0.348747591522158,241.53922780442633,179.3088073730469,65.1252408477842,Sparse (<50%),0.348747591522158,0.3807531380753138,0.32142857142857145,0.6142857142857143,0.46153846153846156,0.21311475409836064,0.17886178861788618,0.15384615384615385,0.8636363636363636,0.25,0.7058823529411765,0.8214285714285714,0.24183006535947713,0.36363636363636365,0.43010752688172044,0.0,0.26,0.5285714285714286,0.7288135593220338,0.0,0.0,1.0,0.15384615384615385,0.17886178861788618,4,0,2,0,0,0,False,False,False,False,False
A0A075B6S6,IGKV2D-30,Immunoglobulin kappa variable 2D-30,KVD30_HUMAN,2.107511730613396,0.0073810825587752,13214.99,0.10404624277456648,345.6426087308813,173.17848205566406,89.59537572254335,Sparse (<50%),0.10404624277456648,0.1297071129707113,0.08214285714285714,0.05714285714285714,0.11538461538461539,0.06557377049180328,0.0975609756097561,0.13986013986013987,0.045454545454545456,0.08333333333333333,0.08823529411764706,0.21428571428571427,0.06535947712418301,0.10795454545454546,0.12903225806451613,0.25,0.06,0.05714285714285714,0.11016949152542373,0.16666666666666666,0.0,0.0,0.13986013986013987,0.0975609756097561,0,0,0,0,0,0,False,False,False,False,False
A0A075B6S9;P0DSN7,IGKV1-37;IGKV1D-37,Probable non-functional immunoglobulin kappa variable 1-37;Probable non-functional immunoglobulin kappa variable 1D-37,KV137_HUMAN;KVD37_HUMAN,0.9901629064944732,0.0073810825587752,12688.44;12688.44,0.16570327552986513,142.21430197427438,86.73488998413086,83.42967244701349,Sparse (<50%),0.16570327552986513,0.1589958158995816,0.17142857142857143,0.22857142857142856,0.23076923076923078,0.13114754098360656,0.14634146341463414,0.055944055944055944,0.3181818181818182,0.08333333333333333,0.38235294117647056,0.32142857142857145,0.1503267973856209,0.18181818181818182,0.16129032258064516,0.25,0.16,0.24285714285714285,0.2966101694915254,0.0,0.0,0.0,0.055944055944055944,0.14634146341463414,0,0,0,0,0,0,False,False,False,False,False
A0A087WSX0,IGLV5-45,Immunoglobulin lambda variable 5-45,LV545_HUMAN,1.630182571035466,0.006765899864682,13161.78,0.9922928709055877,12629.79640147385,5827.63720703125,0.7707129094412332,High (≥90%),0.9922928709055877,0.9916317991631799,0.9928571428571429,1.0,1.0,1.0,0.983739837398374,0.986013986013986,1.0,1.0,1.0,1.0,0.9934640522875817,1.0,0.9838709677419355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.986013986013986,0.983739837398374,9,2,9,2,9,2,True,True,True,True,True
A0A087WSY4,IGHV4-30-2,Immunoglobulin heavy variable 4-30-2,HV432_HUMAN,1.950231080227986,0.0072727272727272,13024.91,0.6724470134874759,1580.2982739910356,551.3682861328125,32.75529865125241,Moderate (50–<80%),0.6724470134874759,0.6527196652719666,0.6892857142857143,0.8285714285714286,0.9615384615384616,0.6885245901639344,0.5528455284552846,0.43356643356643354,1.0,0.9166666666666666,0.9705882352941176,1.0,0.6274509803921569,0.7215909090909091,0.6612903225806451,0.75,0.7,0.8714285714285714,0.9491525423728814,0.6666666666666666,1.0,1.0,0.43356643356643354,0.5528455284552846,8,2,6,0,5,0,False,False,False,False,False
A0A087WSY6,IGKV3D-15,Immunoglobulin kappa variable 3D-15,KVD15_HUMAN,1.24246744195097,0.0040983606557377,12534.23,0.7475915221579962,5555.481625075193,4067.3604736328125,25.240847784200387,Moderate (50–<80%),0.7475915221579962,0.7280334728033473,0.7642857142857142,0.9,0.8461538461538461,0.6557377049180327,0.7235772357723578,0.5664335664335665,1.0,0.9166666666666666,0.9411764705882353,1.0,0.7254901960784313,0.7613636363636364,0.7473118279569892,1.0,0.66,0.8714285714285714,0.9661016949152542,0.5833333333333334,1.0,1.0,0.5664335664335665,0.7235772357723578,9,2,6,0,5,0,False,False,True,False,False
A0A087WSZ0,IGKV1D-8,Immunoglobulin kappa variable 1D-8,KVD08_HUMAN,1.024420777361664,0.0073810825587752,12836.71,0.12909441233140656,186.67498918789536,127.1851577758789,87.09055876685935,Sparse (<50%),0.12909441233140656,0.11715481171548117,0.1392857142857143,0.22857142857142856,0.11538461538461539,0.03278688524590164,0.14634146341463414,0.013986013986013986,0.22727272727272727,0.16666666666666666,0.2647058823529412,0.35714285714285715,0.08496732026143791,0.19318181818181818,0.10215053763440861,0.25,0.04,0.18571428571428572,0.2711864406779661,0.0,0.0,0.0,0.013986013986013986,0.14634146341463414,0,0,0,0,0,0,False,False,False,False,False
A0A087WW87;P01614,IGKV2-40;IGKV2D-40,Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40,KV240_HUMAN;KVD40_HUMAN,0.9456189153140436,0.0073810825587752,13310.11;13310.11,0.2909441233140655,210.48938033754462,152.0060424804688,70.90558766859345,Sparse (<50%),0.2909441233140655,0.3054393305439331,0.2785714285714286,0.38571428571428573,0.38461538461538464,0.19672131147540983,0.23577235772357724,0.14685314685314685,0.6818181818181818,0.08333333333333333,0.47058823529411764,0.7142857142857143,0.24183006535947713,0.3068181818181818,0.3172043010752688,0.25,0.22,0.35714285714285715,0.5338983050847458,0.08333333333333333,0.0,1.0,0.14685314685314685,0.23577235772357724,2,0,0,0,0,0,False,False,False,False,False
A0A0A0MRZ8;P04433,IGKV3D-11;IGKV3-11,Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11,KVD11_HUMAN;KV311_HUMAN,1.084780816284444,0.0040983606557377,12625.24;12575.18,0.9922928709055877,6942.751950517673,3910.55517578125,0.7707129094412332,High (≥90%),0.9922928709055877,0.9916317991631799,0.9928571428571429,1.0,1.0,0.9836065573770492,0.991869918699187,0.986013986013986,1.0,1.0,1.0,1.0,0.9934640522875817,0.9886363636363636,0.9946236559139785,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.986013986013986,0.991869918699187,9,2,9,2,9,2,True,True,True,True,True
A0A0A0MRZ9,IGLV5-52,Immunoglobulin lambda variable 5-52,LV552_HUMAN,1.521848205029677,0.0073810825587752,13445.97,0.1676300578034682,186.4984427813826,81.84307861328125,83.23699421965318,Sparse (<50%),0.1676300578034682,0.19665271966527198,0.14285714285714285,0.2571428571428571,0.19230769230769232,0.11475409836065574,0.08130081300813008,0.027972027972027972,0.5454545454545454,0.0,0.35294117647058826,0.6785714285714286,0.1895424836601307,0.13068181818181818,0.1881720430107527,0.0,0.12,0.22857142857142856,0.4152542372881356,0.08333333333333333,0.0,1.0,0.027972027972027972,0.08130081300813008,2,0,0,0,0,0,False,False,False,False,False
A0A0A0MS00,IGLV3-32,Probable non-functional immunoglobulin lambda variable 3-32,LV332_HUMAN,1.51298117233971,0.0073810825587752,12354.76,0.011560693641618497,982.9645131429037,477.29469299316406,98.84393063583815,Sparse (<50%),0.011560693641618497,0.02092050209205021,0.0035714285714285713,0.0,0.038461538461538464,0.0,0.0,0.0,0.09090909090909091,0.0,0.029411764705882353,0.07142857142857142,0.006535947712418301,0.011363636363636364,0.016129032258064516,0.0,0.0,0.014285714285714285,0.0423728813559322,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,False,False,False,False,False
A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49,HV349_HUMAN,1.483493305039684,0.0072727272727272,13055.93,0.9942196531791907,3817.0680236964263,1668.126647949219,0.5780346820809248,High (≥90%),0.9942196531791907,0.99581589958159,0.9928571428571429,1.0,1.0,1.0,0.983739837398374,0.993006993006993,1.0,1.0,1.0,1.0,0.9934640522875817,1.0,0.989247311827957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993006993006993,0.983739837398374,9,2,9,2,9,2,True,True,True,True,True
A0A0A0MT36,IGKV6D-21,Immunoglobulin kappa variable 6D-21,KVD21_HUMAN,1.517606078457163,0.0073810825587752,12339.89,0.3371868978805395,138.46250477382114,88.86167907714844,66.28131021194605,Sparse (<50%),0.3371868978805395,0.39748953974895396,0.2857142857142857,0.4142857142857143,0.34615384615384615,0.21311475409836064,0.23577235772357724,0.26573426573426573,0.5454545454545454,0.3333333333333333,0.5588235294117647,0.7857142857142857,0.3202614379084967,0.36363636363636365,0.3225806451612903,0.5,0.22,0.34285714285714286,0.5932203389830508,0.16666666666666666,0.0,1.0,0.26573426573426573,0.23577235772357724,3,0,0,0,0,0,False,False,False,False,False
A0A0A0MT89,IGKJ1,Immunoglobulin kappa joining 1,KJ01_HUMAN,1.852687623806746,0.0040983606557377,1393.6,0.3911368015414258,717.1498237196448,421.0233154296875,60.886319845857415,Sparse (<50%),0.3911368015414258,0.3891213389121339,0.39285714285714285,0.5571428571428572,0.6153846153846154,0.45901639344262296,0.21951219512195122,0.11888111888111888,0.9545454545454546,0.3333333333333333,0.7647058823529411,0.8928571428571429,0.3137254901960784,0.4147727272727273,0.43010752688172044,0.5,0.52,0.5571428571428572,0.7627118644067796,0.16666666666666666,0.5,1.0,0.11888111888111888,0.21951219512195122,5,0,2,0,1,0,False,False,False,False,False
A0A0B4J1U3,IGLV1-36,Immunoglobulin lambda variable 1-36,LV136_HUMAN,1.241038389424124,0.0072727272727272,12477.81,0.5202312138728323,810.176502192462,404.7967987060547,47.97687861271676,Moderate (50–<80%),0.5202312138728323,0.5146443514644351,0.525,0.5857142857142857,0.4230769230769231,0.4262295081967213,0.5609756097560976,0.2937062937062937,0.8181818181818182,0.5,0.9117647058823529,0.9285714285714286,0.5163398692810458,0.5568181818181818,0.4838709677419355,0.75,0.48,0.4714285714285714,0.8220338983050848,0.16666666666666666,1.0,1.0,0.2937062937062937,0.5609756097560976,6,2,3,0,2,0,False,False,False,False,False
A0A0B4J1U7,IGHV6-1,Immunoglobulin heavy variable 6-1,HV601_HUMAN,1.18320131043275,0.006765899864682,13481.28,0.9710982658959537,4151.103954163808,2175.2806396484375,2.8901734104046244,High (≥90%),0.9710982658959537,0.9832635983263598,0.9607142857142857,0.9857142857142858,1.0,1.0,0.9186991869918699,0.972027972027972,1.0,1.0,1.0,1.0,0.9477124183006536,0.9715909090909091,0.989247311827957,1.0,1.0,1.0,0.9915254237288136,1.0,1.0,1.0,0.972027972027972,0.9186991869918699,9,2,9,2,9,2,True,True,True,True,True
A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15,HV315_HUMAN,1.318502772936979,0.0040983606557377,12925.78,0.9691714836223507,1742.2686887251928,914.98583984375,3.0828516377649327,High (≥90%),0.9691714836223507,0.9539748953974896,0.9821428571428571,1.0,1.0,0.9836065573770492,0.967479674796748,0.9230769230769231,1.0,1.0,1.0,1.0,0.9803921568627451,0.9659090909090909,0.9623655913978495,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.967479674796748,9,2,9,2,9,2,True,True,True,True,True
A0A0B4J1V2,IGHV2-26,Immunoglobulin heavy variable 2-26,HV226_HUMAN,1.438905779473081,0.0073810825587752,13182.26,0.6994219653179191,962.7750679546808,415.677734375,30.057803468208093,Moderate (50–<80%),0.6994219653179191,0.6820083682008368,0.7142857142857143,0.8428571428571429,1.0,0.7868852459016393,0.5447154471544715,0.5034965034965035,0.9545454545454546,1.0,0.8823529411764706,1.0,0.6405228758169934,0.7272727272727273,0.7150537634408602,1.0,0.86,0.9,0.9322033898305084,0.5,0.5,1.0,0.5034965034965035,0.5447154471544715,9,2,6,0,4,0,False,False,True,False,False
A0A0B4J1V6,IGHV3-73,Immunoglobulin heavy variable 3-73,HV373_HUMAN,1.358782542584088,0.0040983606557377,12857.67,0.674373795761079,761.9210864584786,395.7475891113281,32.5626204238921,Moderate (50–<80%),0.674373795761079,0.6192468619246861,0.7214285714285714,0.8714285714285714,0.9230769230769231,0.819672131147541,0.5447154471544715,0.3706293706293706,1.0,0.9166666666666666,1.0,1.0,0.6143790849673203,0.6875,0.7043010752688172,1.0,0.82,0.8714285714285714,0.9745762711864406,0.8333333333333334,1.0,1.0,0.3706293706293706,0.5447154471544715,8,2,7,0,5,0,False,False,False,False,False
A0A0B4J1X5,IGHV3-74,Immunoglobulin heavy variable 3-74,HV374_HUMAN,1.359522229571974,0.0073810825587752,12839.61,0.9922928709055877,11488.613361869739,5197.267578125,0.7707129094412332,High (≥90%),0.9922928709055877,0.9916317991631799,0.9928571428571429,0.9857142857142858,1.0,0.9836065573770492,1.0,0.986013986013986,1.0,1.0,1.0,1.0,0.9934640522875817,0.9943181818181818,0.989247311827957,1.0,0.98,0.9857142857142858,1.0,1.0,1.0,1.0,0.986013986013986,1.0,9,2,9,2,9,2,True,True,True,True,True
A0A0B4J1Y8,IGLV9-49,Immunoglobulin lambda variable 9-49,LV949_HUMAN,1.857165418733417,0.0065597667638483,13023.67,0.8978805394990366,1273.3740982988872,483.9412841796875,10.211946050096339,High (80–<90%),0.8978805394990366,0.895397489539749,0.9,0.9428571428571428,1.0,0.9180327868852459,0.8455284552845529,0.8391608391608392,1.0,1.0,0.9705882352941176,0.9642857142857143,0.8758169934640523,0.9034090909090909,0.9086021505376344,1.0,0.9,0.9571428571428572,0.9745762711864406,1.0,1.0,1.0,0.8391608391608392,0.8455284552845529,9,2,9,2,7,1,True,False,True,True,True
A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72,HV372_HUMAN,1.068702801555426,0.0040983606557377,13202.93,1.0,6763.479024692308,4165.5517578125,0.0,High (≥90%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,2,9,2,9,2,True,True,True,True,True
A0A0B4J2D9;P0DP09,IGKV1D-13;IGKV1-13,Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13,KVD13_HUMAN;KV113_HUMAN,1.958242222991236,0.0073810825587752,12569.29;12569.29,0.23121387283236994,320.45363647937774,159.34642028808594,76.878612716763,Sparse (<50%),0.23121387283236994,0.2803347280334728,0.18928571428571428,0.3142857142857143,0.38461538461538464,0.11475409836065574,0.11382113821138211,0.18181818181818182,0.45454545454545453,0.25,0.3235294117647059,0.6071428571428571,0.1830065359477124,0.22727272727272727,0.27419354838709675,0.25,0.1,0.37142857142857144,0.3983050847457627,0.16666666666666666,0.0,0.0,0.18181818181818182,0.11382113821138211,1,0,0,0,0,0,False,False,False,False,False
