PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.CV,PG.Qvalue,PG.MolecularWeight,control_detected_samples,control_detection_rate,low_detected_samples,low_detection_rate,high_detected_samples,high_detection_rate
O00161,SNAP23,Synaptosomal-associated protein 23,SNP23_HUMAN,1.895019964929095,0.0040983606557377,23354.04,123,0.803921568627451,142,0.7634408602150538,130,0.7386363636363636
O00186,STXBP3,Syntaxin-binding protein 3,STXB3_HUMAN,1.558978720078719,0.0073810825587752,67764.27,133,0.869281045751634,163,0.8763440860215054,140,0.7954545454545454
O00187,MASP2,Mannan-binding lectin serine protease 2,MASP2_HUMAN,0.5235258794783805,0.0016233766233766,75702.36,153,1.0,186,1.0,176,1.0
O00194,RAB27B,Ras-related protein Rab-27B,RB27B_HUMAN,2.600254524602919,0.0016233766233766,24607.84,139,0.9084967320261438,175,0.9408602150537635,160,0.9090909090909091
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,PSD11_HUMAN,0.9712342448866244,0.0016233766233766,47463.77,144,0.9411764705882353,171,0.9193548387096774,159,0.9034090909090909
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,PSD12_HUMAN,6.632963285336721,0.0055467511885895,52904.4,134,0.8758169934640523,161,0.8655913978494624,147,0.8352272727272727
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,PGRC1_HUMAN,1.286253630447219,0.0040983606557377,21671.15,141,0.9215686274509803,176,0.946236559139785,148,0.8409090909090909
O00299,CLIC1,Chloride intracellular channel protein 1,CLIC1_HUMAN,1.500441151143303,0.0016233766233766,26922.72,153,1.0,186,1.0,176,1.0
O00339,MATN2,Matrilin-2,MATN2_HUMAN,0.6658703939354366,0.0040983606557377,106836.92,142,0.9281045751633987,173,0.9301075268817204,158,0.8977272727272727
O00391,QSOX1,Sulfhydryl oxidase 1,QSOX1_HUMAN,0.6193540725565324,0.0016233766233766,82577.73,153,1.0,186,1.0,176,1.0
O00410,IPO5,Importin-5,IPO5_HUMAN,0.84560932877311,0.0072727272727272,123629.93,130,0.8496732026143791,150,0.8064516129032258,135,0.7670454545454546
O00429,DNM1L,Dynamin-1-like protein,DNM1L_HUMAN,2.285240547261644,0.0040983606557377,81877.15,132,0.8627450980392157,150,0.8064516129032258,140,0.7954545454545454
O00461,GOLIM4,Golgi integral membrane protein 4,GOLI4_HUMAN,0.5721461465650642,0.0016233766233766,81880.31,153,1.0,186,1.0,176,1.0
O00468,AGRN,Agrin,AGRIN_HUMAN,0.4750739367945965,0.0016233766233766,217319.53,153,1.0,186,1.0,176,1.0
O00487,PSMD14,Ubiquitin C-terminal hydrolase PSMD14,PSDE_HUMAN,3.174041701174794,0.0040983606557377,34577.03,137,0.8954248366013072,162,0.8709677419354839,147,0.8352272727272727
O00533,CHL1,Neural cell adhesion molecule L1-like protein,NCHL1_HUMAN,0.6073526159059773,0.0016233766233766,135071.47,153,1.0,186,1.0,176,1.0
O00560,SDCBP,Syntenin-1,SDCB1_HUMAN,0.8244020552816771,0.0016233766233766,32444.38,150,0.9803921568627451,184,0.989247311827957,170,0.9659090909090909
O00592,PODXL,Podocalyxin,PODXL_HUMAN,0.940651176746225,0.0040983606557377,58635.25,153,1.0,186,1.0,176,1.0
O00602,FCN1,Ficolin-1,FCN1_HUMAN,0.5935523819754559,0.0040983606557377,35078.4,142,0.9281045751633987,169,0.9086021505376344,152,0.8636363636363636
O14498,ISLR,Immunoglobulin superfamily containing leucine-rich repeat protein,ISLR_HUMAN,0.5407285994731021,0.0016233766233766,45997.31,136,0.8888888888888888,178,0.956989247311828,161,0.9147727272727273
O14594,NCAN,Neurocan core protein,NCAN_HUMAN,0.506302968271929,0.0016233766233766,143093.22,153,1.0,186,1.0,176,1.0
O14602;P47813,EIF1AY;EIF1AX,"Eukaryotic translation initiation factor 1A, Y-chromosomal;Eukaryotic translation initiation factor 1A, X-chromosomal",IF1AY_HUMAN;IF1AX_HUMAN,0.9963491146694604,0.0072727272727272,16442.36;16460.4,149,0.9738562091503268,172,0.9247311827956989,156,0.8863636363636364
O14645,DNALI1,Axonemal dynein light intermediate polypeptide 1,IDLC_HUMAN,0.7266815106320329,0.0016233766233766,29662,144,0.9411764705882353,176,0.946236559139785,160,0.9090909090909091
O14656,TOR1A,Torsin-1A,TOR1A_HUMAN,0.5648735030080235,0.0040983606557377,37808.72,122,0.7973856209150327,157,0.8440860215053764,137,0.7784090909090909
O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,ADA10_HUMAN,0.7167812006695425,0.0030581039755351,84142.12,153,1.0,186,1.0,173,0.9829545454545454
O14745,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,NHRF1_HUMAN,0.9816309644101262,0.0016233766233766,38868.43,153,1.0,185,0.9946236559139785,174,0.9886363636363636
O14773,TPP1,Tripeptidyl-peptidase 1,TPP1_HUMAN,1.357895218820916,0.0073810825587752,61247.93,113,0.738562091503268,156,0.8387096774193549,133,0.7556818181818182
O14786,NRP1,Neuropilin-1,NRP1_HUMAN,0.4306481184347407,0.0016233766233766,103134.34,153,1.0,186,1.0,176,1.0
O14791,APOL1,Apolipoprotein L1,APOL1_HUMAN,0.5162644622665462,0.0016233766233766,43974.2,153,1.0,186,1.0,176,1.0
O14818,PSMA7,Proteasome subunit alpha type-7,PSA7_HUMAN,0.7879961135970243,0.0016233766233766,27886.84,152,0.9934640522875817,183,0.9838709677419355,172,0.9772727272727273
O14950;P19105,MYL12B;MYL12A,Myosin regulatory light chain 12B;Myosin regulatory light chain 12A,ML12B_HUMAN;ML12A_HUMAN,2.341878462933501,0.0016233766233766,19779.15;19794.13,152,0.9934640522875817,185,0.9946236559139785,174,0.9886363636363636
O14960,LECT2,Leukocyte cell-derived chemotaxin-2,LECT2_HUMAN,0.9654390502748236,0.0073810825587752,16389.96,153,1.0,186,1.0,176,1.0
O15031,PLXNB2,Plexin-B2,PLXB2_HUMAN,0.5344682778499655,0.0072727272727272,205127.21,131,0.8562091503267973,173,0.9301075268817204,151,0.8579545454545454
O15117,FYB1,FYN-binding protein 1,FYB1_HUMAN,1.457906559514832,0.0040983606557377,85387.1,133,0.869281045751634,160,0.8602150537634409,137,0.7784090909090909
O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B,ARC1B_HUMAN,1.668715290639565,0.0073810825587752,40949.78,136,0.8888888888888888,169,0.9086021505376344,148,0.8409090909090909
O15144,ARPC2,Actin-related protein 2/3 complex subunit 2,ARPC2_HUMAN,2.107461014839014,0.0040983606557377,34333.01,146,0.954248366013072,176,0.946236559139785,169,0.9602272727272727
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,ARPC3_HUMAN,1.843347242918242,0.0016233766233766,20546.67,152,0.9934640522875817,180,0.967741935483871,171,0.9715909090909091
O15204,ADAMDEC1,ADAM DEC1,ADEC1_HUMAN,0.6075195856906386,0.0016233766233766,52775.42,153,1.0,186,1.0,176,1.0
O15335,CHAD,Chondroadherin,CHAD_HUMAN,0.5883545323558997,0.0058910162002945,40475.82,153,1.0,186,1.0,176,1.0
O15400,STX7,Syntaxin-7,STX7_HUMAN,0.7261868476216492,0.0016233766233766,29815.53,152,0.9934640522875817,184,0.989247311827957,171,0.9715909090909091
O15466,ST8SIA5,"Alpha-2,8-sialyltransferase 8E",SIA8E_HUMAN,0.5424199567481442,0.0016233766233766,43894.86,153,1.0,186,1.0,175,0.9943181818181818
O15498,YKT6,Synaptobrevin homolog YKT6,YKT6_HUMAN,0.9742106190432094,0.0040983606557377,22417.58,139,0.9084967320261438,164,0.8817204301075269,145,0.8238636363636364
O15511,ARPC5,Actin-related protein 2/3 complex subunit 5,ARPC5_HUMAN,1.810807098482288,0.0016233766233766,16320.42,148,0.9673202614379085,177,0.9516129032258065,166,0.9431818181818182
O43157,PLXNB1,Plexin-B1,PLXB1_HUMAN,0.4256913654816718,0.0016233766233766,232297.66,153,1.0,186,1.0,176,1.0
O43173,ST8SIA3,"Alpha-N-acetylneuraminate alpha-2,8-sialyltransferase ST8SIA3",SIA8C_HUMAN,0.5589931385847813,0.0072727272727272,43969.84,130,0.8496732026143791,162,0.8709677419354839,125,0.7102272727272727
O43242,PSMD3,26S proteasome non-ATPase regulatory subunit 3,PSMD3_HUMAN,0.867907809682471,0.0040983606557377,60977.55,125,0.8169934640522876,137,0.7365591397849462,136,0.7727272727272727
O43396,TXNL1,Thioredoxin-like protein 1,TXNL1_HUMAN,1.103041261560183,0.0072727272727272,32251.3,138,0.9019607843137255,171,0.9193548387096774,156,0.8863636363636364
O43399,TPD52L2,Tumor protein D54,TPD54_HUMAN,1.429748432514579,0.0073810825587752,22237.72,144,0.9411764705882353,168,0.9032258064516129,157,0.8920454545454546
O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,ARK72_HUMAN,1.267377533042806,0.0040983606557377,39588.97,128,0.8366013071895425,146,0.7849462365591398,137,0.7784090909090909
O43491,EPB41L2,Band 4.1-like protein 2,E41L2_HUMAN,1.031662626981806,0.0072727272727272,112588.08,138,0.9019607843137255,166,0.8924731182795699,152,0.8636363636363636
O43505,B4GAT1,"Beta-1,4-glucuronyltransferase 1",B4GA1_HUMAN,0.5548916926322166,0.0073810825587752,47119.06,116,0.7581699346405228,148,0.7956989247311828,143,0.8125
O43529,CHST10,Carbohydrate sulfotransferase 10,CHSTA_HUMAN,0.7834160544584446,0.0016233766233766,42206.92,144,0.9411764705882353,172,0.9247311827956989,160,0.9090909090909091
O43681,GET3,ATPase GET3,GET3_HUMAN,1.022639845765506,0.0040983606557377,38792.77,136,0.8888888888888888,156,0.8387096774193549,142,0.8068181818181818
O43707,ACTN4,Alpha-actinin-4,ACTN4_HUMAN,1.633500202236717,0.0016233766233766,104854.04,146,0.954248366013072,182,0.978494623655914,170,0.9659090909090909
O43852,CALU,Calumenin,CALU_HUMAN,1.404009936863712,0.0016233766233766,37106.78,153,1.0,186,1.0,176,1.0
O43866,CD5L,CD5 antigen-like,CD5L_HUMAN,0.6454485256142682,0.0072727272727272,38087.79,153,1.0,185,0.9946236559139785,176,1.0
O43897,TLL1,Tolloid-like protein 1,TLL1_HUMAN,0.5272508671632387,0.0072727272727272,114708.7,138,0.9019607843137255,171,0.9193548387096774,146,0.8295454545454546
O60234,GMFG,Glia maturation factor gamma,GMFG_HUMAN,1.60900718376773,0.0065597667638483,16801.31,124,0.8104575163398693,140,0.7526881720430108,129,0.7329545454545454
O60240,PLIN1,Perilipin-1,PLIN1_HUMAN,5.454413350226416,0.0016233766233766,55990.36,140,0.9150326797385621,162,0.8709677419354839,147,0.8352272727272727
O60245,PCDH7,Protocadherin-7,PCDH7_HUMAN,0.622831320440291,0.0065597667638483,116070.93,125,0.8169934640522876,163,0.8763440860215054,143,0.8125
O60279,SUSD5,Sushi domain-containing protein 5,SUSD5_HUMAN,0.4585200407961531,0.0016233766233766,68021.15,153,1.0,186,1.0,176,1.0
O60462,NRP2,Neuropilin-2,NRP2_HUMAN,0.4766251070020738,0.0016233766233766,104830.65,153,1.0,186,1.0,176,1.0
O60476,MAN1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",MA1A2_HUMAN,0.742954079818571,0.0040983606557377,73003.55,151,0.9869281045751634,184,0.989247311827957,172,0.9772727272727273
O60493,SNX3,Sorting nexin-3,SNX3_HUMAN,0.8752254462999813,0.0040983606557377,18762.35,135,0.8823529411764706,164,0.8817204301075269,147,0.8352272727272727
O60610,DIAPH1,Protein diaphanous homolog 1,DIAP1_HUMAN,1.978763928805533,0.0016233766233766,141347.32,140,0.9150326797385621,165,0.8870967741935484,159,0.9034090909090909
O60664,PLIN3,Perilipin-3,PLIN3_HUMAN,0.7783699876383264,0.0040983606557377,47074.96,148,0.9673202614379085,184,0.989247311827957,171,0.9715909090909091
O60704,TPST2,Protein-tyrosine sulfotransferase 2,TPST2_HUMAN,0.6196606631972252,0.0016233766233766,41911.81,150,0.9803921568627451,184,0.989247311827957,170,0.9659090909090909
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879,H2BC12;H2BC12L;H2BC5;H2BC10;H2BC18;H2BC9;H2BC15;H2BC14,Histone H2B type 1-K;Histone H2B type F-S;Histone H2B type 1-D;Histone H2B type 1-C/E/F/G/I;Histone H2B type 2-F;Histone H2B type 1-H;Histone H2B type 1-N;Histone H2B type 1-M,H2B1K_HUMAN;H2BFS_HUMAN;H2B1D_HUMAN;H2B1C_HUMAN;H2B2F_HUMAN;H2B1H_HUMAN;H2B1N_HUMAN;H2B1M_HUMAN,1.441012072922161,0.0058910162002945,13890.13;13944.19;13936.16;13906.13;13920.16;13892.11;13922.13;13989.27,153,1.0,186,1.0,176,1.0
O60844,ZG16,Zymogen granule membrane protein 16,ZG16_HUMAN,0.6590826752582757,0.0040983606557377,18132.61,117,0.7647058823529411,136,0.7311827956989247,127,0.7215909090909091
O60936,NOL3,Nucleolar protein 3,NOL3_HUMAN,0.6364023489038457,0.006765899864682,22629.45,126,0.8235294117647058,153,0.8225806451612904,139,0.7897727272727273
O75081,CBFA2T3,Transcriptional corepressor CBFA2T3,MTG16_HUMAN,0.7654271394606657,0.0073810825587752,71192.03,148,0.9673202614379085,184,0.989247311827957,172,0.9772727272727273
O75083,WDR1,WD repeat-containing protein 1,WDR1_HUMAN,2.541071825139583,0.0016233766233766,66193.52,153,1.0,186,1.0,176,1.0
O75144,ICOSLG,ICOS ligand,ICOSL_HUMAN,0.8043515903960712,0.0040983606557377,33348.83,151,0.9869281045751634,172,0.9247311827956989,171,0.9715909090909091
O75147,OBSL1,Obscurin-like protein 1,OBSL1_HUMAN,0.7752499586996727,0.0073810825587752,206946.78,123,0.803921568627451,154,0.8279569892473119,140,0.7954545454545454
O75165,DNAJC13,DnaJ homolog subfamily C member 13,DJC13_HUMAN,0.9568570783777938,0.0072727272727272,254414.88,122,0.7973856209150327,146,0.7849462365591398,139,0.7897727272727273
O75170,PPP6R2,Serine/threonine-protein phosphatase 6 regulatory subunit 2,PP6R2_HUMAN,1.244521731106544,0.0073810825587752,104941.75,125,0.8169934640522876,151,0.8118279569892473,138,0.7840909090909091
O75223,GGCT,Gamma-glutamylcyclotransferase,GGCT_HUMAN,0.8744221301452257,0.0058910162002945,21007.72,145,0.9477124183006536,174,0.9354838709677419,159,0.9034090909090909
O75309,CDH16,Cadherin-16,CAD16_HUMAN,0.6547661940765725,0.0016233766233766,89923.06,148,0.9673202614379085,182,0.978494623655914,168,0.9545454545454546
O75339,CILP,Cartilage intermediate layer protein 1,CILP1_HUMAN,0.6574591645085627,0.0040983606557377,132564.71,153,1.0,186,1.0,176,1.0
O75340,PDCD6,Programmed cell death protein 6,PDCD6_HUMAN,0.5646966803276428,0.0016233766233766,21868.48,153,1.0,186,1.0,176,1.0
O75347,TBCA,Tubulin-specific chaperone A,TBCA_HUMAN,1.14165718060229,0.006765899864682,12854.82,125,0.8169934640522876,138,0.7419354838709677,135,0.7670454545454546
O75351,VPS4B,Vacuolar protein sorting-associated protein 4B,VPS4B_HUMAN,0.9631279140237076,0.0073810825587752,49302.07,128,0.8366013071895425,160,0.8602150537634409,143,0.8125
O75356,ENTPD5,Nucleoside diphosphate phosphatase ENTPD5,ENTP5_HUMAN,0.4717301976057108,0.0073810825587752,47517.29,136,0.8888888888888888,172,0.9247311827956989,162,0.9204545454545454
O75367,MACROH2A1,Core histone macro-H2A.1,H2AY_HUMAN,1.433604265927007,0.0040983606557377,39183.5,135,0.8823529411764706,148,0.7956989247311828,130,0.7386363636363636
O75368,SH3BGRL,Adapter SH3BGRL,SH3L1_HUMAN,1.702834081821513,0.0016233766233766,12774.25,139,0.9084967320261438,166,0.8924731182795699,149,0.8465909090909091
O75487,GPC4,Glypican-4,GPC4_HUMAN,0.560808925781683,0.0016233766233766,62412.1,153,1.0,186,1.0,175,0.9943181818181818
O75531,BANF1,Barrier-to-autointegration factor,BAF_HUMAN,1.749126855966295,0.0040983606557377,10058.57,136,0.8888888888888888,160,0.8602150537634409,147,0.8352272727272727
O75558,STX11,Syntaxin-11,STX11_HUMAN,2.214065499710346,0.0072727272727272,33195.8,118,0.7712418300653595,149,0.8010752688172043,131,0.7443181818181818
O75636,FCN3,Ficolin-3,FCN3_HUMAN,1.251966508900388,0.0016233766233766,32902.98,153,1.0,186,1.0,176,1.0
O75752,B3GALNT1,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1",B3GL1_HUMAN,0.3881388642576112,0.0016233766233766,39511.87,153,1.0,186,1.0,174,0.9886363636363636
O75787,ATP6AP2,Renin receptor,RENR_HUMAN,0.5660389221296622,0.0040983606557377,39008.01,153,1.0,186,1.0,176,1.0
O75822,EIF3J,Eukaryotic translation initiation factor 3 subunit J,EIF3J_HUMAN,0.8931749068176321,0.0072727272727272,29062.4,136,0.8888888888888888,166,0.8924731182795699,142,0.8068181818181818
O75874,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,IDHC_HUMAN,0.7951932126647363,0.0016233766233766,46659.29,152,0.9934640522875817,186,1.0,174,0.9886363636363636
O75882,ATRN,Attractin,ATRN_HUMAN,0.7862736937575036,0.0040983606557377,158536.87,153,1.0,185,0.9946236559139785,174,0.9886363636363636
O75897,SULT1C4,Sulfotransferase 1C4,ST1C4_HUMAN,4.793553045870325,0.0073810825587752,35519.85,128,0.8366013071895425,145,0.7795698924731183,150,0.8522727272727273
O75955,FLOT1,Flotillin-1,FLOT1_HUMAN,0.9658981325454626,0.0016233766233766,47355.28,150,0.9803921568627451,183,0.9838709677419355,171,0.9715909090909091
O94769,ECM2,Extracellular matrix protein 2,ECM2_HUMAN,0.6227309244941701,0.0016233766233766,79789.34,153,1.0,186,1.0,176,1.0
O94966,USP19,Ubiquitin carboxyl-terminal hydrolase 19,UBP19_HUMAN,1.596855430374897,0.0073810825587752,145650.79,135,0.8823529411764706,174,0.9354838709677419,149,0.8465909090909091
O94973,AP2A2,AP-2 complex subunit alpha-2,AP2A2_HUMAN,2.075018559870716,0.0072727272727272,103960.42,140,0.9150326797385621,164,0.8817204301075269,160,0.9090909090909091
O94985,CLSTN1,Calsyntenin-1,CSTN1_HUMAN,0.4783751169219422,0.0040983606557377,109792.75,153,1.0,186,1.0,176,1.0
O95084,PRSS23,Serine protease 23,PRS23_HUMAN,1.246680543440944,0.0073810825587752,43001.25,129,0.8431372549019608,169,0.9086021505376344,139,0.7897727272727273
O95196,CSPG5,Chondroitin sulfate proteoglycan 5,CSPG5_HUMAN,0.544097965245236,0.0016233766233766,60016.26,149,0.9738562091503268,179,0.9623655913978495,171,0.9715909090909091
O95236,APOL3,Apolipoprotein L3,APOL3_HUMAN,2.362058210105608,0.0072727272727272,44278.2,133,0.869281045751634,164,0.8817204301075269,144,0.8181818181818182
O95373,IPO7,Importin-7,IPO7_HUMAN,1.072892729468254,0.0016233766233766,119516.51,153,1.0,185,0.9946236559139785,174,0.9886363636363636
O95445,APOM,Apolipoprotein M,APOM_HUMAN,0.4371174155739558,0.0016233766233766,21253.29,153,1.0,186,1.0,176,1.0
O95466,FMNL1,Formin-like protein 1,FMNL1_HUMAN,0.8092725556039233,0.0073810825587752,121853.56,124,0.8104575163398693,160,0.8602150537634409,144,0.8181818181818182
O95498,VNN2,Pantetheine hydrolase VNN2,VNN2_HUMAN,0.7360227930106599,0.006765899864682,58503.12,129,0.8431372549019608,154,0.8279569892473119,148,0.8409090909090909
O95714,HERC2,E3 ubiquitin-protein ligase HERC2,HERC2_HUMAN,2.557791217665631,0.0073810825587752,527227.86,126,0.8235294117647058,139,0.7473118279569892,127,0.7215909090909091
O95715,CXCL14,C-X-C motif chemokine 14,CXL14_HUMAN,0.6266739826733438,0.0072727272727272,13077.61,138,0.9019607843137255,175,0.9408602150537635,153,0.8693181818181818
O95744,PMS2P2,Putative postmeiotic segregation increased 2-like protein 2,PM2P2_HUMAN,1.149662296892892,0.0073810825587752,32668.98,122,0.7973856209150327,157,0.8440860215053764,153,0.8693181818181818
