PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.CV,PG.Qvalue,PG.MolecularWeight,detected_samples,missing_pct,median_positive_abundance
A0A075B6P5;P01615,IGKV2-28;IGKV2D-28,Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,KV228_HUMAN;KVD28_HUMAN,1.266506381467248,0.0016233766233766,12956.74;12956.74,512,1.348747591522158,825.8330993652344
A0A075B6Q5,IGHV3-64,Immunoglobulin heavy variable 3-64,HV364_HUMAN,3.386130985585263,0.006765899864682,12890.68,254,51.05973025048169,462.81849670410156
A0A075B6R2,IGHV4-4,Immunoglobulin heavy variable 4-4,HV404_HUMAN,1.946920190580679,0.0073810825587752,12847.71,330,36.41618497109826,661.8807373046875
A0A075B6R9;A0A0C4DH68,IGKV2D-24;IGKV2-24,Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24,KVD24_HUMAN;KV224_HUMAN,1.214596809898531,0.0040983606557377,13078.93;13079.01,398,23.314065510597302,246.50193023681635
A0A075B6S2,IGKV2D-29,Immunoglobulin kappa variable 2D-29,KVD29_HUMAN,0.9954375278766272,0.0073810825587752,13143.12,157,69.7495183044316,770.9744262695312
A0A075B6S5,IGKV1-27,Immunoglobulin kappa variable 1-27,KV127_HUMAN,0.8000767797371555,0.0073810825587752,12711.51,181,65.1252408477842,179.3088073730469
A0A075B6S6,IGKV2D-30,Immunoglobulin kappa variable 2D-30,KVD30_HUMAN,2.107511730613396,0.0073810825587752,13214.99,54,89.59537572254335,173.17848205566406
A0A075B6S9;P0DSN7,IGKV1-37;IGKV1D-37,Probable non-functional immunoglobulin kappa variable 1-37;Probable non-functional immunoglobulin kappa variable 1D-37,KV137_HUMAN;KVD37_HUMAN,0.9901629064944732,0.0073810825587752,12688.44;12688.44,86,83.42967244701349,86.73488998413086
A0A087WSX0,IGLV5-45,Immunoglobulin lambda variable 5-45,LV545_HUMAN,1.630182571035466,0.006765899864682,13161.78,515,0.7707129094412332,5827.63720703125
A0A087WSY4,IGHV4-30-2,Immunoglobulin heavy variable 4-30-2,HV432_HUMAN,1.950231080227986,0.0072727272727272,13024.91,349,32.75529865125241,551.3682861328125
A0A087WSY6,IGKV3D-15,Immunoglobulin kappa variable 3D-15,KVD15_HUMAN,1.24246744195097,0.0040983606557377,12534.23,388,25.240847784200387,4067.3604736328125
A0A087WSZ0,IGKV1D-8,Immunoglobulin kappa variable 1D-8,KVD08_HUMAN,1.024420777361664,0.0073810825587752,12836.71,67,87.09055876685935,127.1851577758789
A0A087WW87;P01614,IGKV2-40;IGKV2D-40,Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40,KV240_HUMAN;KVD40_HUMAN,0.9456189153140436,0.0073810825587752,13310.11;13310.11,151,70.90558766859345,152.0060424804688
A0A0A0MRZ8;P04433,IGKV3D-11;IGKV3-11,Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11,KVD11_HUMAN;KV311_HUMAN,1.084780816284444,0.0040983606557377,12625.24;12575.18,515,0.7707129094412332,3910.55517578125
A0A0A0MRZ9,IGLV5-52,Immunoglobulin lambda variable 5-52,LV552_HUMAN,1.521848205029677,0.0073810825587752,13445.97,87,83.23699421965318,81.84307861328125
A0A0A0MS00,IGLV3-32,Probable non-functional immunoglobulin lambda variable 3-32,LV332_HUMAN,1.51298117233971,0.0073810825587752,12354.76,6,98.84393063583815,477.29469299316406
A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49,HV349_HUMAN,1.483493305039684,0.0072727272727272,13055.93,516,0.5780346820809248,1668.126647949219
A0A0A0MT36,IGKV6D-21,Immunoglobulin kappa variable 6D-21,KVD21_HUMAN,1.517606078457163,0.0073810825587752,12339.89,175,66.28131021194605,88.86167907714844
A0A0A0MT89,IGKJ1,Immunoglobulin kappa joining 1,KJ01_HUMAN,1.852687623806746,0.0040983606557377,1393.6,203,60.886319845857415,421.0233154296875
A0A0B4J1U3,IGLV1-36,Immunoglobulin lambda variable 1-36,LV136_HUMAN,1.241038389424124,0.0072727272727272,12477.81,270,47.97687861271676,404.7967987060547
A0A0B4J1U7,IGHV6-1,Immunoglobulin heavy variable 6-1,HV601_HUMAN,1.18320131043275,0.006765899864682,13481.28,504,2.8901734104046244,2175.2806396484375
A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15,HV315_HUMAN,1.318502772936979,0.0040983606557377,12925.78,503,3.0828516377649327,914.98583984375
A0A0B4J1V2,IGHV2-26,Immunoglobulin heavy variable 2-26,HV226_HUMAN,1.438905779473081,0.0073810825587752,13182.26,363,30.057803468208093,415.677734375
A0A0B4J1V6,IGHV3-73,Immunoglobulin heavy variable 3-73,HV373_HUMAN,1.358782542584088,0.0040983606557377,12857.67,350,32.5626204238921,395.7475891113281
A0A0B4J1X5,IGHV3-74,Immunoglobulin heavy variable 3-74,HV374_HUMAN,1.359522229571974,0.0073810825587752,12839.61,515,0.7707129094412332,5197.267578125
A0A0B4J1Y8,IGLV9-49,Immunoglobulin lambda variable 9-49,LV949_HUMAN,1.857165418733417,0.0065597667638483,13023.67,466,10.211946050096339,483.9412841796875
A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72,HV372_HUMAN,1.068702801555426,0.0040983606557377,13202.93,519,0.0,4165.5517578125
A0A0B4J2D9;P0DP09,IGKV1D-13;IGKV1-13,Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13,KVD13_HUMAN;KV113_HUMAN,1.958242222991236,0.0073810825587752,12569.29;12569.29,120,76.878612716763,159.34642028808594
A0A0C4DH24,IGKV6-21,Immunoglobulin kappa variable 6-21,KV621_HUMAN,1.373002078646351,0.0073810825587752,12430.01,91,82.46628131021194,79.8470458984375
A0A0C4DH25,IGKV3D-20,Immunoglobulin kappa variable 3D-20,KVD20_HUMAN,1.19477827610204,0.0072727272727272,12515.07,487,6.165703275529865,1293.9560546875
A0A0C4DH29,IGHV1-3,Immunoglobulin heavy variable 1-3,HV103_HUMAN,1.967544886346266,0.0072727272727272,13007.72,261,49.71098265895954,215.0198211669922
A0A0C4DH31,IGHV1-18,Immunoglobulin heavy variable 1-18,HV118_HUMAN,1.236606821710667,0.006765899864682,12820.43,370,28.709055876685934,220.2214813232422
A0A0C4DH33,IGHV1-24,Immunoglobulin heavy variable 1-24,HV124_HUMAN,1.237575109915299,0.0040983606557377,12824.48,220,57.61078998073218,159.22206115722656
A0A0C4DH34,IGHV4-28,Immunoglobulin heavy variable 4-28,HV428_HUMAN,1.070386719821807,0.0073810825587752,13124.06,479,7.7071290944123305,590.2020263671875
A0A0C4DH35,IGHV3-35,Probable non-functional immunoglobulin heavy variable 3-35,HV335_HUMAN,3.717040655446805,0.0073810825587752,12810.43,142,72.63969171483622,133.1511611938477
A0A0C4DH36,IGHV3-38,Probable non-functional immunoglobulin heavy variable 3-38,HV338_HUMAN,1.357791220602419,0.0016233766233766,12758.54,398,23.314065510597302,613.3133544921875
A0A0C4DH38,IGHV5-51,Immunoglobulin heavy variable 5-51,HV551_HUMAN,1.519484382505339,0.0040983606557377,12674.55,486,6.358381502890173,627.8651123046875
A0A0C4DH39,IGHV1-58,Immunoglobulin heavy variable 1-58,HV158_HUMAN,1.77850696491537,0.0073810825587752,13004.8,8,98.45857418111753,112.5984802246094
A0A0C4DH43,IGHV2-70D,Immunoglobulin heavy variable 2-70D,HV70D_HUMAN,1.956001249093612,0.0073810825587752,13312.45,470,9.441233140655106,675.5386047363281
A0A0C4DH67,IGKV1-8,Immunoglobulin kappa variable 1-8,KV108_HUMAN,0.9698835137681612,0.0016233766233766,12537.31,465,10.404624277456648,303.7764892578125
A0A0G2JS06,IGLV5-39,Immunoglobulin lambda variable 5-39,LV539_HUMAN,2.481968289063105,0.0073810825587752,13394.08,461,11.175337186897881,1345.756591796875
A0A0J9YVY3,IGHV7-4-1,Immunoglobulin heavy variable 7-4-1,HV741_HUMAN,0.9153245180507742,0.0072727272727272,12848.57,120,76.878612716763,271.8957977294922
A0A0J9YWL9,TEX13C,Testis-expressed protein 13C,TX13C_HUMAN,0.8688433730289081,0.0073810825587752,109806.02,48,90.7514450867052,58.335853576660156
A0A0J9YX35,IGHV3-64D,Immunoglobulin heavy variable 3-64D,HV64D_HUMAN,1.316506323784345,0.0016233766233766,12822.57,478,7.89980732177264,1253.4588012695315
A0A0J9YXX1,IGHV5-10-1,Immunoglobulin heavy variable 5-10-1,HV5X1_HUMAN,1.55214570211808,0.0073810825587752,12772.57,398,23.314065510597302,1228.995666503906
A0A1B0GTC6,C3orf85,Uncharacterized protein C3orf85,CC085_HUMAN,0.6505657607169092,0.0040983606557377,10385.93,519,0.0,3282.88720703125
A0A494C071,PWWP4,Putative PWWP domain-containing DNA repair factor 4,PWWP4_HUMAN,1.088493665036199,0.0073810825587752,217772.85,66,87.28323699421965,109.50883865356445
A0AV96,RBM47,RNA-binding protein 47,RBM47_HUMAN,0.7253183541452244,0.0073810825587752,64099.08,63,87.86127167630057,158.8085632324219
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,UBA6_HUMAN,1.153042167837456,0.0040983606557377,117969.97,137,73.60308285163777,59.66591262817383
A0FGR8,ESYT2,Extended synaptotagmin-2,ESYT2_HUMAN,3.793087416090565,0.0058910162002945,102357.48,230,55.68400770712909,68.91469192504883
A0M8Q6,IGLC7,Immunoglobulin lambda constant 7,IGLC7_HUMAN,0.8616601287827661,0.0073810825587752,11253.59,510,1.7341040462427744,44350.037109375
A0PJW8,DAPL1,Death-associated protein-like 1,DAPL1_HUMAN,1.576964708955268,0.0073810825587752,11879.96,311,40.07707129094412,902.250244140625
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10,RHG10_HUMAN,1.686451095647608,0.0072727272727272,89374.61,83,84.00770712909441,95.97732543945312
A1L4H1,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SRCRL_HUMAN,0.6781561597944873,0.0040983606557377,165742.73,519,0.0,2884.80224609375
A1X283;Q5TCZ1,SH3PXD2B;SH3PXD2A,SH3 and PX domain-containing protein 2B;SH3 and PX domain-containing protein 2A,SPD2B_HUMAN;SPD2A_HUMAN,1.033733202321213,0.0073810825587752,101579.09;125289.33,21,95.95375722543352,65.20887756347656
A2A2Y4,FRMD3,FERM domain-containing protein 3,FRMD3_HUMAN,0.8795871022229491,0.0073810825587752,68772,12,97.6878612716763,21.17115306854248
A2A3L6,TTC24,Tetratricopeptide repeat protein 24,TTC24_HUMAN,1.041152229553386,0.0073810825587752,63396.45,445,14.258188824662813,2357.640380859375
A2CJ06,DYTN,Dystrotelin,DYTN_HUMAN,0.6173116738955943,0.0073810825587752,65319.79,456,12.138728323699421,753.6998291015625
A2NJV5,IGKV2-29,Immunoglobulin kappa variable 2-29,KV229_HUMAN,1.045029244500158,0.0016233766233766,13085.04,519,0.0,2258.7783203125
A2PYH4,HFM1,Probable ATP-dependent DNA helicase HFM1,HFM1_HUMAN,1.071002525712559,0.0073810825587752,162609.8,41,92.10019267822736,344.1705322265625
A2RRP1,NBAS,NBAS subunit of NRZ tethering complex,NBAS_HUMAN,0.7408825695332336,0.0073810825587752,268571.31,55,89.40269749518305,29.69328308105469
A2RUS2,DENND3,DENN domain-containing protein 3,DEND3_HUMAN,1.39732138246481,0.0072727272727272,135890.04,149,71.29094412331408,95.6480941772461
A4D1P6,WDR91,WD repeat-containing protein 91,WDR91_HUMAN,0.6520539108134489,0.0072727272727272,83344.4,222,57.22543352601156,102.04591369628905
A6NDG6,PGP,Glycerol-3-phosphate phosphatase,PGP_HUMAN,0.6262161281909103,0.0058910162002945,34006.06,469,9.633911368015415,171.5045928955078
A6NDU8,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,RIMC1_HUMAN,0.9809743585524636,0.0055467511885895,33620.39,127,75.52986512524085,47.31383895874024
A6NH11,GLTPD2,Glycolipid transfer protein domain-containing protein 2,GLTD2_HUMAN,0.6667545545330928,0.0073810825587752,31641.6,302,41.811175337186896,94.40054321289062
A6NHL2,TUBAL3,Tubulin alpha chain-like 3,TBAL3_HUMAN,0.707226377088288,0.0073810825587752,49908.73,11,97.88053949903662,110.5345230102539
A6NL88,SHISA7,Protein shisa-7,SHSA7_HUMAN,0.7074428439055316,0.0040983606557377,56213.58,497,4.238921001926782,881.6470947265625
A6NM11;A6NMS7,LRRC37A2;LRRC37A,Leucine-rich repeat-containing protein 37A2;Leucine-rich repeat-containing protein 37A,L37A2_HUMAN;L37A1_HUMAN,0.5773559152371951,0.0072727272727272,188392.54;188258.42,467,10.01926782273603,174.4812927246094
A6NML5,TMEM212,Transmembrane protein 212,TM212_HUMAN,1.292661326075326,0.0073810825587752,21425.22,378,27.167630057803464,793.121337890625
A6QL63,ABTB3,Ankyrin repeat- and BTB/POZ domain-containing protein 3,ABTB3_HUMAN,1.028372219590935,0.0072727272727272,120884.07,26,94.99036608863199,28.85188865661621
A8CG34;Q96HA1,POM121C;POM121,Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121,P121C_HUMAN;P121A_HUMAN,0.5734585127160343,0.0073810825587752,125091.91;127720.35,145,72.0616570327553,231.5159301757812
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3,WASHC1;WASH4P;WASH3P;WASH2P;WASH6P,WASH complex subunit 1;Putative WAS protein family homolog 4;Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 6,WASH1_HUMAN;WASH4_HUMAN;WASH3_HUMAN;WASH2_HUMAN;WASH6_HUMAN,0.8599916328671885,0.0072727272727272,50327.93;51595.46;49994.54;50312.01;47990.08,37,92.8709055876686,47.39170074462891
A8K2U0,A2ML1,Alpha-2-macroglobulin-like protein 1,A2ML1_HUMAN,1.528720150980046,0.0040983606557377,161106.52,323,37.76493256262042,57.9673957824707
A8MYB1,TMCO5B,Transmembrane and coiled-coil domain-containing protein 5B,TMC5B_HUMAN,1.239290345531549,0.0073810825587752,35762.99,474,8.670520231213873,4467.819091796875
B0I1T2,MYO1G,Unconventional myosin-Ig,MYO1G_HUMAN,0.5956341969155148,0.0040983606557377,116442.07,508,2.119460500963391,170.0585174560547
B2RUZ4,SMIM1,Small integral membrane protein 1,SMIM1_HUMAN,0.6655368202025893,0.0072727272727272,8749.12,450,13.294797687861271,435.8445281982422
B5ME19;Q99613,EIF3CL;EIF3C,Eukaryotic translation initiation factor 3 subunit C-like protein;Eukaryotic translation initiation factor 3 subunit C,EIFCL_HUMAN;EIF3C_HUMAN,0.5023690230673592,0.0073810825587752,105472.91;105343.79,58,88.82466281310212,115.31389236450195
E9PAV3,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",NACAM_HUMAN,0.5557732651453169,0.0065597667638483,205421.52,418,19.460500963391137,179.57559204101565
L0R6Q1,SLC35A4,SLC35A4 upstream open reading frame protein,S35U4_HUMAN,0.9153496518508886,0.0073810825587752,11132.78,18,96.53179190751445,35.652366638183594
O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",ADAS_HUMAN,1.549229161724509,0.0073810825587752,72911.81,67,87.09055876685935,83.80901336669922
O00139,KIF2A,Kinesin-like protein KIF2A,KIF2A_HUMAN,1.892922263266672,0.0040983606557377,79954.54,285,45.08670520231214,82.64287567138672
O00148,DDX39A,ATP-dependent RNA helicase DDX39A,DX39A_HUMAN,1.178025210847416,0.0072727272727272,49129.51,179,65.51059730250482,68.06175231933594
O00151,PDLIM1,PDZ and LIM domain protein 1,PDLI1_HUMAN,2.158304876258407,0.0040983606557377,36071.71,491,5.394990366088632,577.38427734375
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,BACH_HUMAN,0.9368163275980202,0.0072727272727272,41796.02,306,41.040462427745666,200.69163513183594
O00159,MYO1C,Unconventional myosin-Ic,MYO1C_HUMAN,0.8813042187755954,0.0040983606557377,121681.67,369,28.901734104046245,83.27132415771484
O00160,MYO1F,Unconventional myosin-If,MYO1F_HUMAN,1.20055277759016,0.006765899864682,124844.28,295,43.15992292870906,64.28094482421875
O00161,SNAP23,Synaptosomal-associated protein 23,SNP23_HUMAN,1.895019964929095,0.0040983606557377,23354.04,399,23.121387283236995,145.6098937988281
O00170,AIP,AH receptor-interacting protein,AIP_HUMAN,0.9443742873255953,0.0073810825587752,37664.06,77,85.16377649325626,119.045295715332
O00175,CCL24,C-C motif chemokine 24,CCL24_HUMAN,2.812085830140955,0.0073810825587752,13133.53,88,83.04431599229287,87.02555465698242
O00186,STXBP3,Syntaxin-binding protein 3,STXB3_HUMAN,1.558978720078719,0.0073810825587752,67764.27,440,15.221579961464354,114.2050819396973
O00187,MASP2,Mannan-binding lectin serine protease 2,MASP2_HUMAN,0.5235258794783805,0.0016233766233766,75702.36,519,0.0,76414.6015625
O00194,RAB27B,Ras-related protein Rab-27B,RB27B_HUMAN,2.600254524602919,0.0016233766233766,24607.84,478,7.89980732177264,483.5696716308594
O00203,AP3B1,AP-3 complex subunit beta-1,AP3B1_HUMAN,1.281678964147072,0.0040983606557377,121320.17,289,44.3159922928709,72.70508575439453
O00204,SULT2B1,Sulfotransferase 2B1,ST2B1_HUMAN,1.274419572226604,0.0073810825587752,41307.71,66,87.28323699421965,96.7793006896973
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,PSD11_HUMAN,0.9712342448866244,0.0016233766233766,47463.77,478,7.89980732177264,130.39537048339844
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,PSD12_HUMAN,6.632963285336721,0.0055467511885895,52904.4,445,14.258188824662813,157.4667053222656
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,PSMD9_HUMAN,0.8753422356098832,0.0016233766233766,24681.81,385,25.818882466281313,174.3513641357422
O00241,SIRPB1,Signal-regulatory protein beta-1,SIRB1_HUMAN,1.927793092110253,0.0073810825587752,43211.11,81,84.39306358381504,194.9423217773437
O00244,ATOX1,Copper transport protein ATOX1,ATOX1_HUMAN,1.197451821276459,0.0072727272727272,7401.62,83,84.00770712909441,94.91590118408205
O00253,AGRP,Agouti-related protein,AGRP_HUMAN,1.050089733398748,0.0073810825587752,14439.87,2,99.61464354527938,268.894832611084
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,PGRC1_HUMAN,1.286253630447219,0.0040983606557377,21671.15,469,9.633911368015415,280.2018432617188
O00292;O75610,LEFTY2;LEFTY1,Left-right determination factor 2;Left-right determination factor 1,LFTY2_HUMAN;LFTY1_HUMAN,0.6276044550121396,0.0073810825587752,40920.19;40880.08,72,86.1271676300578,64.91004943847656
O00299,CLIC1,Chloride intracellular channel protein 1,CLIC1_HUMAN,1.500441151143303,0.0016233766233766,26922.72,519,0.0,1095.956909179688
O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F,EIF3F_HUMAN,2.479235407956509,0.0073810825587752,37563.85,165,68.20809248554913,63.85465240478516
O00339,MATN2,Matrilin-2,MATN2_HUMAN,0.6658703939354366,0.0040983606557377,106836.92,477,8.092485549132949,151.3544616699219
O00391,QSOX1,Sulfhydryl oxidase 1,QSOX1_HUMAN,0.6193540725565324,0.0016233766233766,82577.73,519,0.0,1498.384521484375
O00410,IPO5,Importin-5,IPO5_HUMAN,0.84560932877311,0.0072727272727272,123629.93,418,19.460500963391137,77.13019943237305
O00429,DNM1L,Dynamin-1-like protein,DNM1L_HUMAN,2.285240547261644,0.0040983606557377,81877.15,426,17.91907514450867,121.50300216674805
O00442,RTCA,RNA 3'-terminal phosphate cyclase,RTCA_HUMAN,0.8607032438665797,0.0073810825587752,39336.73,199,61.657032755298644,59.73896408081055
O00453,LST1,Leukocyte-specific transcript 1 protein,LST1_HUMAN,0.8269043924132831,0.0073810825587752,10792.39,111,78.61271676300578,92.1906967163086
O00461,GOLIM4,Golgi integral membrane protein 4,GOLI4_HUMAN,0.5721461465650642,0.0016233766233766,81880.31,519,0.0,502.3157653808594
O00468,AGRN,Agrin,AGRIN_HUMAN,0.4750739367945965,0.0016233766233766,217319.53,519,0.0,1182.212158203125
O00471,EXOC5,Exocyst complex component 5,EXOC5_HUMAN,1.16977115912893,0.0073810825587752,81852.87,76,85.35645472061657,64.33273315429688
O00483,COXFA4,Cytochrome c oxidase subunit FA4,CXFA4_HUMAN,1.392575374104935,0.0073810825587752,9369.86,147,71.67630057803468,130.0630035400391
O00487,PSMD14,Ubiquitin C-terminal hydrolase PSMD14,PSDE_HUMAN,3.174041701174794,0.0040983606557377,34577.03,450,13.294797687861271,228.64986419677734
O00499,BIN1,Myc box-dependent-interacting protein 1,BIN1_HUMAN,1.17838362564986,0.0073810825587752,64699.38,15,97.10982658959537,69.24992370605469
O00505,KPNA3,Importin subunit alpha-4,IMA4_HUMAN,0.7205153128690609,0.0080321285140562,57810.92,107,79.38342967244701,93.87794494628906
O00522,KRIT1,Krev interaction trapped protein 1,KRIT1_HUMAN,0.5361452829957231,0.0073810825587752,84348.06,18,96.53179190751445,64.62181663513184
O00533,CHL1,Neural cell adhesion molecule L1-like protein,NCHL1_HUMAN,0.6073526159059773,0.0016233766233766,135071.47,519,0.0,512.33203125
O00560,SDCBP,Syntenin-1,SDCB1_HUMAN,0.8244020552816771,0.0016233766233766,32444.38,508,2.119460500963391,714.1918029785156
O00571,DDX3X,ATP-dependent RNA helicase DDX3X,DDX3X_HUMAN,1.058567432727973,0.0072727272727272,73243.41,310,40.26974951830443,83.00851821899414
O00585,CCL21,C-C motif chemokine 21,CCL21_HUMAN,0.7035249462242207,0.0072727272727272,14646.14,282,45.664739884393065,229.33586120605463
O00587,MFNG,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe",MFNG_HUMAN,0.7160827831490701,0.0073810825587752,36201.96,177,65.89595375722543,73.66194152832031
O00592,PODXL,Podocalyxin,PODXL_HUMAN,0.940651176746225,0.0040983606557377,58635.25,519,0.0,7486.0146484375
O00602,FCN1,Ficolin-1,FCN1_HUMAN,0.5935523819754559,0.0040983606557377,35078.4,467,10.01926782273603,354.0509033203125
O00622,CCN1,CCN family member 1,CCN1_HUMAN,0.6118883562972168,0.0073810825587752,42026.59,249,52.02312138728323,122.1717987060547
O00629,KPNA4,Importin subunit alpha-3,IMA3_HUMAN,0.6450378978644836,0.0058910162002945,57886.75,246,52.601156069364166,173.07933807373047
O00743,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,PPP6_HUMAN,0.8335090726339476,0.0073810825587752,35144.26,334,35.64547206165704,188.55851745605463
O00748,CES2,Cocaine esterase,EST2_HUMAN,9.007628321224054,0.0073810825587752,61806.83,186,64.16184971098265,42.828453063964844
O14498,ISLR,Immunoglobulin superfamily containing leucine-rich repeat protein,ISLR_HUMAN,0.5407285994731021,0.0016233766233766,45997.31,479,7.7071290944123305,269.6994934082031
O14523,C2CD2L,Phospholipid transfer protein C2CD2L,C2C2L_HUMAN,0.9400949662959917,0.0072727272727272,76181.3,84,83.8150289017341,31.877832412719727
O14558,HSPB6,Heat shock protein beta-6,HSPB6_HUMAN,0.7254676571594209,0.0073810825587752,17135.59,193,62.813102119460495,76.23451232910156
O14579,COPE,Coatomer subunit epsilon,COPE_HUMAN,2.06936663494352,0.0073810825587752,34482.02,164,68.40077071290945,78.67343521118164
O14594,NCAN,Neurocan core protein,NCAN_HUMAN,0.506302968271929,0.0016233766233766,143093.22,519,0.0,3064.042724609375
O14602;P47813,EIF1AY;EIF1AX,"Eukaryotic translation initiation factor 1A, Y-chromosomal;Eukaryotic translation initiation factor 1A, X-chromosomal",IF1AY_HUMAN;IF1AX_HUMAN,0.9963491146694604,0.0072727272727272,16442.36;16460.4,481,7.321772639691715,195.302963256836
O14617,AP3D1,AP-3 complex subunit delta-1,AP3D1_HUMAN,1.816977666084262,0.0073810825587752,130157.99,252,51.445086705202314,160.04302215576175
O14618,CCS,Copper chaperone for superoxide dismutase,CCS_HUMAN,1.153208388983353,0.0040983606557377,29040.6,266,48.747591522158,168.45374298095703
O14645,DNALI1,Axonemal dynein light intermediate polypeptide 1,IDLC_HUMAN,0.7266815106320329,0.0016233766233766,29662,484,6.74373795761079,2696.3746337890625
O14646;O14647,CHD1;CHD2,ATP-dependent chromatin remodeler CHD1;ATP-dependent chromatin remodeler CHD2,CHD1_HUMAN;CHD2_HUMAN,0.8422883959188227,0.0073810825587752,196687.53;211343.51,165,68.20809248554913,1634.305541992188
O14656,TOR1A,Torsin-1A,TOR1A_HUMAN,0.5648735030080235,0.0040983606557377,37808.72,420,19.07514450867052,94.2434196472168
O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,ADA10_HUMAN,0.7167812006695425,0.0030581039755351,84142.12,516,0.5780346820809248,315.5715637207031
O14717,TRDMT1,tRNA (cytosine(38)-C(5))-methyltransferase,TRDMT_HUMAN,0.6235029410670294,0.0073810825587752,44596.58,293,43.54527938342967,427.3464965820313
O14727,APAF1,Apoptotic protease-activating factor 1,APAF_HUMAN,0.7113493596752796,0.0073810825587752,141839.98,41,92.10019267822736,65.91637420654297
O14732,IMPA2,Inositol monophosphatase 2,IMPA2_HUMAN,0.9480279849843024,0.0073810825587752,31320.89,154,70.32755298651252,62.94101524353027
O14735,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,CDIPT_HUMAN,1.117490374898288,0.0073810825587752,23538.8,52,89.98073217726397,130.761962890625
