"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","PG.ProteinNames","PG.CV","PG.Qvalue","PG.MolecularWeight","Control_detected_n","Control_total_n","Control_detection_rate","Short_detected_n","Short_total_n","Short_detection_rate","Long_detected_n","Long_total_n","Long_detection_rate","In_detection_analysis_universe","Contrast","Abundance_log2FC","Abundance_FDR","Detection_logOR","Detection_FDR","Detection_model_status","Detection_analysis_status","Detection_rate_difference","Abundance_evidence","Detection_evidence","Evidence","Plotted_jointly","Abundance_status"
"A0A0A0MT89","IGKJ1","Immunoglobulin kappa joining 1","KJ01_HUMAN",1.85268762380675,0.0040983606557377,"1393.6",48,153,0.313725490196078,80,186,0.43010752688172,73,176,0.414772727272727,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.116382036685642,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0B4J1U3","IGLV1-36","Immunoglobulin lambda variable 1-36","LV136_HUMAN",1.24103838942412,0.0072727272727272,"12477.81",79,153,0.516339869281046,90,186,0.483870967741935,98,176,0.556818181818182,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",-0.0324689015391103,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0B4J1U7","IGHV6-1","Immunoglobulin heavy variable 6-1","HV601_HUMAN",1.18320131043275,0.006765899864682,"13481.28",145,153,0.947712418300654,184,186,0.989247311827957,171,176,0.971590909090909,TRUE,"Low_vs_Control",0.336993483704223,0.310539986494198,1.51102579917986,1,"ok","ok",0.0415348935273034,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0B4J1V0","IGHV3-15","Immunoglobulin heavy variable 3-15","HV315_HUMAN",1.31850277293698,0.0040983606557377,"12925.78",150,153,0.980392156862745,179,186,0.962365591397849,170,176,0.965909090909091,TRUE,"Low_vs_Control",0.272593648245863,0.350753358457183,-0.514059372158197,1,"ok","ok",-0.0180265654648956,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0B4J1V2","IGHV2-26","Immunoglobulin heavy variable 2-26","HV226_HUMAN",1.43890577947308,0.0073810825587752,"13182.26",98,153,0.640522875816993,133,186,0.71505376344086,128,176,0.727272727272727,TRUE,"Low_vs_Control",,,0.378897635814682,1,"ok","ok",0.0745308876238668,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0B4J1V6","IGHV3-73","Immunoglobulin heavy variable 3-73","HV373_HUMAN",1.35878254258409,0.0040983606557377,"12857.67",94,153,0.61437908496732,131,186,0.704301075268817,121,176,0.6875,TRUE,"Low_vs_Control",,,0.504227042380444,1,"ok","ok",0.0899219903014969,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0B4J1X5","IGHV3-74","Immunoglobulin heavy variable 3-74","HV374_HUMAN",1.35952222957197,0.0073810825587752,"12839.61",152,153,0.993464052287582,184,186,0.989247311827957,175,176,0.994318181818182,TRUE,"Low_vs_Control",0.496306497774324,0.150162651254739,-0.486303718545413,1,"ok","ok",-0.00421674045962472,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0B4J1Y8","IGLV9-49","Immunoglobulin lambda variable 9-49","LV949_HUMAN",1.85716541873342,0.0065597667638483,"13023.67",134,153,0.875816993464052,169,186,0.908602150537634,159,176,0.903409090909091,TRUE,"Low_vs_Control",0.193825204808457,0.654586623735983,0.360667690083832,1,"ok","ok",0.0327851570735821,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0B4J1Y9","IGHV3-72","Immunoglobulin heavy variable 3-72","HV372_HUMAN",1.06870280155543,0.0040983606557377,"13202.93",153,153,1,186,186,1,176,176,1,TRUE,"Low_vs_Control",0.366053811367347,0.216051954354569,,,"constant_detection","constant_detection",0,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A0B4J2D9;P0DP09","IGKV1D-13;IGKV1-13","Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13","KVD13_HUMAN;KV113_HUMAN",1.95824222299124,0.0073810825587752,"12569.29;12569.29",28,153,0.183006535947712,51,186,0.274193548387097,40,176,0.227272727272727,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0911870124393843,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH24","IGKV6-21","Immunoglobulin kappa variable 6-21","KV621_HUMAN",1.37300207864635,0.0073810825587752,"12430.01",27,153,0.176470588235294,30,186,0.161290322580645,32,176,0.181818181818182,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",-0.015180265654649,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH25","IGKV3D-20","Immunoglobulin kappa variable 3D-20","KVD20_HUMAN",1.19477827610204,0.0072727272727272,"12515.07",140,153,0.915032679738562,180,186,0.967741935483871,163,176,0.926136363636364,TRUE,"Low_vs_Control",0.326884274124716,0.310539986494198,0.911272844654134,1,"ok","ok",0.0527092557453089,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0C4DH29","IGHV1-3","Immunoglobulin heavy variable 1-3","HV103_HUMAN",1.96754488634627,0.0072727272727272,"13007.72",73,153,0.477124183006536,97,186,0.521505376344086,91,176,0.517045454545455,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.04438119333755,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH31","IGHV1-18","Immunoglobulin heavy variable 1-18","HV118_HUMAN",1.23660682171067,0.006765899864682,"12820.43",102,153,0.666666666666667,134,186,0.720430107526882,131,176,0.744318181818182,TRUE,"Low_vs_Control",,,0.392533655373664,1,"ok","ok",0.0537634408602151,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH33","IGHV1-24","Immunoglobulin heavy variable 1-24","HV124_HUMAN",1.2375751099153,0.0040983606557377,"12824.48",58,153,0.379084967320261,74,186,0.397849462365591,86,176,0.488636363636364,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.01876449504533,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH34","IGHV4-28","Immunoglobulin heavy variable 4-28","HV428_HUMAN",1.07038671982181,0.0073810825587752,"13124.06",140,153,0.915032679738562,173,186,0.93010752688172,162,176,0.920454545454545,TRUE,"Low_vs_Control",0.450731126542196,0.141420691921424,0.369562648757957,1,"ok","ok",0.0150748471431583,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0C4DH35","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35","HV335_HUMAN",3.71704065544681,0.0073810825587752,"12810.43",37,153,0.241830065359477,47,186,0.252688172043011,54,176,0.306818181818182,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0108581066835336,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH36","IGHV3-38","Probable non-functional immunoglobulin heavy variable 3-38","HV338_HUMAN",1.35779122060242,0.0016233766233766,"12758.54",105,153,0.686274509803922,151,186,0.811827956989247,138,176,0.784090909090909,TRUE,"Low_vs_Control",,,0.722364328996156,0.763501472014203,"ok","ok",0.125553447185326,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH38","IGHV5-51","Immunoglobulin heavy variable 5-51","HV551_HUMAN",1.51948438250534,0.0040983606557377,"12674.55",140,153,0.915032679738562,178,186,0.956989247311828,164,176,0.931818181818182,TRUE,"Low_vs_Control",0.250422281005521,0.495704650043225,0.911505670297308,1,"ok","ok",0.0419565675732659,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0C4DH39","IGHV1-58","Immunoglobulin heavy variable 1-58","HV158_HUMAN",1.77850696491537,0.0073810825587752,"13004.8",2,153,0.0130718954248366,5,186,0.0268817204301075,1,176,0.00568181818181818,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0138098250052709,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH43","IGHV2-70D","Immunoglobulin heavy variable 2-70D","HV70D_HUMAN",1.95600124909361,0.0073810825587752,"13312.45",141,153,0.92156862745098,166,186,0.89247311827957,159,176,0.903409090909091,TRUE,"Low_vs_Control",0.446042014458602,0.333009751519691,-0.218438723283124,1,"ok","ok",-0.0290955091714105,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0C4DH67","IGKV1-8","Immunoglobulin kappa variable 1-8","KV108_HUMAN",0.969883513768161,0.0016233766233766,"12537.31",133,153,0.869281045751634,161,186,0.865591397849462,167,176,0.948863636363636,TRUE,"Low_vs_Control",0.245363722812968,0.341533537331215,0.00942524895333447,1,"ok","ok",-0.00368964790217163,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0G2JS06","IGLV5-39","Immunoglobulin lambda variable 5-39","LV539_HUMAN",2.48196828906311,0.0073810825587752,"13394.08",139,153,0.908496732026144,163,186,0.876344086021505,156,176,0.886363636363636,TRUE,"Low_vs_Control",0.274639616929724,0.553585861898549,-0.137525365889256,1,"ok","ok",-0.0321526460046384,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0J9YVY3","IGHV7-4-1","Immunoglobulin heavy variable 7-4-1","HV741_HUMAN",0.915324518050774,0.0072727272727272,"12848.57",27,153,0.176470588235294,47,186,0.252688172043011,46,176,0.261363636363636,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0762175838077166,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0J9YWL9","TEX13C","Testis-expressed protein 13C","TX13C_HUMAN",0.868843373028908,0.0073810825587752,"109806.02",18,153,0.117647058823529,16,186,0.0860215053763441,14,176,0.0795454545454545,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",-0.0316255534471853,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0J9YX35","IGHV3-64D","Immunoglobulin heavy variable 3-64D","HV64D_HUMAN",1.31650632378435,0.0016233766233766,"12822.57",137,153,0.895424836601307,174,186,0.935483870967742,164,176,0.931818181818182,TRUE,"Low_vs_Control",0.187235012690687,0.64867932780403,0.812085661969583,1,"ok","ok",0.0400590343664347,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0J9YXX1","IGHV5-10-1","Immunoglobulin heavy variable 5-10-1","HV5X1_HUMAN",1.55214570211808,0.0073810825587752,"12772.57",112,153,0.73202614379085,148,186,0.795698924731183,134,176,0.761363636363636,TRUE,"Low_vs_Control",-0.00621815267900061,0.992276652640347,0.398825459879709,1,"ok","ok",0.0636727809403331,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A1B0GTC6","C3orf85","Uncharacterized protein C3orf85","CC085_HUMAN",0.650565760716909,0.0040983606557377,"10385.93",153,153,1,186,186,1,176,176,1,TRUE,"Low_vs_Control",0.311237442744897,0.192749398272964,,,"constant_detection","constant_detection",0,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A494C071","PWWP4","Putative PWWP domain-containing DNA repair factor 4","PWWP4_HUMAN",1.0884936650362,0.0073810825587752,"217772.85",11,153,0.0718954248366013,26,186,0.139784946236559,27,176,0.153409090909091,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0678895213999578,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0AV96","RBM47","RNA-binding protein 47","RBM47_HUMAN",0.725318354145224,0.0073810825587752,"64099.08",8,153,0.0522875816993464,30,186,0.161290322580645,25,176,0.142045454545455,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.109002740881299,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0AVT1","UBA6","Ubiquitin-like modifier-activating enzyme 6","UBA6_HUMAN",1.15304216783746,0.0040983606557377,"117969.97",34,153,0.222222222222222,49,186,0.263440860215054,52,176,0.295454545454545,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0412186379928315,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0FGR8","ESYT2","Extended synaptotagmin-2","ESYT2_HUMAN",3.79308741609056,0.0058910162002945,"102357.48",69,153,0.450980392156863,80,186,0.43010752688172,78,176,0.443181818181818,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",-0.0208728652751423,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0M8Q6","IGLC7","Immunoglobulin lambda constant 7","IGLC7_HUMAN",0.861660128782766,0.0073810825587752,"11253.59",151,153,0.986928104575163,183,186,0.983870967741935,172,176,0.977272727272727,TRUE,"Low_vs_Control",0.337240283819996,0.223401084779981,,,"separation_nonfinite_MLE","separation_nonfinite_MLE",-0.00305713683322795,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0PJW8","DAPL1","Death-associated protein-like 1","DAPL1_HUMAN",1.57696470895527,0.0073810825587752,"11879.96",108,153,0.705882352941177,93,186,0.5,107,176,0.607954545454545,TRUE,"Low_vs_Control",,,-0.744913547799074,0.447323493829649,"ok","ok",-0.205882352941177,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A1A4S6","ARHGAP10","Rho GTPase-activating protein 10","RHG10_HUMAN",1.68645109564761,0.0072727272727272,"89374.61",30,153,0.196078431372549,24,186,0.129032258064516,27,176,0.153409090909091,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",-0.0670461733080329,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A1L4H1","SSC5D","Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D","SRCRL_HUMAN",0.678156159794487,0.0040983606557377,"165742.73",153,153,1,186,186,1,176,176,1,TRUE,"Low_vs_Control",0.0705853451254317,0.76162915621592,,,"constant_detection","constant_detection",0,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A1X283;Q5TCZ1","SH3PXD2B;SH3PXD2A","SH3 and PX domain-containing protein 2B;SH3 and PX domain-containing protein 2A","SPD2B_HUMAN;SPD2A_HUMAN",1.03373320232121,0.0073810825587752,"101579.09;125289.33",7,153,0.0457516339869281,6,186,0.032258064516129,8,176,0.0454545454545455,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",-0.0134935694707991,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A2A2Y4","FRMD3","FERM domain-containing protein 3","FRMD3_HUMAN",0.879587102222949,0.0073810825587752,"68772",4,153,0.0261437908496732,6,186,0.032258064516129,2,176,0.0113636363636364,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.00611427366645583,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A2A3L6","TTC24","Tetratricopeptide repeat protein 24","TTC24_HUMAN",1.04115222955339,0.0073810825587752,"63396.45",127,153,0.830065359477124,172,186,0.924731182795699,142,176,0.806818181818182,TRUE,"Low_vs_Control",0.0371121002310986,0.979102053685203,0.887104577731439,0.84046582177609,"ok","ok",0.0946658233185746,FALSE,FALSE,"Neither",TRUE,"tested"
"A2CJ06","DYTN","Dystrotelin","DYTN_HUMAN",0.617311673895594,0.0073810825587752,"65319.79",132,153,0.862745098039216,167,186,0.897849462365591,153,176,0.869318181818182,TRUE,"Low_vs_Control",0.311892545194908,0.0756016720443273,0.267074964633738,1,"ok","ok",0.0351043643263756,FALSE,FALSE,"Neither",TRUE,"tested"
"A2NJV5","IGKV2-29","Immunoglobulin kappa variable 2-29","KV229_HUMAN",1.04502924450016,0.0016233766233766,"13085.04",153,153,1,186,186,1,176,176,1,TRUE,"Low_vs_Control",0.301426651796641,0.223401084779981,,,"constant_detection","constant_detection",0,FALSE,,"Not jointly evaluable",TRUE,"tested"
