"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","PG.ProteinNames","PG.CV","PG.Qvalue","PG.MolecularWeight","Control_detected_n","Control_total_n","Control_detection_rate","Short_detected_n","Short_total_n","Short_detection_rate","Long_detected_n","Long_total_n","Long_detection_rate","In_detection_analysis_universe","Contrast","Abundance_log2FC","Abundance_FDR","Detection_logOR","Detection_FDR","Detection_model_status","Detection_analysis_status","Detection_rate_difference","Abundance_evidence","Detection_evidence","Evidence","Plotted_jointly","Abundance_status"
"A0A075B6K5","IGLV3-9","Immunoglobulin lambda variable 3-9","LV39_HUMAN",1.52587673083077,0.0016233766233766,"12331.71",153,153,1,186,186,1,176,176,1,TRUE,"High_vs_Low",0.0157167928038753,0.975896955682167,,,"constant_detection","constant_detection",0,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A075B6K6","IGLV4-3","Immunoglobulin lambda variable 4-3","LV403_HUMAN",1.1253895571431,0.0073810825587752,"13329.89",35,153,0.228758169934641,35,186,0.188172043010753,34,176,0.193181818181818,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.00500977517106549,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6P5;P01615","IGKV2-28;IGKV2D-28","Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28","KV228_HUMAN;KVD28_HUMAN",1.26650638146725,0.0016233766233766,"12956.74;12956.74",148,153,0.967320261437909,186,186,1,174,176,0.988636363636364,TRUE,"High_vs_Low",0.0169634108536538,0.969245718726285,,,"separation_nonfinite_MLE","separation_nonfinite_MLE",-0.0113636363636364,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A075B6Q5","IGHV3-64","Immunoglobulin heavy variable 3-64","HV364_HUMAN",3.38613098558526,0.006765899864682,"12890.68",66,153,0.431372549019608,93,186,0.5,92,176,0.522727272727273,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0227272727272727,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6R2","IGHV4-4","Immunoglobulin heavy variable 4-4","HV404_HUMAN",1.94692019058068,0.0073810825587752,"12847.71",91,153,0.594771241830065,117,186,0.629032258064516,120,176,0.681818181818182,TRUE,"High_vs_Low",,,0.180941722755137,1,"ok","ok",0.0527859237536656,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6R9;A0A0C4DH68","IGKV2D-24;IGKV2-24","Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24","KVD24_HUMAN;KV224_HUMAN",1.21459680989853,0.0040983606557377,"13078.93;13079.01",105,153,0.686274509803922,147,186,0.790322580645161,142,176,0.806818181818182,TRUE,"High_vs_Low",,,0.182511668907999,1,"ok","ok",0.0164956011730205,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6S2","IGKV2D-29","Immunoglobulin kappa variable 2D-29","KVD29_HUMAN",0.995437527876627,0.0073810825587752,"13143.12",39,153,0.254901960784314,59,186,0.317204301075269,58,176,0.329545454545455,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0123411534701857,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6S5","IGKV1-27","Immunoglobulin kappa variable 1-27","KV127_HUMAN",0.800076779737156,0.0073810825587752,"12711.51",37,153,0.241830065359477,80,186,0.43010752688172,64,176,0.363636363636364,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.0664711632453568,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6S6","IGKV2D-30","Immunoglobulin kappa variable 2D-30","KVD30_HUMAN",2.1075117306134,0.0073810825587752,"13214.99",10,153,0.065359477124183,24,186,0.129032258064516,19,176,0.107954545454545,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.0210777126099707,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6S9;P0DSN7","IGKV1-37;IGKV1D-37","Probable non-functional immunoglobulin kappa variable 1-37;Probable non-functional immunoglobulin kappa variable 1D-37","KV137_HUMAN;KVD37_HUMAN",0.990162906494473,0.0073810825587752,"12688.44;12688.44",23,153,0.150326797385621,30,186,0.161290322580645,32,176,0.181818181818182,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0205278592375367,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A087WSX0","IGLV5-45","Immunoglobulin lambda variable 5-45","LV545_HUMAN",1.63018257103547,0.006765899864682,"13161.78",152,153,0.993464052287582,183,186,0.983870967741935,176,176,1,TRUE,"High_vs_Low",-0.244008997636783,0.433757853236165,,,"separation_nonfinite_MLE","separation_nonfinite_MLE",0.0161290322580645,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A087WSY4","IGHV4-30-2","Immunoglobulin heavy variable 4-30-2","HV432_HUMAN",1.95023108022799,0.0072727272727272,"13024.91",96,153,0.627450980392157,123,186,0.661290322580645,127,176,0.721590909090909,TRUE,"High_vs_Low",,,0.257699624185243,1,"ok","ok",0.0603005865102639,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A087WSY6","IGKV3D-15","Immunoglobulin kappa variable 3D-15","KVD15_HUMAN",1.24246744195097,0.0040983606557377,"12534.23",111,153,0.725490196078431,139,186,0.747311827956989,134,176,0.761363636363636,TRUE,"High_vs_Low",-0.0412010006117107,0.93787512835454,0.0482475210040366,1,"ok","ok",0.0140518084066471,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A087WSZ0","IGKV1D-8","Immunoglobulin kappa variable 1D-8","KVD08_HUMAN",1.02442077736166,0.0073810825587752,"12836.71",13,153,0.0849673202614379,19,186,0.102150537634409,34,176,0.193181818181818,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0910312805474096,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A087WW87;P01614","IGKV2-40;IGKV2D-40","Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40","KV240_HUMAN;KVD40_HUMAN",0.945618915314044,0.0073810825587752,"13310.11;13310.11",37,153,0.241830065359477,59,186,0.317204301075269,54,176,0.306818181818182,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.010386119257087,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0A0MRZ8;P04433","IGKV3D-11;IGKV3-11","Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11","KVD11_HUMAN;KV311_HUMAN",1.08478081628444,0.0040983606557377,"12625.24;12575.18",152,153,0.993464052287582,185,186,0.994623655913978,174,176,0.988636363636364,TRUE,"High_vs_Low",0.0480827048601533,0.898751933030557,-0.782729240232793,1,"ok","ok",-0.00598729227761485,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0A0MRZ9","IGLV5-52","Immunoglobulin lambda variable 5-52","LV552_HUMAN",1.52184820502968,0.0073810825587752,"13445.97",29,153,0.189542483660131,35,186,0.188172043010753,23,176,0.130681818181818,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.0574902248289345,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0A0MS00","IGLV3-32","Probable non-functional immunoglobulin lambda variable 3-32","LV332_HUMAN",1.51298117233971,0.0073810825587752,"12354.76",1,153,0.0065359477124183,3,186,0.0161290322580645,2,176,0.0113636363636364,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.00476539589442815,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0A0MS15","IGHV3-49","Immunoglobulin heavy variable 3-49","HV349_HUMAN",1.48349330503968,0.0072727272727272,"13055.93",152,153,0.993464052287582,184,186,0.989247311827957,176,176,1,TRUE,"High_vs_Low",0.0771501912947254,0.846117246716487,,,"separation_nonfinite_MLE","separation_nonfinite_MLE",0.010752688172043,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A0A0MT36","IGKV6D-21","Immunoglobulin kappa variable 6D-21","KVD21_HUMAN",1.51760607845716,0.0073810825587752,"12339.89",49,153,0.320261437908497,60,186,0.32258064516129,64,176,0.363636363636364,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0410557184750733,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0A0MT89","IGKJ1","Immunoglobulin kappa joining 1","KJ01_HUMAN",1.85268762380675,0.0040983606557377,"1393.6",48,153,0.313725490196078,80,186,0.43010752688172,73,176,0.414772727272727,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.0153347996089931,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0B4J1U3","IGLV1-36","Immunoglobulin lambda variable 1-36","LV136_HUMAN",1.24103838942412,0.0072727272727272,"12477.81",79,153,0.516339869281046,90,186,0.483870967741935,98,176,0.556818181818182,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0729472140762463,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0B4J1U7","IGHV6-1","Immunoglobulin heavy variable 6-1","HV601_HUMAN",1.18320131043275,0.006765899864682,"13481.28",145,153,0.947712418300654,184,186,0.989247311827957,171,176,0.971590909090909,TRUE,"High_vs_Low",0.0691159180831686,0.866221312971156,-0.904288872799199,1,"ok","ok",-0.0176564027370479,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0B4J1V0","IGHV3-15","Immunoglobulin heavy variable 3-15","HV315_HUMAN",1.31850277293698,0.0040983606557377,"12925.78",150,153,0.980392156862745,179,186,0.962365591397849,170,176,0.965909090909091,TRUE,"High_vs_Low",-0.0832846633631501,0.806642627556082,-0.0115958256286586,1,"ok","ok",0.00354349951124144,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0B4J1V2","IGHV2-26","Immunoglobulin heavy variable 2-26","HV226_HUMAN",1.43890577947308,0.0073810825587752,"13182.26",98,153,0.640522875816993,133,186,0.71505376344086,128,176,0.727272727272727,TRUE,"High_vs_Low",,,0.0348428978726957,1,"ok","ok",0.012218963831867,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0B4J1V6","IGHV3-73","Immunoglobulin heavy variable 3-73","HV373_HUMAN",1.35878254258409,0.0040983606557377,"12857.67",94,153,0.61437908496732,131,186,0.704301075268817,121,176,0.6875,TRUE,"High_vs_Low",,,-0.150188946062213,1,"ok","ok",-0.0168010752688172,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0B4J1X5","IGHV3-74","Immunoglobulin heavy variable 3-74","HV374_HUMAN",1.35952222957197,0.0073810825587752,"12839.61",152,153,0.993464052287582,184,186,0.989247311827957,175,176,0.994318181818182,TRUE,"High_vs_Low",-0.0970245760358992,0.814534290493717,0.631490158261381,1,"ok","ok",0.00507086999022477,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0B4J1Y8","IGLV9-49","Immunoglobulin lambda variable 9-49","LV949_HUMAN",1.85716541873342,0.0065597667638483,"13023.67",134,153,0.875816993464052,169,186,0.908602150537634,159,176,0.903409090909091,TRUE,"High_vs_Low",0.2502774101517,0.405810867132305,-0.0736276893148519,1,"ok","ok",-0.00519305962854344,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0B4J1Y9","IGHV3-72","Immunoglobulin heavy variable 3-72","HV372_HUMAN",1.06870280155543,0.0040983606557377,"13202.93",153,153,1,186,186,1,176,176,1,TRUE,"High_vs_Low",-0.160567491870175,0.545507885774845,,,"constant_detection","constant_detection",0,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A0B4J2D9;P0DP09","IGKV1D-13;IGKV1-13","Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13","KVD13_HUMAN;KV113_HUMAN",1.95824222299124,0.0073810825587752,"12569.29;12569.29",28,153,0.183006535947712,51,186,0.274193548387097,40,176,0.227272727272727,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.0469208211143695,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH24","IGKV6-21","Immunoglobulin kappa variable 6-21","KV621_HUMAN",1.37300207864635,0.0073810825587752,"12430.01",27,153,0.176470588235294,30,186,0.161290322580645,32,176,0.181818181818182,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0205278592375367,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH25","IGKV3D-20","Immunoglobulin kappa variable 3D-20","KVD20_HUMAN",1.19477827610204,0.0072727272727272,"12515.07",140,153,0.915032679738562,180,186,0.967741935483871,163,176,0.926136363636364,TRUE,"High_vs_Low",0.0556213807392361,0.894036507308693,-0.789074349121946,0.801114411906273,"ok","ok",-0.0416055718475073,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0C4DH29","IGHV1-3","Immunoglobulin heavy variable 1-3","HV103_HUMAN",1.96754488634627,0.0072727272727272,"13007.72",73,153,0.477124183006536,97,186,0.521505376344086,91,176,0.517045454545455,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.00445992179863142,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH31","IGHV1-18","Immunoglobulin heavy variable 1-18","HV118_HUMAN",1.23660682171067,0.006765899864682,"12820.43",102,153,0.666666666666667,134,186,0.720430107526882,131,176,0.744318181818182,TRUE,"High_vs_Low",,,0.0297714312162564,1,"ok","ok",0.0238880742913,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH33","IGHV1-24","Immunoglobulin heavy variable 1-24","HV124_HUMAN",1.2375751099153,0.0040983606557377,"12824.48",58,153,0.379084967320261,74,186,0.397849462365591,86,176,0.488636363636364,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0907869012707723,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH34","IGHV4-28","Immunoglobulin heavy variable 4-28","HV428_HUMAN",1.07038671982181,0.0073810825587752,"13124.06",140,153,0.915032679738562,173,186,0.93010752688172,162,176,0.920454545454545,TRUE,"High_vs_Low",0.057132295702278,0.888598973676965,-0.252731721602979,1,"ok","ok",-0.00965298142717497,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0C4DH35","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35","HV335_HUMAN",3.71704065544681,0.0073810825587752,"12810.43",37,153,0.241830065359477,47,186,0.252688172043011,54,176,0.306818181818182,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0541300097751711,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH36","IGHV3-38","Probable non-functional immunoglobulin heavy variable 3-38","HV338_HUMAN",1.35779122060242,0.0016233766233766,"12758.54",105,153,0.686274509803922,151,186,0.811827956989247,138,176,0.784090909090909,TRUE,"High_vs_Low",,,-0.202862714699926,1,"ok","ok",-0.0277370478983382,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH38","IGHV5-51","Immunoglobulin heavy variable 5-51","HV551_HUMAN",1.51948438250534,0.0040983606557377,"12674.55",140,153,0.915032679738562,178,186,0.956989247311828,164,176,0.931818181818182,TRUE,"High_vs_Low",0.191637410822961,0.525669300995576,-0.618492088623427,0.916919167743031,"ok","ok",-0.0251710654936462,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0C4DH39","IGHV1-58","Immunoglobulin heavy variable 1-58","HV158_HUMAN",1.77850696491537,0.0073810825587752,"13004.8",2,153,0.0130718954248366,5,186,0.0268817204301075,1,176,0.00568181818181818,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.0211999022482893,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0C4DH43","IGHV2-70D","Immunoglobulin heavy variable 2-70D","HV70D_HUMAN",1.95600124909361,0.0073810825587752,"13312.45",141,153,0.92156862745098,166,186,0.89247311827957,159,176,0.903409090909091,TRUE,"High_vs_Low",0.0987365492671728,0.863972776379039,0.024888382197111,1,"ok","ok",0.0109359726295211,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0C4DH67","IGKV1-8","Immunoglobulin kappa variable 1-8","KV108_HUMAN",0.969883513768161,0.0016233766233766,"12537.31",133,153,0.869281045751634,161,186,0.865591397849462,167,176,0.948863636363636,TRUE,"High_vs_Low",0.0202418468314676,0.960702710255662,1.02916568052098,0.500733797285339,"ok","ok",0.083272238514174,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0G2JS06","IGLV5-39","Immunoglobulin lambda variable 5-39","LV539_HUMAN",2.48196828906311,0.0073810825587752,"13394.08",139,153,0.908496732026144,163,186,0.876344086021505,156,176,0.886363636363636,TRUE,"High_vs_Low",-0.17271144963722,0.694546831532887,-0.0519030025878486,1,"ok","ok",0.010019550342131,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0J9YVY3","IGHV7-4-1","Immunoglobulin heavy variable 7-4-1","HV741_HUMAN",0.915324518050774,0.0072727272727272,"12848.57",27,153,0.176470588235294,47,186,0.252688172043011,46,176,0.261363636363636,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0086754643206256,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0J9YWL9","TEX13C","Testis-expressed protein 13C","TX13C_HUMAN",0.868843373028908,0.0073810825587752,"109806.02",18,153,0.117647058823529,16,186,0.0860215053763441,14,176,0.0795454545454545,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.00647605083088955,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0J9YX35","IGHV3-64D","Immunoglobulin heavy variable 3-64D","HV64D_HUMAN",1.31650632378435,0.0016233766233766,"12822.57",137,153,0.895424836601307,174,186,0.935483870967742,164,176,0.931818181818182,TRUE,"High_vs_Low",0.0501180869183369,0.916312952850198,-0.244636042825187,1,"ok","ok",-0.00366568914956011,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0J9YXX1","IGHV5-10-1","Immunoglobulin heavy variable 5-10-1","HV5X1_HUMAN",1.55214570211808,0.0073810825587752,"12772.57",112,153,0.73202614379085,148,186,0.795698924731183,134,176,0.761363636363636,TRUE,"High_vs_Low",0.234475768224339,0.58504162803534,-0.231422966446047,1,"ok","ok",-0.0343352883675464,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A1B0GTC6","C3orf85","Uncharacterized protein C3orf85","CC085_HUMAN",0.650565760716909,0.0040983606557377,"10385.93",153,153,1,186,186,1,176,176,1,TRUE,"High_vs_Low",-0.323372770859171,0.0602168192620115,,,"constant_detection","constant_detection",0,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A494C071","PWWP4","Putative PWWP domain-containing DNA repair factor 4","PWWP4_HUMAN",1.0884936650362,0.0073810825587752,"217772.85",11,153,0.0718954248366013,26,186,0.139784946236559,27,176,0.153409090909091,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0136241446725318,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0AV96","RBM47","RNA-binding protein 47","RBM47_HUMAN",0.725318354145224,0.0073810825587752,"64099.08",8,153,0.0522875816993464,30,186,0.161290322580645,25,176,0.142045454545455,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.0192448680351906,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0AVT1","UBA6","Ubiquitin-like modifier-activating enzyme 6","UBA6_HUMAN",1.15304216783746,0.0040983606557377,"117969.97",34,153,0.222222222222222,49,186,0.263440860215054,52,176,0.295454545454545,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0320136852394917,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0FGR8","ESYT2","Extended synaptotagmin-2","ESYT2_HUMAN",3.79308741609056,0.0058910162002945,"102357.48",69,153,0.450980392156863,80,186,0.43010752688172,78,176,0.443181818181818,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0130742913000977,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0M8Q6","IGLC7","Immunoglobulin lambda constant 7","IGLC7_HUMAN",0.861660128782766,0.0073810825587752,"11253.59",151,153,0.986928104575163,183,186,0.983870967741935,172,176,0.977272727272727,TRUE,"High_vs_Low",-0.0493897818424589,0.894036507308693,,,"separation_nonfinite_MLE","separation_nonfinite_MLE",-0.00659824046920821,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0PJW8","DAPL1","Death-associated protein-like 1","DAPL1_HUMAN",1.57696470895527,0.0073810825587752,"11879.96",108,153,0.705882352941177,93,186,0.5,107,176,0.607954545454545,TRUE,"High_vs_Low",,,0.333037209576466,0.820959405832737,"ok","ok",0.107954545454545,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A1A4S6","ARHGAP10","Rho GTPase-activating protein 10","RHG10_HUMAN",1.68645109564761,0.0072727272727272,"89374.61",30,153,0.196078431372549,24,186,0.129032258064516,27,176,0.153409090909091,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0243768328445748,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A1L4H1","SSC5D","Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D","SRCRL_HUMAN",0.678156159794487,0.0040983606557377,"165742.73",153,153,1,186,186,1,176,176,1,TRUE,"High_vs_Low",-0.272344644166798,0.0249681613263044,,,"constant_detection","constant_detection",0,TRUE,,"Not jointly evaluable",TRUE,"tested"
"A1X283;Q5TCZ1","SH3PXD2B;SH3PXD2A","SH3 and PX domain-containing protein 2B;SH3 and PX domain-containing protein 2A","SPD2B_HUMAN;SPD2A_HUMAN",1.03373320232121,0.0073810825587752,"101579.09;125289.33",7,153,0.0457516339869281,6,186,0.032258064516129,8,176,0.0454545454545455,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0131964809384164,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A2A2Y4","FRMD3","FERM domain-containing protein 3","FRMD3_HUMAN",0.879587102222949,0.0073810825587752,"68772",4,153,0.0261437908496732,6,186,0.032258064516129,2,176,0.0113636363636364,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.0208944281524927,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A2A3L6","TTC24","Tetratricopeptide repeat protein 24","TTC24_HUMAN",1.04115222955339,0.0073810825587752,"63396.45",127,153,0.830065359477124,172,186,0.924731182795699,142,176,0.806818181818182,TRUE,"High_vs_Low",-0.0902483365520386,0.878749409730417,-1.05365579949402,0.287203871782773,"ok","ok",-0.117913000977517,FALSE,FALSE,"Neither",TRUE,"tested"
"A2CJ06","DYTN","Dystrotelin","DYTN_HUMAN",0.617311673895594,0.0073810825587752,"65319.79",132,153,0.862745098039216,167,186,0.897849462365591,153,176,0.869318181818182,TRUE,"High_vs_Low",-0.15879652152638,0.237608332300658,-0.22857126877111,1,"ok","ok",-0.0285312805474096,FALSE,FALSE,"Neither",TRUE,"tested"
"A2NJV5","IGKV2-29","Immunoglobulin kappa variable 2-29","KV229_HUMAN",1.04502924450016,0.0016233766233766,"13085.04",153,153,1,186,186,1,176,176,1,TRUE,"High_vs_Low",0.00917861996403424,0.982588442800485,,,"constant_detection","constant_detection",0,FALSE,,"Not jointly evaluable",TRUE,"tested"
