"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","PG.ProteinNames","PG.CV","PG.Qvalue","PG.MolecularWeight","Control_detected_n","Control_total_n","Control_detection_rate","Short_detected_n","Short_total_n","Short_detection_rate","Long_detected_n","Long_total_n","Long_detection_rate","In_detection_analysis_universe","Contrast","Abundance_log2FC","Abundance_FDR","Detection_logOR","Detection_FDR","Detection_model_status","Detection_analysis_status","Detection_rate_difference","Abundance_evidence","Detection_evidence","Evidence","Plotted_jointly","Abundance_status","Rank","Detection_status"
"P49321","NASP","Nuclear autoantigenic sperm protein","NASP_HUMAN",0.808883536471433,0.0040983606557377,"85237.71",122,153,0.797385620915033,122,186,0.655913978494624,115,176,0.653409090909091,TRUE,"High_vs_Control",,,-0.729778912167381,0.493596160782022,"ok","ok",-0.143976530005942,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",11,"Not significant"
"P46776","RPL27A","Large ribosomal subunit protein uL15","RL27A_HUMAN",0.650799698948969,0.0073810825587752,"16561.38",102,153,0.666666666666667,111,186,0.596774193548387,92,176,0.522727272727273,TRUE,"High_vs_Control",,,-0.606649850579602,0.493596160782022,"ok","ok",-0.143939393939394,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",12,"Not significant"
"P11836","MS4A1","B-lymphocyte antigen CD20","CD20_HUMAN",0.603451314386203,0.0073810825587752,"33077.31",121,153,0.790849673202614,147,186,0.790322580645161,116,176,0.659090909090909,TRUE,"High_vs_Control",,,-0.675753043258231,0.493596160782022,"ok","ok",-0.131758764111705,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",13,"Not significant"
"Q99747","NAPG","Gamma-soluble NSF attachment protein","SNAG_HUMAN",1.10396902622664,0.006765899864682,"34746.29",106,153,0.69281045751634,123,186,0.661290322580645,99,176,0.5625,TRUE,"High_vs_Control",,,-0.583563690694833,0.543784270045502,"ok","ok",-0.13031045751634,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",14,"Not significant"
"P52272","HNRNPM","Heterogeneous nuclear ribonucleoprotein M","HNRPM_HUMAN",2.0697836104059,0.006765899864682,"77515.52",99,153,0.647058823529412,119,186,0.639784946236559,91,176,0.517045454545455,TRUE,"High_vs_Control",,,-0.542650828728525,0.543784270045502,"ok","ok",-0.130013368983957,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",15,"Not significant"
"P35637","FUS","RNA-binding protein FUS","FUS_HUMAN",1.33198514841624,0.0040983606557377,"53425.83",112,153,0.73202614379085,126,186,0.67741935483871,106,176,0.602272727272727,TRUE,"High_vs_Control",,,-0.581878779487565,0.543784270045502,"ok","ok",-0.129753416518122,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",16,"Not significant"
"Q5VVQ6","YOD1","Ubiquitin thioesterase OTU1","OTU1_HUMAN",0.838665065164832,0.0073810825587752,"38322.39",112,153,0.73202614379085,128,186,0.688172043010753,106,176,0.602272727272727,TRUE,"High_vs_Control",,,-0.615343092766701,0.515317223743617,"ok","ok",-0.129753416518122,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",17,"Not significant"
"P47914","RPL29","Large ribosomal subunit protein eL29","RL29_HUMAN",1.27072668549841,0.006765899864682,"17752.07",105,153,0.686274509803922,117,186,0.629032258064516,98,176,0.556818181818182,TRUE,"High_vs_Control",,,-0.536149251197355,0.543784270045502,"ok","ok",-0.12945632798574,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",18,"Not significant"
"Q07955","SRSF1","Serine/arginine-rich splicing factor 1","SRSF1_HUMAN",0.86737369292237,0.0072727272727272,"27744.57",109,153,0.712418300653595,133,186,0.71505376344086,103,176,0.585227272727273,TRUE,"High_vs_Control",,,-0.587280285642537,0.543784270045502,"ok","ok",-0.127191027926322,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",19,"Not significant"
"Q6PD74","AAGAB","Alpha- and gamma-adaptin-binding protein p34","AAGAB_HUMAN",1.37960272695555,0.0073810825587752,"34593.61",95,153,0.620915032679739,91,186,0.489247311827957,87,176,0.494318181818182,TRUE,"High_vs_Control",,,-0.498868284939335,0.596564385594592,"ok","ok",-0.126596850861557,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",20,"Not significant"
"Q9NPA0","EMC7","Endoplasmic reticulum membrane protein complex subunit 7","EMC7_HUMAN",0.542277859030562,0.0072727272727272,"26470.58",95,153,0.620915032679739,106,186,0.56989247311828,87,176,0.494318181818182,TRUE,"High_vs_Control",,,-0.522524070524574,0.596564385594592,"ok","ok",-0.126596850861557,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",21,"Not significant"
"P07686","HEXB","Beta-hexosaminidase subunit beta","HEXB_HUMAN",0.855704099604073,0.0073810825587752,"63137.41",114,153,0.745098039215686,128,186,0.688172043010753,109,176,0.619318181818182,TRUE,"High_vs_Control",,,-0.567377221992428,0.543784270045502,"ok","ok",-0.125779857397505,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",22,"Not significant"
"Q5XPI4","RNF123","E3 ubiquitin-protein ligase RNF123","RN123_HUMAN",0.732613556019494,0.0072727272727272,"148514.68",107,153,0.699346405228758,118,186,0.634408602150538,101,176,0.573863636363636,TRUE,"High_vs_Control",,,-0.54831917717521,0.543784270045502,"ok","ok",-0.125482768865122,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",23,"Not significant"
"Q9NY33","DPP3","Dipeptidyl peptidase 3","DPP3_HUMAN",1.11242523538393,0.0073810825587752,"82589.16",104,153,0.679738562091503,107,186,0.575268817204301,98,176,0.556818181818182,TRUE,"High_vs_Control",,,-0.5425425019025,0.543784270045502,"ok","ok",-0.122920380273322,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",24,"Not significant"
"Q15029","EFTUD2","116 kDa U5 small nuclear ribonucleoprotein component","U5S1_HUMAN",0.744823872159088,0.0073810825587752,"109435.77",109,153,0.712418300653595,137,186,0.736559139784946,104,176,0.590909090909091,TRUE,"High_vs_Control",,,-0.536872612883172,0.543784270045502,"ok","ok",-0.121509209744504,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",25,"Not significant"
"P62424","RPL7A","Large ribosomal subunit protein eL8","RL7A_HUMAN",1.02746165412971,0.0072727272727272,"29995.62",111,153,0.725490196078431,132,186,0.709677419354839,107,176,0.607954545454545,TRUE,"High_vs_Control",,,-0.52857834717196,0.586227017581332,"ok","ok",-0.117535650623886,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",26,"Not significant"
"Q9HD67","MYO10","Unconventional myosin-X","MYO10_HUMAN",0.748892347267605,0.0073810825587752,"237346.91",117,153,0.764705882352941,129,186,0.693548387096774,114,176,0.647727272727273,TRUE,"High_vs_Control",,,-0.634470825518865,0.593822987019819,"ok","ok",-0.116978609625668,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",27,"Not significant"
"Q13617","CUL2","Cullin-2","CUL2_HUMAN",1.3618154248441,0.0058910162002945,"86983.03",97,153,0.633986928104575,118,186,0.634408602150538,91,176,0.517045454545455,TRUE,"High_vs_Control",,,-0.481319369448907,0.596564385594592,"ok","ok",-0.116941473559121,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",28,"Not significant"
"Q8TAX7","MUC7","Mucin-7","MUC7_HUMAN",0.75795366383693,0.0040983606557377,"39158.76",97,153,0.633986928104575,98,186,0.526881720430108,91,176,0.517045454545455,TRUE,"High_vs_Control",,,-0.466335346011505,0.640239519842471,"ok","ok",-0.116941473559121,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",29,"Not significant"
"P35754","GLRX","Glutaredoxin-1","GLRX1_HUMAN",1.11021049978127,0.0073810825587752,"11775.74",110,153,0.718954248366013,135,186,0.725806451612903,106,176,0.602272727272727,TRUE,"High_vs_Control",,,-0.524996612211089,0.586227017581332,"ok","ok",-0.116681521093286,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",30,"Not significant"
"Q9UBI6","GNG12","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12","GBG12_HUMAN",0.567189951341047,0.0040983606557377,"8006.22",110,153,0.718954248366013,135,186,0.725806451612903,106,176,0.602272727272727,TRUE,"High_vs_Control",,,-0.557799087031183,0.543784270045502,"ok","ok",-0.116681521093286,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",31,"Not significant"
"P47972","NPTX2","Neuronal pentraxin-2","NPTX2_HUMAN",0.667711149480425,0.0072727272727272,"47041.55",123,153,0.803921568627451,150,186,0.806451612903226,121,176,0.6875,TRUE,"High_vs_Control",,,-0.621991321125834,0.543784270045502,"ok","ok",-0.116421568627451,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",32,"Not significant"
"O60506","SYNCRIP","Heterogeneous nuclear ribonucleoprotein Q","HNRPQ_HUMAN",1.38558537343758,0.0040983606557377,"69602.62",108,153,0.705882352941177,114,186,0.612903225806452,104,176,0.590909090909091,TRUE,"High_vs_Control",,,-0.494208430366504,0.596564385594592,"ok","ok",-0.114973262032086,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",33,"Not significant"
"P41159","LEP","Leptin","LEP_HUMAN",0.686734573353765,0.0072727272727272,"18640.57",120,153,0.784313725490196,144,186,0.774193548387097,118,176,0.670454545454545,TRUE,"High_vs_Control",,,-0.585975754988073,0.543784270045502,"ok","ok",-0.113859180035651,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",34,"Not significant"
"Q92973","TNPO1","Transportin-1","TNPO1_HUMAN",0.968037080619858,0.0073810825587752,"102355.03",97,153,0.633986928104575,95,186,0.510752688172043,92,176,0.522727272727273,TRUE,"High_vs_Control",,,-0.459033555365351,0.619007577168427,"ok","ok",-0.111259655377302,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",35,"Not significant"
"Q9H444","CHMP4B","Charged multivesicular body protein 4b","CHM4B_HUMAN",0.958138457223585,0.0072727272727272,"24950.15",110,153,0.718954248366013,132,186,0.709677419354839,107,176,0.607954545454545,TRUE,"High_vs_Control",,,-0.488387815151441,0.619007577168427,"ok","ok",-0.110999702911468,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",36,"Not significant"
"P41240","CSK","Tyrosine-protein kinase CSK","CSK_HUMAN",1.75512221835968,0.0072727272727272,"50704.34",123,153,0.803921568627451,139,186,0.747311827956989,122,176,0.693181818181818,TRUE,"High_vs_Control",,,-0.641406881285661,0.543784270045502,"ok","ok",-0.110739750445633,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",37,"Not significant"
"Q9NZN4","EHD2","EH domain-containing protein 2","EHD2_HUMAN",0.53793192999472,0.0073810825587752,"61161.4",109,153,0.712418300653595,142,186,0.763440860215054,106,176,0.602272727272727,TRUE,"High_vs_Control",,,-0.504177202316995,0.596564385594592,"ok","ok",-0.110145573380868,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",38,"Not significant"
"Q9H479","FN3K","Fructosamine-3-kinase","FN3K_HUMAN",0.862694914778189,0.0072727272727272,"35171.2",122,153,0.797385620915033,134,186,0.720430107526882,121,176,0.6875,TRUE,"High_vs_Control",,,-0.599746890071316,0.543784270045502,"ok","ok",-0.109885620915033,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",39,"Not significant"
"Q96HC4","PDLIM5","PDZ and LIM domain protein 5","PDLI5_HUMAN",1.59536388930321,0.0073810825587752,"63945.1",102,153,0.666666666666667,110,186,0.591397849462366,98,176,0.556818181818182,TRUE,"High_vs_Control",,,-0.485185701371638,0.596564385594592,"ok","ok",-0.109848484848485,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",40,"Not significant"
"Q14137","BOP1","Ribosome biogenesis protein BOP1","BOP1_HUMAN",1.49623739838195,0.0073810825587752,"83629.52",95,153,0.620915032679739,101,186,0.543010752688172,90,176,0.511363636363636,TRUE,"High_vs_Control",,,-0.426172393003998,0.677415117534552,"ok","ok",-0.109551396316102,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",41,"Not significant"
"Q9Y2Y8","PRG3","Proteoglycan 3","PRG3_HUMAN",1.33890424690878,0.0073810825587752,"25405.52",108,153,0.705882352941177,126,186,0.67741935483871,105,176,0.596590909090909,TRUE,"High_vs_Control",,,-0.464490280733167,0.640239519842471,"ok","ok",-0.109291443850267,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",42,"Not significant"
"P13569","CFTR","Cystic fibrosis transmembrane conductance regulator","CFTR_HUMAN",0.930423641875648,0.0073810825587752,"168141.57",93,153,0.607843137254902,102,186,0.548387096774194,88,176,0.5,TRUE,"High_vs_Control",,,-0.543188364667889,0.543784270045502,"ok","ok",-0.107843137254902,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",43,"Not significant"
"Q6UXI7","VIT","Vitrin","VITRN_HUMAN",0.642542221346152,0.0073810825587752,"73930.25",104,153,0.679738562091503,134,186,0.720430107526882,101,176,0.573863636363636,TRUE,"High_vs_Control",,,-0.446306277225785,0.645973726092382,"ok","ok",-0.105874925727867,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",44,"Not significant"
"P10721","KIT","Mast/stem cell growth factor receptor Kit","KIT_HUMAN",0.794080335224999,0.0072727272727272,"109864.56",115,153,0.751633986928105,114,186,0.612903225806452,114,176,0.647727272727273,TRUE,"High_vs_Control",,,-0.475044005230755,0.658288786381794,"ok","ok",-0.103906714200832,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",45,"Not significant"
"P23396","RPS3","Small ribosomal subunit protein uS3","RS3_HUMAN",1.62885910364102,0.0072727272727272,"26688.31",115,153,0.751633986928105,134,186,0.720430107526882,114,176,0.647727272727273,TRUE,"High_vs_Control",,,-0.497596575654481,0.619007577168427,"ok","ok",-0.103906714200832,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",46,"Not significant"
"P33241","LSP1","Lymphocyte-specific protein 1","LSP1_HUMAN",1.99720455928968,0.0073810825587752,"37191.58",101,153,0.660130718954248,111,186,0.596774193548387,98,176,0.556818181818182,TRUE,"High_vs_Control",,,-0.420952076548541,0.682958677232745,"ok","ok",-0.103312537136067,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",47,"Not significant"
"Q9P2T1","GMPR2","GMP reductase 2","GMPR2_HUMAN",0.762287358641207,0.0073810825587752,"37874.38",114,153,0.745098039215686,135,186,0.725806451612903,113,176,0.642045454545455,TRUE,"High_vs_Control",,,-0.481477437333513,0.637707168920591,"ok","ok",-0.103052584670232,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",48,"Not significant"
"Q9UHG2","PCSK1N","ProSAAS","PCS1N_HUMAN",0.522782353621597,0.0073810825587752,"27372.37",87,153,0.568627450980392,113,186,0.60752688172043,82,176,0.465909090909091,TRUE,"High_vs_Control",,,-0.438724367028412,0.640239519842471,"ok","ok",-0.102718360071301,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",49,"Not significant"
"O00233","PSMD9","26S proteasome non-ATPase regulatory subunit 9","PSMD9_HUMAN",0.875342235609883,0.0016233766233766,"24681.81",120,153,0.784313725490196,141,186,0.758064516129032,120,176,0.681818181818182,TRUE,"High_vs_Control",,,-0.542895195536522,0.596564385594592,"ok","ok",-0.102495543672014,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",50,"Not significant"
"O60888","CUTA","Protein CutA","CUTA_HUMAN",0.678386709481566,0.0058910162002945,"19116.32",120,153,0.784313725490196,158,186,0.849462365591398,120,176,0.681818181818182,TRUE,"High_vs_Control",,,-0.552636316362757,0.596564385594592,"ok","ok",-0.102495543672014,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",51,"Not significant"
"P84103","SRSF3","Serine/arginine-rich splicing factor 3","SRSF3_HUMAN",1.04681722550007,0.0016233766233766,"19329.59",112,153,0.73202614379085,122,186,0.655913978494624,111,176,0.630681818181818,TRUE,"High_vs_Control",,,-0.474603514484566,0.639451708319398,"ok","ok",-0.101344325609031,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",52,"Not significant"
"Q53RT3","ASPRV1","Retroviral-like aspartic protease 1","APRV1_HUMAN",2.3482094047357,0.0016233766233766,"36991.15",116,153,0.758169934640523,137,186,0.736559139784946,116,176,0.659090909090909,TRUE,"High_vs_Control",,,-0.459005166051944,0.694238866199907,"ok","ok",-0.0990790255496138,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",53,"Not significant"
"O75608","LYPLA1","Acyl-protein thioesterase 1","LYPA1_HUMAN",1.77052790056969,0.0073810825587752,"24669.57",96,153,0.627450980392157,109,186,0.586021505376344,93,176,0.528409090909091,TRUE,"High_vs_Control",,,-0.387935858522409,0.710644042114769,"ok","ok",-0.0990418894830659,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",54,"Not significant"
"Q15555","MAPRE2","Microtubule-associated protein RP/EB family member 2","MARE2_HUMAN",2.03488049606676,0.0040983606557377,"37031.32",122,153,0.797385620915033,126,186,0.67741935483871,123,176,0.698863636363636,TRUE,"High_vs_Control",,,-0.56048916214905,0.596564385594592,"ok","ok",-0.0985219845513964,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",55,"Not significant"
"Q16629","SRSF7","Serine/arginine-rich splicing factor 7","SRSF7_HUMAN",0.743809381338688,0.0072727272727272,"27366.53",115,153,0.751633986928105,133,186,0.71505376344086,115,176,0.653409090909091,TRUE,"High_vs_Control",,,-0.455951516784778,0.677415117534552,"ok","ok",-0.0982248960190136,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",56,"Not significant"
"Q9BWD1","ACAT2","Acetyl-CoA acetyltransferase, cytosolic","THIC_HUMAN",0.872647811937727,0.0073810825587752,"41350.82",115,153,0.751633986928105,140,186,0.752688172043011,115,176,0.653409090909091,TRUE,"High_vs_Control",,,-0.478986651004077,0.640239519842471,"ok","ok",-0.0982248960190136,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",57,"Not significant"
"Q9Y662;Q9Y663","HS3ST3B1;HS3ST3A1","Heparan sulfate glucosamine 3-O-sulfotransferase 3B1;Heparan sulfate glucosamine 3-O-sulfotransferase 3A1","HS3SB_HUMAN;HS3SA_HUMAN",0.630722130244002,0.0073810825587752,"43324.08;44899.6",115,153,0.751633986928105,140,186,0.752688172043011,115,176,0.653409090909091,TRUE,"High_vs_Control",,,-0.473048881658009,0.645973726092382,"ok","ok",-0.0982248960190136,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",58,"Not significant"
"Q96FE7","PIK3IP1","Phosphoinositide-3-kinase-interacting protein 1","P3IP1_HUMAN",0.513135251710186,0.0073810825587752,"28248",95,153,0.620915032679739,109,186,0.586021505376344,92,176,0.522727272727273,TRUE,"High_vs_Control",,,-0.397236443240773,0.709407668689954,"ok","ok",-0.0981877599524659,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",59,"Not significant"
"A0PJW8","DAPL1","Death-associated protein-like 1","DAPL1_HUMAN",1.57696470895527,0.0073810825587752,"11879.96",108,153,0.705882352941177,93,186,0.5,107,176,0.607954545454545,TRUE,"High_vs_Control",,,-0.411876338222608,0.710644042114769,"ok","ok",-0.0979278074866311,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",60,"Not significant"
"O14744","PRMT5","Protein arginine N-methyltransferase 5","ANM5_HUMAN",0.726355189077523,0.0073810825587752,"72683.86",108,153,0.705882352941177,112,186,0.602150537634409,107,176,0.607954545454545,TRUE,"High_vs_Control",,,-0.414962928891724,0.710644042114769,"ok","ok",-0.0979278074866311,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",61,"Not significant"
"O43847","NRDC","Nardilysin","NRDC_HUMAN",2.13470755743132,0.006765899864682,"131700.73",114,153,0.745098039215686,128,186,0.688172043010753,114,176,0.647727272727273,TRUE,"High_vs_Control",,,-0.451800025956125,0.677415117534552,"ok","ok",-0.0973707664884136,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",62,"Not significant"
"Q9NR46","SH3GLB2","Endophilin-B2","SHLB2_HUMAN",0.766389326404687,0.0073810825587752,"43973.93",94,153,0.61437908496732,112,186,0.602150537634409,91,176,0.517045454545455,TRUE,"High_vs_Control",,,-0.414787026817047,0.677415117534552,"ok","ok",-0.0973336304218657,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",63,"Not significant"
"P98172","EFNB1","Ephrin-B1","EFNB1_HUMAN",0.903237514755251,0.0073810825587752,"38006.59",113,153,0.738562091503268,129,186,0.693548387096774,113,176,0.642045454545455,TRUE,"High_vs_Control",,,-0.450150101578502,0.677415117534552,"ok","ok",-0.0965166369578134,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",64,"Not significant"
"P36959","GMPR","GMP reductase 1","GMPR1_HUMAN",1.02431600399085,0.0072727272727272,"37418.83",119,153,0.777777777777778,131,186,0.704301075268817,120,176,0.681818181818182,TRUE,"High_vs_Control",,,-0.508353081336415,0.625206899717536,"ok","ok",-0.095959595959596,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",65,"Not significant"
"Q08209","PPP3CA","Protein phosphatase 3 catalytic subunit alpha","PP2BA_HUMAN",1.01823289551316,0.0040983606557377,"58687.84",105,153,0.686274509803922,119,186,0.639784946236559,104,176,0.590909090909091,TRUE,"High_vs_Control",,,-0.425797971500513,0.68556798456891,"ok","ok",-0.0953654188948306,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",66,"Not significant"
"P54727","RAD23B","Lysine-specific demethylase RAD23B","RD23B_HUMAN",1.27386965276879,0.0040983606557377,"43171.18",116,153,0.758169934640523,125,186,0.672043010752688,117,176,0.664772727272727,TRUE,"High_vs_Control",,,-0.481386803988987,0.645973726092382,"ok","ok",-0.0933972073677956,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",67,"Not significant"
"Q15940","ZNF726P1","Putative zinc finger protein 726P1","ZNF67_HUMAN",6.48934933888002,0.0073810825587752,"22987.69",102,153,0.666666666666667,111,186,0.596774193548387,101,176,0.573863636363636,TRUE,"High_vs_Control",,,-0.369520979756883,0.762190361720315,"ok","ok",-0.0928030303030303,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",68,"Not significant"
"Q9UBQ0","VPS29","Vacuolar protein sorting-associated protein 29","VPS29_HUMAN",1.61710565734857,0.0073810825587752,"20505.72",115,153,0.751633986928105,129,186,0.693548387096774,116,176,0.659090909090909,TRUE,"High_vs_Control",,,-0.452864400413695,0.677415117534552,"ok","ok",-0.0925430778371955,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",69,"Not significant"
"Q14558","PRPSAP1","Phosphoribosyl pyrophosphate synthase-associated protein 1","KPRA_HUMAN",0.669604557009695,0.0040983606557377,"39393.71",119,153,0.777777777777778,128,186,0.688172043010753,121,176,0.6875,TRUE,"High_vs_Control",,,-0.456500946050761,0.70438247446779,"ok","ok",-0.0902777777777778,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",70,"Not significant"
