"Contrast","logOR","OR","SE","CI_low_OR","CI_high_OR","P","N_samples","Zero_cells","Model_status","Detail","PG.ProteinGroups","Model","FDR"
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00159","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00159","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00160","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00160","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00160","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00161","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00161","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00161","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00186","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00186","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00186","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00187","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00187","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","O00187","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00194","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00194","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00194","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00231","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00231","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00231","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00232","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00232","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00232","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00233","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00233","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00233","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00264","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00264","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00264","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00299","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00299","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","O00299","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00339","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00339","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00339","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00391","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00391","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","O00391","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00410","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00410","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00410","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00429","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00429","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00429","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00461","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00461","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","O00461","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00468","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00468","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","O00468","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00487","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00487","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00487","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00533","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00533","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","O00533","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00560","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00560","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00560","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00571","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00571","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00571","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00592","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","O00592","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","O00592","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00602","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00602","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00602","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00743","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00743","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00743","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14498","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14498","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14498","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","O14594","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","O14594","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","O14594","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14602;P47813","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14602;P47813","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14602;P47813","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14645","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14645","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14645","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14656","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14656","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14656","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","O14672","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","O14672","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"separation_nonfinite_MLE","","O14672","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14717","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14717","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14717","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14744","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14744","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14744","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","O14745","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","O14745","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"separation_nonfinite_MLE","","O14745","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14773","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14773","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14773","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","O14786","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","O14786","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","O14786","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","O14791","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","O14791","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","O14791","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14818","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14818","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14818","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14950;P19105","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14950;P19105","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14950;P19105","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","O14960","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","O14960","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","O14960","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14979","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14979","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14979","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14980","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14980","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O14980","Acquisition",
